qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|422937779|ref|YP_007007981.1|	913	1122786325	WP_074146350	725	23.68	94	98.6	1e-17	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|422937779|ref|YP_007007981.1|	913	1296597415	WP_100771378	725	23.32	125	98.2	1e-17	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|422937779|ref|YP_007007981.1|	913	1167889684	WP_080181602	725	23.68	94	97.1	3e-17	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|422937779|ref|YP_007007981.1|	913	1208946742	WP_088209800	725	22.92	91	95.5	1e-16	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422937779|ref|YP_007007981.1|	913	640401610	WP_024892447	762	34.2	79	93.6	5e-16	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|422937779|ref|YP_007007981.1|	913	739644786	WP_037500606	712	29.91	70	87.8	2e-14	392409	ATP-binding protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|422937779|ref|YP_007007981.1|	913	1222655058	WP_090702921	716	30.71	82	84.7	2e-13	1882748	ATP-binding protein [Beijerinckia sp. 28-YEA-48]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48
0	gi|422937779|ref|YP_007007981.1|	913	654889193	WP_028340895	727	28.28	84	84	4e-13	29448	hypothetical protein [Bradyrhizobium elkanii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium elkanii
0	gi|422937779|ref|YP_007007981.1|	913	1160786814	WP_079638720	656	26.67	60	82.4	1e-12	1507287	hypothetical protein [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|422937779|ref|YP_007007981.1|	913	1160743855	WP_079602466	712	27.76	73	79.3	1e-11	1437360	hypothetical protein [Bradyrhizobium erythrophlei]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei
0	gi|422937779|ref|YP_007007981.1|	913	1224477396	WP_092498558	786	29.31	68	76.6	9e-11	1855383	hypothetical protein [bacterium A52C2]	Bacteria						bacterium A52C2
0	gi|422937780|ref|YP_007007982.1|	527	1208946743	WP_088209801	312	34.35	79	142	1e-34	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422937780|ref|YP_007007982.1|	527	506529043	WP_015996055	312	34.35	79	141	5e-34	1396	membrane-associated protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|422937780|ref|YP_007007982.1|	527	1122786323	WP_074146349	312	34.35	79	140	5e-34	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|422937780|ref|YP_007007982.1|	527	1167889682	WP_080181600	312	34.35	79	140	9e-34	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|422937780|ref|YP_007007982.1|	527	916897434	WP_051504147	411	32.77	77	126	3e-28	392409	hypothetical protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|422937780|ref|YP_007007982.1|	527	640401587	WP_024892438	319	30.92	77	122	2e-27	930	hypothetical protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|422937780|ref|YP_007007982.1|	527	1057312557	WP_068673783	390	31.67	76	121	1e-26	34072	MULTISPECIES: hypothetical protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|422937780|ref|YP_007007982.1|	527	917083792	WP_051690504	321	30.52	76	115	5e-25	930	hypothetical protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|422937780|ref|YP_007007982.1|	527	983583807	WP_060733665	384	30.25	72	113	6e-24	95486	hypothetical protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|422937780|ref|YP_007007982.1|	527	1160786815	WP_079638721	365	28.26	65	109	1e-22	1507287	hypothetical protein [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|422937780|ref|YP_007007982.1|	527	947868567	WP_056529187	501	30.51	72	106	6e-21	1736352	hypothetical protein [Methylobacterium sp. Leaf361]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. Leaf361
0	gi|422937780|ref|YP_007007982.1|	527	757605356	WP_042852452	401	31.8	69	97.1	2e-18	562	SPOR domain-containing protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422937780|ref|YP_007007982.1|	527	517045615	WP_018234433	332	30.17	70	95.9	3e-18	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|422937780|ref|YP_007007982.1|	527	985611889	WP_060851384	574	27.23	64	97.4	6e-18	270351	hypothetical protein [Methylobacterium aquaticum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium aquaticum
0	gi|422937780|ref|YP_007007982.1|	527	1222655055	WP_090702918	303	32.56	70	94.4	8e-18	1882748	hypothetical protein [Beijerinckia sp. 28-YEA-48]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48
0	gi|422937780|ref|YP_007007982.1|	527	917513436	WP_052119853	403	29.31	68	94.4	2e-17	171674	hypothetical protein [Inquilinus limosus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus	Inquilinus limosus
0	gi|422937780|ref|YP_007007982.1|	527	916514687	WP_051134038	269	28.19	64	90.5	1e-16	622637	hypothetical protein [Methylocystis sp. ATCC 49242]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Methylocystis sp. ATCC 49242
0	gi|422937780|ref|YP_007007982.1|	527	493375785	WP_006332079	254	28.63	69	90.1	1e-16	1297570	hypothetical protein [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
0	gi|422937780|ref|YP_007007982.1|	527	1056645603	WP_068074551	527	29.24	50	82.8	3e-13	1768801	hypothetical protein [Rhizobiales bacterium CCH11-D2]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			Rhizobiales bacterium CCH11-D2
0	gi|422937780|ref|YP_007007982.1|	527	1224477394	WP_092498556	443	33.33	46	78.2	5e-12	1855383	hypothetical protein [bacterium A52C2]	Bacteria						bacterium A52C2
0	gi|422937780|ref|YP_007007982.1|	527	1119688788	WP_072607578	272	26.27	62	75.5	9e-12	1670800	hypothetical protein [Mesorhizobium sp. B7]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. B7
0	gi|422937784|ref|YP_007007986.1|	269	815726104	WP_046457120	258	43.93	47	72	2e-11	569	DNA breaking-rejoining protein [Hafnia alvei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei
0	gi|422937786|ref|YP_007007988.1|	161	948140439	WP_056798778	180	38.85	61	88.6	1e-18	1736226	hypothetical protein [Pseudomonas sp. Leaf58]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. Leaf58
0	gi|422937786|ref|YP_007007988.1|	161	517045528	WP_018234346	280	40.16	49	76.6	7e-14	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
