qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|526118415|ref|YP_008318261.1|	129	1126827487	WP_075218535	126	76.98	97	194	1e-60	1402	hypothetical protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|526118415|ref|YP_008318261.1|	129	490938209	WP_004800046	131	40.77	53	67.4	2e-11	31971	hypothetical protein [[Eubacterium] dolichum]	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella dolichum
0	gi|526118416|ref|YP_008318262.1|	125	506996200	WP_016084888	137	45.86	61	117	3e-30	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|526118416|ref|YP_008318262.1|	125	1236106631	WP_094907780	131	49.61	63	115	1e-29	1371	hypothetical protein [Marinococcus halophilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Marinococcus	Marinococcus halophilus
0	gi|526118416|ref|YP_008318262.1|	125	1267273978	WP_098126411	137	45.86	61	115	1e-29	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|526118416|ref|YP_008318262.1|	125	1177741929	WP_082831398	133	46.09	59	94.7	1e-21	1455	hypothetical protein [Bacillus badius]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus badius
0	gi|526118416|ref|YP_008318262.1|	125	765518207	WP_044730454	123	47.46	56	90.5	3e-20	1462	hypothetical protein [Geobacillus kaustophilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus kaustophilus
0	gi|526118416|ref|YP_008318262.1|	125	941285559	WP_055106238	124	42.86	51	89.7	7e-20	687436	hypothetical protein [Paenibacillus ihumii]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus ihumii
0	gi|526118416|ref|YP_008318262.1|	125	983495486	WP_060649068	130	40.65	50	87.4	6e-19	1736392	hypothetical protein [Paenibacillus sp. Soil724D2]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. Soil724D2
0	gi|526118416|ref|YP_008318262.1|	125	1020137861	WP_063261171	126	40.48	51	86.7	8e-19	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|526118416|ref|YP_008318262.1|	125	1274281086	WP_099477448	129	42.74	50	84.7	5e-18	1870820	hypothetical protein [Paenibacillus ihbetae]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus ihbetae
0	gi|526118416|ref|YP_008318262.1|	125	1054376443	WP_066238435	230	39.02	48	86.7	5e-18	1221500	hypothetical protein [Fictibacillus phosphorivorans]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus	Fictibacillus phosphorivorans
0	gi|526118416|ref|YP_008318262.1|	125	522831974	WP_020744596	164	39.1	52	84.7	1e-17	28108	hypothetical protein [Alteromonas macleodii]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii
0	gi|526118416|ref|YP_008318262.1|	125	504881453	WP_015068555	180	39.1	52	84.7	1e-17	226	MULTISPECIES: hypothetical protein [Alteromonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	
0	gi|526118416|ref|YP_008318262.1|	125	923002043	WP_053403483	145	40.68	48	83.6	2e-17	284581	hypothetical protein [Bacillus koreensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus koreensis
0	gi|526118416|ref|YP_008318262.1|	125	1328122742	WP_102232097	132	36.51	46	81.3	1e-16	2029108	hypothetical protein [Bacillus sp. UMB0899]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. UMB0899
0	gi|526118416|ref|YP_008318262.1|	125	1209322117	WP_088363036	127	36.8	46	79.7	5e-16	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|526118416|ref|YP_008318262.1|	125	517045411	WP_018234229	129	42.86	51	79.7	5e-16	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|526118416|ref|YP_008318262.1|	125	544934175	WP_021342578	118	43.24	48	79	6e-16	1384060	hypothetical protein [Rhodococcus sp. P27]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. P27
0	gi|526118416|ref|YP_008318262.1|	125	1148871195	WP_077591221	126	37.5	45	78.6	1e-15	192421	hypothetical protein [Planococcus maritimus]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus maritimus
0	gi|526118416|ref|YP_008318262.1|	125	1054647811	WP_066415308	145	34.65	44	77	6e-15	33932	hypothetical protein [Bacillus cohnii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cohnii
0	gi|526118416|ref|YP_008318262.1|	125	1092810834	WP_070729008	114	41.51	44	76.3	6e-15	1908237	hypothetical protein [Hymenobacter lapidarius]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter lapidarius
0	gi|526118416|ref|YP_008318262.1|	125	1042208180	WP_065262881	127	42.27	41	75.9	1e-14	34062	hypothetical protein [Moraxella osloensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella osloensis
0	gi|526118416|ref|YP_008318262.1|	125	947376221	WP_056042285	133	40.62	52	75.9	1e-14	1736234	hypothetical protein [Paenibacillus sp. Leaf72]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. Leaf72
0	gi|526118416|ref|YP_008318262.1|	125	1025883663	WP_063590230	140	37.5	45	75.1	3e-14	450367	hypothetical protein [[Brevibacterium] frigoritolerans]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	[Brevibacterium] frigoritolerans
