	gi|410491675|ref|YP_006906897.1|	gi|410491180|ref|YP_006906402.1|	gi|410491776|ref|YP_006906998.1|	gi|410490805|ref|YP_006906027.1|	gi|410491319|ref|YP_006906541.1|	gi|410491862|ref|YP_006907130.1|	gi|410491366|ref|YP_006906588.1|	gi|410491551|ref|YP_006906773.1|	gi|410507466|ref|YP_006907084.1|	gi|410491272|ref|YP_006906494.1|	gi|713322753|ref|YP_009102368.1|	gi|422934581|ref|YP_007004542.1|	gi|712914998|ref|YP_009102635.1|	gi|713322464|ref|YP_009098548.1|	gi|431811068|ref|YP_007238135.1|	gi|9634120|ref|NP_037662.1|	gi|9634165|ref|NP_037697.1|	gi|356870678|ref|YP_004934108.1|	gi|401817591|ref|YP_006590033.1|	gi|30387380|ref|NP_848209.1|	gi|155370097|ref|YP_512255.2|	gi|418487632|ref|YP_007001972.1|	gi|414088503|ref|YP_006988681.1|	gi|414089191|ref|YP_006989359.1|	gi|414088030|ref|YP_006988213.1|	gi|414089560|ref|YP_006989712.1|	gi|414088836|ref|YP_006989009.1|	gi|414089910|ref|YP_006990057.1|	gi|658607725|ref|YP_009044728.1|	gi|399528545|ref|YP_006560467.1|	gi|658607992|ref|YP_009044962.1|	gi|472437228|ref|YP_007676639.1|	gi|658607314|ref|YP_009044305.1|	gi|472438189|ref|YP_007677968.1|	gi|658607773|ref|YP_009044771.1|	gi|658607897|ref|YP_009044882.1|	gi|658607945|ref|YP_009044923.1|	gi|658607213|ref|YP_009044218.1|	gi|115315629|ref|YP_764315.1|	gi|9629654|ref|NP_044947.1|	gi|194097522|ref|YP_002003989.1|	gi|115315573|ref|YP_764260.1|	gi|115304211|ref|YP_762512.1|	gi|422934279|ref|YP_007004320.1|	gi|51236745|ref|YP_063714.1|	gi|24371584|ref|NP_720325.1|	gi|389060536|ref|YP_006383887.1|	gi|422934327|ref|YP_007004361.1|	gi|392972711|ref|YP_006488671.1|	gi|589892714|ref|YP_009009150.1|	gi|526003597|ref|YP_008239542.1|	gi|239507397|ref|YP_002939708.1|	gi|658310460|ref|YP_009042650.1|	gi|712916121|ref|YP_009103886.1|	gi|225626398|ref|YP_002727893.1|	gi|589287155|ref|YP_009008899.1|	gi|327198110|ref|YP_004306640.1|	gi|589893044|ref|YP_009004371.1|	gi|21716107|ref|NP_663670.1|	gi|658608066|ref|YP_009045030.1|	gi|526244907|ref|YP_008320235.1|	gi|589286628|ref|YP_009006566.1|	gi|589286244|ref|YP_009005233.1|	gi|56694901|ref|YP_164411.1|	gi|197261558|ref|YP_002154373.1|	gi|712912424|ref|YP_009099335.1|	gi|31544027|ref|NP_852752.1|	gi|327198524|ref|YP_004327111.1|	gi|571798129|ref|YP_008770508.1|	gi|568191533|ref|YP_008771319.1|	gi|56692920|ref|YP_164302.1|	gi|431809885|ref|YP_007236774.1|	gi|401723040|ref|YP_006589958.1|	gi|388570782|ref|YP_006383765.1|	gi|423262378|ref|YP_007010971.1|	gi|410490644|ref|YP_006905866.1|	gi|658311423|ref|YP_009044178.1|	gi|658608195|ref|YP_009045152.1|	gi|431810359|ref|YP_007237241.1|	gi|414090228|ref|YP_006990345.1|	gi|238801894|ref|YP_002925097.1|	gi|66391761|ref|YP_238485.1|	gi|273809772|ref|YP_003344847.1|	gi|118430761|ref|YP_873986.1|	gi|526178059|ref|YP_008241884.1|	gi|388570350|ref|YP_006382290.1|	gi|189427163|ref|YP_001949839.1|	gi|215401205|ref|YP_002332510.1|	gi|431809503|ref|YP_007236397.1|	gi|157311160|ref|YP_001469205.1|	gi|16798784|ref|NP_463462.1|	gi|658607661|ref|YP_009044672.1|	gi|90592609|ref|YP_529869.1|	gi|23455798|ref|NP_695171.1|	gi|589286245|ref|YP_009005234.1|	gi|62909765|ref|YP_227604.1|	gi|560185958|ref|YP_008853724.1|	gi|593779760|ref|YP_009017588.1|	gi|23505446|ref|NP_700374.1|	gi|418489384|ref|YP_007003201.1|	gi|77999989|ref|YP_358759.1|	gi|48697259|ref|YP_025026.1|	gi|219563198|ref|YP_002455790.1|	gi|281416386|ref|YP_003347410.1|	gi|9632896|ref|NP_049925.1|	gi|418489801|ref|YP_007003553.1|	gi|30089891|ref|NP_839921.1|	gi|589893763|ref|YP_009010472.1|	gi|281416464|ref|YP_003347384.1|	gi|589286873|ref|YP_009007068.1|	gi|418487841|ref|YP_007002072.1|	gi|418487691|ref|YP_007002014.1|	gi|62362370|ref|YP_224235.1|	gi|389060403|ref|YP_006383610.1|	gi|422935503|ref|YP_007005399.1|	gi|81343947|ref|YP_398963.1|	gi|45686308|ref|YP_003891.1|	gi|330858470|ref|YP_004414845.1|	gi|712912864|ref|YP_009099719.1|	gi|399529107|ref|YP_006561152.1|	gi|422936742|ref|YP_007007009.1|	gi|526176468|ref|YP_008240294.1|	gi|414090193|ref|YP_006990310.1|	gi|41179311|ref|NP_958529.1|	gi|410491821|ref|YP_006907043.1|	gi|388604638|ref|YP_006382530.1|	gi|589287064|ref|YP_009007857.1|	gi|448260094|ref|YP_007237471.1|	gi|568191883|ref|YP_008771667.1|	gi|609216899|ref|YP_008770876.1|	gi|460042513|ref|YP_007517943.1|	gi|113200616|ref|YP_717779.1|	gi|557307673|ref|YP_008767000.1|	gi|557307849|ref|YP_008767172.1|	gi|392972774|ref|YP_006488733.1|	gi|643319056|ref|YP_009036372.1|	gi|41179239|ref|NP_958578.1|	gi|422935567|ref|YP_007005468.1|	gi|410491651|ref|YP_006906873.1|	gi|418487072|ref|YP_007001466.1|	gi|116222004|ref|YP_794059.1|	gi|589890684|ref|YP_009006539.1|	gi|167600488|ref|YP_001671987.1|	gi|557307465|ref|YP_008766810.1|	gi|563399074|ref|YP_008858919.1|	gi|563399591|ref|YP_008859431.1|	gi|356870601|ref|YP_004934031.1|	gi|526177162|ref|YP_008241011.1|	gi|526177519|ref|YP_008241351.1|	gi|526177094|ref|YP_008240947.1|	gi|589893826|ref|YP_009010711.1|	gi|526177931|ref|YP_008241758.1|	gi|13559865|ref|NP_112075.1|	gi|53793590|ref|YP_112490.1|	gi|658310639|ref|YP_009042880.1|	gi|658607525|ref|YP_009044543.1|	gi|9632419|ref|NP_049391.1|	gi|526178334|ref|YP_008242156.1|	gi|89152480|ref|YP_512311.1|	gi|85701380|ref|YP_459965.1|	gi|418489112|ref|YP_007002966.1|	gi|20065964|ref|NP_612830.1|	gi|215401145|ref|YP_002332400.1|	gi|509139913|ref|YP_008058799.1|	gi|156603993|ref|YP_001429939.1|	gi|12719429|ref|NP_075500.1|	gi|148727154|ref|YP_001285648.1|	gi|109289941|ref|YP_655473.1|	gi|525972259|ref|YP_008239783.1|	gi|589891998|ref|YP_009008365.1|	gi|431809797|ref|YP_007236687.1|	gi|460042902|ref|YP_007518356.1|	gi|281416253|ref|YP_003347602.1|	gi|658607811|ref|YP_009044802.1|	gi|126011093|ref|YP_001039918.1|	gi|90592638|ref|YP_529552.1|	gi|589892181|ref|YP_009008546.1|	gi|167832346|ref|YP_001686737.1|	gi|213163901|ref|YP_002321453.1|	gi|658307382|ref|YP_009043080.1|	gi|281416361|ref|YP_003347495.1|	gi|281416254|ref|YP_003347603.1|	gi|326536848|ref|YP_004306102.1|	gi|17488504|ref|NP_510982.1|	gi|422935795|ref|YP_007005694.1|	gi|712915294|ref|YP_009102786.1|	gi|389060323|ref|YP_006383454.1|	gi|333798108|ref|YP_004508379.1|	gi|134287336|ref|YP_001110719.1|	gi|209901238|ref|YP_002290877.1|	gi|414090366|ref|YP_006990479.1|
gi|410491675|ref|YP_006906897.1|	100.00	 93.46	 92.52	 92.52	 91.59	 90.65	 90.65	 91.59	 92.52	 93.46	 10.81	 10.53	 10.53	 10.53	7.14	3.57	3.57	3.57	 19.35	 11.63	9.62	9.30	 22.50	 16.00	 23.08	 23.08	 23.08	 23.08	 13.79	 13.79	 13.79	 13.79	 13.79	 13.79	 17.24	 20.69	 20.69	 20.69	 12.50	 12.50	 12.50	 12.50	 12.50	 20.37	 20.37	 18.52	 20.37	 13.79	 13.79	 10.00	 13.33	 13.33	 13.33	8.82	8.82	 11.76	5.88	5.88	 10.00	 16.67	 16.67	9.09	9.09	 13.33	7.69	9.84	 23.33	 15.38	 10.71	 10.71	 17.50	 21.88	 22.58	3.70	 11.11	 12.90	 12.90	 12.90	4.00	 10.00	4.76	4.76	4.76	 19.05	 19.05	 19.05	9.68	4.76	4.00	4.76	 18.18	 18.18	 11.54	 11.54	7.14	 10.00	 13.33	6.67	 10.00	7.41	 12.50	 12.50	 12.50	 12.50	 16.13	 22.58	9.68	8.57	7.89	 14.29	 20.93	 20.93	 13.95	 25.81	9.68	 13.33	 20.00	 20.00	 15.62	 14.71	 12.50	9.38	9.38	0.00	 14.71	 16.67	 16.67	 13.95	 14.29	 14.29	 17.65	 29.41	 10.53	 10.81	8.33	8.33	 16.67	 17.39	 21.05	 21.05	 21.05	 17.86	 10.34	 10.34	3.85	8.00	 19.44	 10.71	 10.71	 10.71	7.14	 14.29	 16.00	4.00	5.88	5.88	6.90	 10.42	 16.67	 16.67	 11.11	 11.63	9.52	9.52	 11.11	 11.11	 11.36	 10.00	 10.00	3.03	0.00	7.69	6.90	5.56	 11.11	 10.34	 17.50	 23.08	5.26	4.35	 16.00	 11.54	 11.76	0.00	4.76	4.35	 22.73	8.89	 11.90	 12.20	 12.20
gi|410491180|ref|YP_006906402.1|	 93.46	100.00	 88.79	 90.65	 90.65	 91.59	 91.59	 92.52	 93.46	 94.39	 10.81	 10.53	 10.53	 10.53	3.57	3.57	3.57	3.57	 19.35	 11.63	9.62	9.30	 22.50	 16.00	 23.08	 23.08	 23.08	 23.08	 13.79	 13.79	 13.79	 13.79	 13.79	 13.79	 17.24	 20.69	 20.69	 20.69	 12.50	 12.50	 12.50	 12.50	 12.50	 18.52	 18.52	 16.67	 18.52	 13.79	 13.79	 10.00	 13.33	 13.33	 13.33	8.82	8.82	8.82	5.88	5.88	 10.00	 16.67	 16.67	9.09	9.09	 13.33	7.69	8.20	 23.33	 19.23	 10.71	 10.71	 20.00	 25.00	 19.35	3.70	 11.11	 12.90	 12.90	 12.90	4.00	 10.00	4.76	4.76	4.76	 14.29	 14.29	 14.29	9.68	4.76	4.00	4.76	 15.15	 15.15	 11.54	7.69	9.52	 10.00	 13.33	6.67	 10.00	7.41	9.38	9.38	9.38	8.33	 12.90	 19.35	9.68	8.57	7.89	 14.29	 20.93	 20.93	 13.95	 25.81	9.68	 13.33	 20.00	 20.00	 15.62	 11.76	 12.50	9.38	9.38	0.00	 14.71	 16.67	 16.67	 13.95	 14.29	 14.29	 17.65	 29.41	7.89	8.11	5.56	5.56	 19.05	 17.39	 21.05	 21.05	 21.05	 17.86	 10.34	 10.34	3.85	8.00	 19.44	 10.71	 10.71	 10.71	7.14	 14.29	 16.00	4.00	5.88	5.88	8.62	8.33	 19.05	 19.05	 11.11	 11.63	9.52	9.52	 11.11	 11.11	 11.36	 10.00	 10.00	3.03	0.00	7.69	6.90	5.56	 11.11	 10.34	 17.50	 20.51	5.26	4.35	 16.00	 11.54	 11.76	0.00	4.76	4.35	 22.73	8.89	 11.90	9.76	9.76
gi|410491776|ref|YP_006906998.1|	 92.52	 88.79	100.00	 97.56	 95.12	 95.93	 91.87	 93.50	 94.31	 94.31	 10.81	 10.53	 10.53	 10.53	 10.71	7.14	7.14	7.14	 19.35	 13.95	 11.54	 11.63	 22.50	 16.00	 23.08	 23.08	 23.08	 23.08	 13.79	 13.79	 13.79	 13.79	 13.79	 13.79	 17.24	 20.69	 20.69	 20.69	 13.89	 13.89	 13.89	 13.89	 13.89	 21.88	 21.88	 20.31	 21.88	 17.24	 17.24	 15.00	 13.33	 13.33	 13.33	 11.76	 11.76	 14.71	8.82	8.82	 10.00	 16.67	 16.67	7.27	7.27	 15.00	7.69	9.84	 23.33	 15.38	 10.71	 10.71	 17.50	 21.88	 22.58	7.41	 11.11	 16.13	 16.13	 16.13	4.00	 10.00	4.76	4.76	4.76	 19.05	 19.05	 19.05	9.68	4.76	4.00	4.76	 18.18	 18.18	 11.54	 11.54	 12.07	 10.00	 16.67	6.67	 10.00	7.41	 12.50	 12.50	 12.50	 12.50	 16.13	 22.58	9.68	6.52	6.38	 10.87	 20.37	 20.37	 16.67	 21.74	 10.64	 10.87	 21.74	 21.74	 13.64	 13.04	 13.64	 11.36	 11.36	 12.50	 16.00	 17.39	 17.39	 15.69	 16.00	 16.00	 17.65	 29.41	9.62	9.80	9.62	9.62	 17.24	 17.39	 20.37	 20.37	 20.37	 16.67	9.68	9.68	3.70	8.00	 18.42	7.14	7.14	7.14	7.14	 13.33	 11.11	 13.51	9.09	9.09	6.15	 10.42	 19.05	 19.05	8.89	 11.63	 14.29	 14.29	 16.67	 16.67	 12.07	9.43	9.43	2.17	0.00	5.26	4.76	 10.00	 16.67	9.52	 13.33	 23.08	5.26	4.35	 14.00	 11.54	8.82	0.00	6.90	4.35	 20.45	8.89	 11.90	 12.20	 12.20
gi|410490805|ref|YP_006906027.1|	 92.52	 90.65	 97.56	100.00	 94.31	 95.12	 94.31	 95.93	 96.75	 96.75	 10.81	 10.53	 10.53	 10.53	 10.71	7.14	7.14	7.14	 19.35	 13.95	 11.54	 11.63	 22.50	 16.00	 23.08	 23.08	 23.08	 23.08	 13.79	 13.79	 13.79	 13.79	 13.79	 13.79	 17.24	 20.69	 20.69	 20.69	 13.89	 13.89	 13.89	 13.89	 13.89	 21.88	 21.88	 20.31	 21.88	 17.24	 17.24	 15.00	 13.33	 13.33	 13.33	 11.76	 11.76	 14.71	8.82	8.82	 10.00	 16.67	 16.67	9.09	9.09	 13.33	7.69	9.84	 23.33	 15.38	 10.71	 10.71	 17.50	 21.88	 22.58	7.41	 11.11	 16.13	 16.13	 16.13	4.00	 10.00	4.76	4.76	4.76	 19.05	 19.05	 19.05	9.68	4.76	4.00	4.76	 18.18	 18.18	 11.54	 11.54	 12.07	 10.00	 16.67	6.67	 10.00	7.41	 12.50	 12.50	 12.50	 12.50	 16.13	 22.58	9.68	6.52	6.38	 10.87	 20.37	 20.37	 16.67	 21.74	 10.64	 10.87	 21.74	 21.74	 13.64	 13.04	 13.64	 11.36	 11.36	 12.50	 16.00	 17.39	 17.39	 15.69	 16.00	 16.00	 17.65	 29.41	9.62	9.80	9.62	9.62	 17.24	 17.39	 20.37	 20.37	 20.37	 16.67	9.68	9.68	3.70	8.00	 18.42	7.14	7.14	7.14	7.14	 13.33	 14.81	 13.51	9.09	9.09	6.15	8.33	 21.43	 21.43	8.89	 11.63	 14.29	 14.29	 16.67	 16.67	 12.07	9.43	9.43	2.17	0.00	5.26	4.76	 10.00	 16.67	9.52	 13.33	 23.08	5.26	4.35	 14.00	 11.54	 11.76	0.00	6.90	4.35	 20.45	8.89	 11.90	 12.20	 12.20
gi|410491319|ref|YP_006906541.1|	 91.59	 90.65	 95.12	 94.31	100.00	 95.12	 95.93	 95.93	 96.75	 96.75	 10.81	 10.53	 10.53	 10.53	7.14	3.57	3.57	3.57	 19.35	 11.63	9.62	9.30	 22.50	 16.00	 23.08	 23.08	 23.08	 23.08	 13.79	 13.79	 13.79	 13.79	 13.79	 13.79	 17.24	 20.69	 20.69	 20.69	 13.89	 13.89	 13.89	 13.89	 13.89	 20.31	 20.31	 18.75	 20.31	 13.79	 13.79	 10.00	 13.33	 13.33	 13.33	8.82	8.82	 11.76	5.88	5.88	 10.00	 16.67	 16.67	7.27	7.27	 15.00	7.69	9.84	 23.33	 15.38	 10.71	 10.71	 17.50	 21.88	 22.58	3.70	 11.11	 12.90	 12.90	 12.90	4.00	 10.00	4.76	4.76	4.76	 19.05	 19.05	 19.05	9.68	4.76	4.00	4.76	 18.18	 18.18	 11.54	 11.54	 12.07	 10.00	 13.33	6.67	 10.00	7.41	 12.50	 12.50	 12.50	 12.50	 16.13	 22.58	9.68	6.52	6.38	 13.04	 20.37	 20.37	 14.81	 21.74	 10.64	 10.87	 21.74	 21.74	 15.91	 13.04	 13.64	 11.36	 11.36	 12.50	 16.00	 17.39	 17.39	 15.69	 16.00	 16.00	 17.65	 29.41	9.62	9.80	9.62	9.62	 17.24	 17.39	 20.37	 20.37	 20.37	 16.67	9.68	9.68	3.70	8.00	 18.42	7.14	7.14	7.14	7.14	 13.33	 11.11	 13.51	9.09	9.09	6.15	 10.42	 16.67	 16.67	 11.11	 11.63	9.52	9.52	 11.11	 11.11	 12.07	9.43	9.43	2.17	0.00	5.26	4.76	 10.00	 16.67	9.52	 13.33	 23.08	5.26	4.35	 16.00	 11.54	8.82	0.00	6.90	4.35	 22.73	8.89	 11.90	 12.20	 12.20
gi|410491862|ref|YP_006907130.1|	 90.65	 91.59	 95.93	 95.12	 95.12	100.00	 93.50	 95.93	 96.75	 95.93	 10.81	 10.53	 10.53	 10.53	 10.71	7.14	7.14	7.14	 19.35	 13.95	 11.54	 11.63	 22.50	 16.00	 23.08	 23.08	 23.08	 23.08	 13.79	 13.79	 13.79	 13.79	 13.79	 13.79	 17.24	 20.69	 20.69	 20.69	 13.89	 13.89	 13.89	 13.89	 13.89	 21.88	 21.88	 20.31	 21.88	 17.24	 17.24	 15.00	 13.33	 13.33	 13.33	 11.76	 11.76	 14.71	8.82	8.82	 10.00	 16.67	 16.67	7.27	7.27	 15.00	7.69	9.84	 23.33	 15.38	 10.71	 10.71	 17.50	 21.88	 22.58	7.41	 11.11	 16.13	 16.13	 16.13	4.00	 10.00	4.76	4.76	4.76	 19.05	 19.05	 19.05	9.68	4.76	4.00	4.76	 18.18	 18.18	 11.54	 11.54	 12.07	 10.00	 16.67	6.67	 10.00	7.41	 12.50	 12.50	 12.50	 12.50	 16.13	 22.58	9.68	6.52	6.38	 10.87	 20.37	 20.37	 16.67	 21.74	 10.64	 10.87	 21.74	 21.74	 13.64	 13.04	 11.36	9.09	9.09	 12.50	 14.00	 17.39	 17.39	 15.69	 16.00	 16.00	 17.65	 29.41	9.62	9.80	9.62	9.62	 15.52	 17.39	 18.52	 18.52	 18.52	 16.67	9.68	9.68	3.70	8.00	 18.42	7.14	7.14	7.14	7.14	 13.33	 11.11	 13.51	9.09	9.09	6.15	8.33	 21.43	 21.43	8.89	 11.63	 14.29	 14.29	 16.67	 16.67	 12.07	9.43	9.43	2.17	0.00	5.26	4.76	6.67	 13.33	9.52	 13.33	 23.08	5.26	4.35	 14.00	 11.54	8.82	0.00	6.90	4.35	 20.45	8.89	 11.90	 12.20	 12.20
gi|410491366|ref|YP_006906588.1|	 90.65	 91.59	 91.87	 94.31	 95.93	 93.50	100.00	 96.75	 96.75	 97.56	 10.81	 10.53	 10.53	 10.53	7.14	3.57	3.57	3.57	 19.35	 11.63	9.62	9.30	 22.50	 16.00	 23.08	 23.08	 23.08	 23.08	 13.79	 13.79	 13.79	 13.79	 13.79	 13.79	 17.24	 20.69	 20.69	 20.69	 13.89	 13.89	 13.89	 13.89	 13.89	 20.31	 18.75	 17.19	 18.75	 13.79	 13.79	 10.00	 13.33	 13.33	 13.33	8.82	8.82	 11.76	5.88	5.88	 10.00	 16.67	 16.67	9.09	9.09	 13.33	6.15	8.20	 23.33	 15.38	 10.71	 10.71	 17.50	 21.88	 22.58	3.70	 11.11	 12.90	 12.90	 12.90	4.00	 10.00	4.76	4.76	4.76	 19.05	 19.05	 19.05	9.68	4.76	4.00	4.76	 18.18	 18.18	 11.54	 11.54	 12.07	 10.00	 13.33	6.67	 10.00	7.41	 12.50	 12.50	 12.50	 12.50	 16.13	 22.58	9.68	4.35	4.26	 13.04	 20.37	 20.37	 12.96	 19.57	 10.64	 10.87	 21.74	 21.74	 15.91	 13.04	 13.64	 11.36	 11.36	 12.50	 16.00	 17.39	 17.39	 15.69	 16.00	 16.00	 17.65	 29.41	9.62	9.80	9.62	9.62	 17.24	 17.39	 20.37	 20.37	 20.37	 16.67	9.68	9.68	3.70	8.00	 15.79	7.14	7.14	7.14	7.14	 13.33	 14.81	 13.51	9.09	9.09	6.15	8.33	 16.67	 16.67	 11.11	 11.63	9.52	9.52	 11.11	 11.11	 10.34	7.55	7.55	0.00	0.00	5.26	4.76	 10.00	 13.33	7.14	 13.33	 25.64	5.26	4.35	 14.00	 11.54	 11.76	0.00	5.17	4.35	 20.45	 11.11	 11.90	 12.20	 12.20
gi|410491551|ref|YP_006906773.1|	 91.59	 92.52	 93.50	 95.93	 95.93	 95.93	 96.75	100.00	 96.75	 97.56	 10.81	 10.53	 10.53	 10.53	 10.71	7.14	7.14	7.14	 19.35	 13.95	 11.54	 11.63	 22.50	 16.00	 23.08	 23.08	 23.08	 23.08	 13.79	 13.79	 13.79	 13.79	 13.79	 13.79	 17.24	 20.69	 20.69	 20.69	 16.67	 16.67	 16.67	 16.67	 16.67	 21.88	 21.88	 20.31	 21.88	 17.24	 17.24	 15.00	 13.33	 13.33	 13.33	 11.76	 11.76	 14.71	8.82	8.82	 10.00	 16.67	 16.67	9.09	9.09	 13.33	7.69	9.84	 23.33	 15.38	 10.71	 10.71	 17.50	 21.88	 22.58	7.41	 11.11	 16.13	 16.13	 16.13	4.00	 10.00	4.76	4.76	4.76	 19.05	 19.05	 19.05	9.68	4.76	4.00	4.76	 18.18	 18.18	 11.54	 11.54	 12.07	 10.00	 16.67	6.67	 10.00	7.41	 12.50	 12.50	 12.50	 12.50	 16.13	 22.58	9.68	8.70	8.51	 10.87	 20.37	 20.37	 16.67	 21.74	 10.64	 10.87	 21.74	 21.74	 13.64	 13.04	 11.36	9.09	9.09	 15.62	 14.00	 17.39	 17.39	 15.69	 16.00	 16.00	 17.65	 29.41	9.62	9.80	 11.54	 11.54	 15.52	 17.39	 18.52	 18.52	 18.52	 16.67	9.68	9.68	3.70	8.00	 18.42	7.14	7.14	7.14	7.14	 13.33	 14.81	 13.51	9.09	9.09	6.15	8.33	 21.43	 21.43	8.89	 11.63	 14.29	 14.29	 16.67	 16.67	 12.07	9.43	9.43	2.17	0.00	5.26	4.76	6.67	 13.33	 11.90	 13.33	 23.08	5.26	4.35	 14.00	 11.54	 11.76	0.00	6.90	4.35	 20.45	8.89	 11.90	 12.20	 12.20
gi|410507466|ref|YP_006907084.1|	 92.52	 93.46	 94.31	 96.75	 96.75	 96.75	 96.75	 96.75	100.00	 99.19	 10.81	 10.53	 10.53	 10.53	7.14	3.57	3.57	3.57	 19.35	 11.63	9.62	9.30	 22.50	 16.00	 23.08	 23.08	 23.08	 23.08	 13.79	 13.79	 13.79	 13.79	 13.79	 13.79	 17.24	 20.69	 20.69	 20.69	 13.89	 13.89	 13.89	 13.89	 13.89	 20.31	 20.31	 18.75	 20.31	 13.79	 13.79	 10.00	 13.33	 13.33	 13.33	8.82	8.82	 11.76	5.88	5.88	 10.00	 16.67	 16.67	9.09	9.09	 13.33	7.69	9.84	 23.33	 15.38	 10.71	 10.71	 17.50	 21.88	 22.58	3.70	 11.11	 12.90	 12.90	 12.90	4.00	 10.00	4.76	4.76	4.76	 19.05	 19.05	 19.05	9.68	4.76	4.00	4.76	 18.18	 18.18	 11.54	 11.54	 12.07	 10.00	 13.33	6.67	 10.00	7.41	 12.50	 12.50	 12.50	 12.50	 16.13	 22.58	9.68	6.52	6.38	 13.04	 20.37	 20.37	 14.81	 21.74	 10.64	 10.87	 21.74	 21.74	 15.91	 13.04	 13.64	 11.36	 11.36	 12.50	 16.00	 17.39	 17.39	 15.69	 16.00	 16.00	 17.65	 29.41	9.62	9.80	9.62	9.62	 17.24	 17.39	 20.37	 20.37	 20.37	 16.67	9.68	9.68	3.70	8.00	 18.42	7.14	7.14	7.14	7.14	 13.33	 14.81	 13.51	9.09	9.09	6.15	8.33	 19.05	 19.05	 11.11	 11.63	9.52	9.52	 11.11	 11.11	 12.07	9.43	9.43	2.17	0.00	5.26	4.76	 10.00	 16.67	9.52	 13.33	 23.08	5.26	4.35	 16.00	 11.54	 11.76	0.00	6.90	4.35	 22.73	8.89	 11.90	 12.20	 12.20
gi|410491272|ref|YP_006906494.1|	 93.46	 94.39	 94.31	 96.75	 96.75	 95.93	 97.56	 97.56	 99.19	100.00	 10.81	 10.53	 10.53	 10.53	7.14	3.57	3.57	3.57	 19.35	 11.63	9.62	9.30	 22.50	 16.00	 23.08	 23.08	 23.08	 23.08	 13.79	 13.79	 13.79	 13.79	 13.79	 13.79	 17.24	 20.69	 20.69	 20.69	 13.89	 13.89	 13.89	 13.89	 13.89	 20.31	 20.31	 18.75	 20.31	 13.79	 13.79	 10.00	 13.33	 13.33	 13.33	8.82	8.82	 11.76	5.88	5.88	 10.00	 16.67	 16.67	9.09	9.09	 13.33	7.69	9.84	 23.33	 15.38	 10.71	 10.71	 17.50	 21.88	 22.58	3.70	 11.11	 12.90	 12.90	 12.90	4.00	 10.00	4.76	4.76	4.76	 19.05	 19.05	 19.05	9.68	4.76	4.00	4.76	 18.18	 18.18	 11.54	 11.54	 12.07	 10.00	 13.33	6.67	 10.00	7.41	 12.50	 12.50	 12.50	 12.50	 16.13	 22.58	9.68	6.52	6.38	 13.04	 20.37	 20.37	 14.81	 21.74	 10.64	 10.87	 21.74	 21.74	 15.91	 13.04	 13.64	 11.36	 11.36	 12.50	 16.00	 17.39	 17.39	 15.69	 16.00	 16.00	 17.65	 29.41	9.62	9.80	9.62	9.62	 17.24	 17.39	 20.37	 20.37	 20.37	 16.67	9.68	9.68	3.70	8.00	 18.42	7.14	7.14	7.14	7.14	 13.33	 14.81	 13.51	9.09	9.09	6.15	8.33	 19.05	 19.05	 11.11	 11.63	9.52	9.52	 11.11	 11.11	 12.07	9.43	9.43	2.17	0.00	5.26	4.76	 10.00	 16.67	9.52	 13.33	 23.08	5.26	4.35	 16.00	 11.54	 11.76	0.00	6.90	4.35	 22.73	8.89	 11.90	 12.20	 12.20
