qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|134288627|ref|YP_001111080.1|	158	506517754	WP_015984961	158	100	158	322	7e-110	28450	phage terminase small subunit P27 family [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288627|ref|YP_001111080.1|	158	490684873	WP_004549538	158	99.37	157	319	8e-109	28450	phage terminase small subunit P27 family [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288627|ref|YP_001111080.1|	158	1141105210	WP_076892880	158	98.73	156	317	3e-108	28450	phage terminase small subunit P27 family [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288627|ref|YP_001111080.1|	158	981241459	WP_059461346	158	96.84	153	310	2e-105	60552	phage terminase small subunit P27 family [Burkholderia vietnamiensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis
0	gi|134288627|ref|YP_001111080.1|	158	749303160	WP_040127325	158	95.57	151	308	9e-105	95486	phage terminase small subunit P27 family [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|134288627|ref|YP_001111080.1|	158	654303442	WP_027817079	158	89.24	141	291	5e-98	765414	phage terminase small subunit P27 family [Paraburkholderia bannensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia bannensis
0	gi|134288627|ref|YP_001111080.1|	158	1219497060	WP_089452419	161	75.48	117	239	3e-77	2015348	phage terminase small subunit P27 family [Burkholderia sp. AU17325]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. AU17325
0	gi|134288627|ref|YP_001111080.1|	158	780058285	WP_045454272	159	74.05	117	238	3e-77	758796	phage terminase small subunit P27 family [Burkholderia sp. RPE67]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. RPE67
0	gi|134288627|ref|YP_001111080.1|	158	817359436	WP_046548188	161	75.48	117	238	5e-77	488447	phage terminase small subunit P27 family [Burkholderia contaminans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia contaminans
0	gi|134288627|ref|YP_001111080.1|	158	982333936	WP_060355337	161	74.84	116	236	3e-76	1637831	phage terminase small subunit P27 family [Burkholderia sp. MSMB617WGS]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. MSMB617WGS
0	gi|134288627|ref|YP_001111080.1|	158	504712103	WP_014899205	161	74.84	116	236	5e-76	292	phage terminase small subunit P27 family [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|134288627|ref|YP_001111080.1|	158	981443344	WP_059652952	161	74.84	116	236	5e-76	32008	MULTISPECIES: phage terminase small subunit P27 family [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|134288627|ref|YP_001111080.1|	158	1054718694	WP_066484208	161	74.19	115	236	5e-76	1385592	phage terminase small subunit P27 family [Burkholderia sp. BDU8]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU8
0	gi|134288627|ref|YP_001111080.1|	158	981476084	WP_059683643	161	74.84	116	235	6e-76	1637866	phage terminase small subunit P27 family [Burkholderia sp. FL-7-2-10-S1-D7]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. FL-7-2-10-S1-D7
0	gi|134288627|ref|YP_001111080.1|	158	982166814	WP_060330843	161	74.84	116	235	8e-76	292	phage terminase small subunit P27 family [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|134288627|ref|YP_001111080.1|	158	981646219	WP_059844792	161	74.19	115	235	1e-75	57975	phage terminase small subunit P27 family [Burkholderia thailandensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia thailandensis
0	gi|134288627|ref|YP_001111080.1|	158	981402648	WP_059614586	161	74.19	115	234	2e-75	87882	MULTISPECIES: phage terminase small subunit P27 family [Burkholderia cepacia complex]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|134288627|ref|YP_001111080.1|	158	752526653	WP_041198217	161	74.19	115	234	2e-75	28450	phage terminase small subunit P27 family [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288627|ref|YP_001111080.1|	158	1173655233	WP_081337594	161	74.19	115	234	3e-75	1207504	phage terminase small subunit P27 family [Burkholderia pseudomultivorans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomultivorans
0	gi|134288627|ref|YP_001111080.1|	158	981388947	WP_059601808	161	74.19	115	234	3e-75	1207504	phage terminase small subunit P27 family [Burkholderia pseudomultivorans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomultivorans
0	gi|134288627|ref|YP_001111080.1|	158	981644180	WP_059843007	161	74.19	115	234	3e-75	87883	phage terminase small subunit P27 family [Burkholderia multivorans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia multivorans
0	gi|134288627|ref|YP_001111080.1|	158	758877591	WP_043037601	161	74.19	115	234	3e-75	57975	phage terminase small subunit P27 family [Burkholderia thailandensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia thailandensis
0	gi|134288627|ref|YP_001111080.1|	158	506499753	WP_015967347	161	74.19	115	233	4e-75	111527	MULTISPECIES: phage terminase small subunit P27 family [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|134288627|ref|YP_001111080.1|	158	490661673	WP_004526663	161	73.55	114	232	1e-74	28450	phage terminase small subunit P27 family [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288627|ref|YP_001111080.1|	158	1147223684	WP_077187668	161	73.55	114	232	2e-74	28450	phage terminase small subunit P27 family [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288627|ref|YP_001111080.1|	158	1177584047	WP_082720174	161	73.55	114	231	2e-74	1637876	phage terminase small subunit P27 family [Burkholderia sp. MSMB1835]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. MSMB1835
0	gi|134288627|ref|YP_001111080.1|	158	740932799	WP_038717819	161	73.55	114	231	4e-74	28450	phage terminase small subunit P27 family [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|134288627|ref|YP_001111080.1|	158	802684068	WP_046059997	159	70.06	110	231	5e-74	80869	phage terminase small subunit P27 family [Acidovorax citrulli]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax citrulli
