qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|514051546|ref|YP_008125973.1|	166	739327323	WP_037189757	157	94.58	157	296	2e-99	1509405	hypothetical protein [Pseudorhizobium pelagicum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudorhizobium	Pseudorhizobium pelagicum
0	gi|514051546|ref|YP_008125973.1|	166	1149079913	WP_077659825	148	87.95	146	177	4e-53	1908198	hypothetical protein [Salinivibrio sp. AL184]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Salinivibrio	Salinivibrio kushneri
0	gi|514051547|ref|YP_008125974.1|	636	739327320	WP_037189754	636	100	636	1303	0	1509405	hypothetical protein [Pseudorhizobium pelagicum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudorhizobium	Pseudorhizobium pelagicum
0	gi|514051548|ref|YP_008125975.1|	292	739327317	WP_037189751	292	100	292	591	0	1224	MULTISPECIES: hypothetical protein [Proteobacteria]	Bacteria	Proteobacteria					
0	gi|514051549|ref|YP_008125976.1|	251	739327315	WP_037189749	251	100	251	498	1e-176	1224	MULTISPECIES: hypothetical protein [Proteobacteria]	Bacteria	Proteobacteria					
0	gi|514051550|ref|YP_008125977.1|	2201	739327578	WP_037190012	2201	100	2201	4441	0	1509405	hypothetical protein [Pseudorhizobium pelagicum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudorhizobium	Pseudorhizobium pelagicum
0	gi|514051550|ref|YP_008125977.1|	2201	1249999273	WP_096793131	1747	48.01	157	272	5e-70	1720343	hypothetical protein [Pseudoalteromonas sp. 1_2015MBL_MicDiv]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas sp. 1_2015MBL_MicDiv
0	gi|514051550|ref|YP_008125977.1|	2201	1033129128	WP_064435407	2652	35.6	220	261	2e-66	1840331	hypothetical protein [Pseudoalteromonas neustonica]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas neustonica
0	gi|514051550|ref|YP_008125977.1|	2201	968556884	WP_058584068	2738	39.87	183	255	1e-64	1766621	hypothetical protein [Pseudoalteromonas sp. XI10]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas sp. XI10
0	gi|514051550|ref|YP_008125977.1|	2201	968556884	WP_058584068	2738	49.02	50	105	7e-19	1766621	hypothetical protein [Pseudoalteromonas sp. XI10]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas sp. XI10
0	gi|514051550|ref|YP_008125977.1|	2201	1011720816	WP_062564624	2738	40.13	185	255	2e-64	1190813	hypothetical protein [Pseudoalteromonas shioyasakiensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas shioyasakiensis
0	gi|514051550|ref|YP_008125977.1|	2201	1011720816	WP_062564624	2738	48.04	49	102	4e-18	1190813	hypothetical protein [Pseudoalteromonas shioyasakiensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas shioyasakiensis
0	gi|514051550|ref|YP_008125977.1|	2201	1027773466	WP_063705172	2404	38.58	179	249	1e-62	1703256	hypothetical protein [Pseudoalteromonas gelatinilytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas gelatinilytica
0	gi|514051550|ref|YP_008125977.1|	2201	1027773466	WP_063705172	2404	44.44	44	94.4	2e-15	1703256	hypothetical protein [Pseudoalteromonas gelatinilytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas gelatinilytica
0	gi|514051550|ref|YP_008125977.1|	2201	935572002	WP_054452954	2514	45.07	151	241	3e-60	187330	hypothetical protein [Pseudoalteromonas porphyrae]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas porphyrae
