qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|66391760|ref|YP_238484.1|	137	1181743661	WP_084828630	138	94.93	131	267	5e-89	1308	autolysin [Streptococcus thermophilus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus
0	gi|66391760|ref|YP_238484.1|	137	1092443624	WP_070439708	138	91.24	125	260	2e-86	1581080	autolysin [Streptococcus sp. HMSC10E12]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. HMSC10E12
0	gi|66391760|ref|YP_238484.1|	137	991981399	WP_060972301	138	91.3	126	260	3e-86	1768764	autolysin [Streptococcus sp. CCH5-D3]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. CCH5-D3
0	gi|66391760|ref|YP_238484.1|	137	1325927096	WP_101799672	138	90.58	125	259	5e-86	1304	autolysin [Streptococcus salivarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius
0	gi|66391760|ref|YP_238484.1|	137	1092629257	WP_070575622	138	89.78	123	256	8e-85	1739371	autolysin [Streptococcus sp. HMSC064H09]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. HMSC064H09
0	gi|66391760|ref|YP_238484.1|	137	1268669258	WP_098963763	138	89.86	124	256	1e-84	303	autolysin [Pseudomonas putida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0	gi|66391760|ref|YP_238484.1|	137	1172219994	WP_080611705	138	88.41	122	253	1e-83	1304	autolysin [Streptococcus salivarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius
0	gi|66391760|ref|YP_238484.1|	137	1003721024	WP_061455148	145	59.85	82	161	3e-47	1739408	autolysin [Streptococcus sp. HMSC072G04]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. HMSC072G04
0	gi|66391760|ref|YP_238484.1|	137	489186667	WP_003096080	140	55.88	76	154	2e-44	1343	autolysin [Streptococcus vestibularis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus vestibularis
0	gi|66391760|ref|YP_238484.1|	137	1183613782	WP_084849370	143	56.2	77	154	2e-44	1303	autolysin [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|66391760|ref|YP_238484.1|	137	488979569	WP_002890409	140	55.15	75	152	4e-44	1304	autolysin [Streptococcus salivarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius
0	gi|66391760|ref|YP_238484.1|	137	739749449	WP_037602319	139	54.01	74	151	1e-43	1304	autolysin [Streptococcus salivarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius
0	gi|66391760|ref|YP_238484.1|	137	1005309576	WP_061596420	146	55.47	76	150	6e-43	1302	autolysin [Streptococcus gordonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gordonii
0	gi|66391760|ref|YP_238484.1|	137	787815445	WP_045772163	140	54.41	74	147	1e-41	1304	autolysin [Streptococcus salivarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius
0	gi|66391760|ref|YP_238484.1|	137	1008240377	WP_061866142	146	54.41	74	141	2e-39	1303	autolysin [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|66391760|ref|YP_238484.1|	137	1043199427	WP_065355142	146	49.28	68	141	2e-39	1334	ArpU family transcriptional regulator [Streptococcus dysgalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae
0	gi|66391760|ref|YP_238484.1|	137	560287163	WP_023610892	146	49.28	68	139	7e-39	1314	phage transcriptional regulator, ArpU family [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|66391760|ref|YP_238484.1|	137	662759543	WP_030127843	144	49.28	68	139	8e-39	1314	ArpU family transcriptional regulator, partial [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|66391760|ref|YP_238484.1|	137	489146275	WP_003056022	146	48.55	67	139	1e-38	1334	ArpU family transcriptional regulator [Streptococcus dysgalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae
0	gi|66391760|ref|YP_238484.1|	137	499327374	WP_011017866	146	49.28	68	139	1e-38	1314	ArpU family transcriptional regulator [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|66391760|ref|YP_238484.1|	137	662759532	WP_030127839	145	49.28	68	139	1e-38	1314	ArpU family transcriptional regulator, partial [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|66391760|ref|YP_238484.1|	137	806828825	WP_046177721	146	48.55	67	139	2e-38	1334	ArpU family transcriptional regulator [Streptococcus dysgalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae
0	gi|66391760|ref|YP_238484.1|	137	489080115	WP_002990052	146	48.55	67	138	2e-38	1314;160490	ArpU family transcriptional regulator [Streptococcus pyogenes]	NA	NA	NA	NA	NA	NA	NA
0	gi|66391760|ref|YP_238484.1|	137	502338683	WP_012767387	146	48.55	67	138	2e-38	1334	ArpU family transcriptional regulator [Streptococcus dysgalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae
0	gi|66391760|ref|YP_238484.1|	137	662759122	WP_030127722	144	48.55	67	138	3e-38	1314	ArpU family transcriptional regulator, partial [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|66391760|ref|YP_238484.1|	137	1140774385	WP_076636813	146	48.55	67	137	4e-38	1314	ArpU family transcriptional regulator [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|66391760|ref|YP_238484.1|	137	1043115300	WP_065354789	146	48.55	67	137	4e-38	1334	ArpU family transcriptional regulator [Streptococcus dysgalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae
