qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|48697404|ref|YP_024789.1|	116	517661676	WP_018831884	109	47.22	51	93.6	1e-21	168695	hypothetical protein [Salinispora tropica]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora tropica
0	gi|48697404|ref|YP_024789.1|	116	1183611255	WP_084847254	101	41	41	65.5	4e-11	43767	DUF1360 domain-containing protein [Rhodococcus hoagii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii
0	gi|48697404|ref|YP_024789.1|	116	1183608100	WP_084844923	101	40	40	64.7	7e-11	43767	DUF1360 domain-containing protein [Rhodococcus hoagii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii
0	gi|48697405|ref|YP_024790.1|	646	517661675	WP_018831883	615	43.46	266	445	3e-144	168695	hypothetical protein [Salinispora tropica]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora tropica
0	gi|48697405|ref|YP_024790.1|	646	1215119935	WP_088999527	626	31.66	202	233	2e-63	47858	hypothetical protein [Micromonospora echinofusca]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora echinofusca
0	gi|48697405|ref|YP_024790.1|	646	657820906	WP_029537579	623	32.27	202	233	2e-63	168697	hypothetical protein [Salinispora arenicola]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora arenicola
0	gi|48697405|ref|YP_024790.1|	646	1225590617	WP_093595077	593	30.67	188	228	4e-62	1839780	hypothetical protein [Streptomyces sp. MnatMP-M17]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. MnatMP-M17
0	gi|48697405|ref|YP_024790.1|	646	1223292546	WP_091331392	626	32.7	208	225	8e-61	47850	hypothetical protein [Micromonospora aurantiaca]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora aurantiaca
0	gi|48697405|ref|YP_024790.1|	646	517657648	WP_018827856	627	30.25	190	224	3e-60	351187	hypothetical protein [Salinispora pacifica]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora pacifica
0	gi|48697405|ref|YP_024790.1|	646	664399379	WP_030925534	613	29.98	191	222	9e-60	2002	hypothetical protein [Streptosporangium amethystogenes]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium	Streptosporangium amethystogenes
0	gi|48697405|ref|YP_024790.1|	646	664148185	WP_030684305	582	29.9	180	221	2e-59	1927	hypothetical protein [Streptomyces rimosus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rimosus
0	gi|48697405|ref|YP_024790.1|	646	1105032636	WP_071805674	618	30.88	197	221	2e-59	56438	hypothetical protein [Couchioplanes caeruleus]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Couchioplanes	Couchioplanes caeruleus
0	gi|48697405|ref|YP_024790.1|	646	1223064466	WP_091105678	625	31.29	194	216	2e-57	47855	hypothetical protein [Micromonospora citrea]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora citrea
0	gi|48697405|ref|YP_024790.1|	646	1142814948	WP_077060446	625	31.38	193	215	3e-57	1857892	hypothetical protein [Streptomyces sp. MP131-18]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. MP131-18
0	gi|48697405|ref|YP_024790.1|	646	654246074	WP_027761655	638	30.23	182	208	1e-54	1288079	hypothetical protein [Streptomyces sp. CNT318]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CNT318
0	gi|48697405|ref|YP_024790.1|	646	518378257	WP_019548464	623	30.11	184	205	1e-53	47758	hypothetical protein [Streptomyces sulphureus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sulphureus
0	gi|48697405|ref|YP_024790.1|	646	518379629	WP_019549836	618	29.77	181	195	3e-50	47758	hypothetical protein [Streptomyces sulphureus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sulphureus
0	gi|48697405|ref|YP_024790.1|	646	665656533	WP_031186422	487	32.41	141	192	4e-50	1463893	hypothetical protein, partial [Streptomyces sp. NRRL S-1896]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL S-1896
0	gi|48697405|ref|YP_024790.1|	646	759892372	WP_043578967	624	29.03	180	191	7e-49	414996	phage portal protein [Actinopolyspora erythraea]	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales	Actinopolysporaceae	Actinopolyspora	Actinopolyspora erythraea
0	gi|48697405|ref|YP_024790.1|	646	1180447463	WP_083962538	622	28.75	184	184	1e-46	616997	hypothetical protein [Hoyosella altamirensis]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Hoyosella	Hoyosella altamirensis
0	gi|48697405|ref|YP_024790.1|	646	918723398	WP_052586138	615	28.36	175	179	1e-44	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|48697405|ref|YP_024790.1|	646	1328100353	WP_102211775	497	29.35	150	175	6e-44	1725	hypothetical protein [Corynebacterium xerosis]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium xerosis
0	gi|48697405|ref|YP_024790.1|	646	919192083	WP_052747584	515	30.86	154	174	2e-43	29321	phage portal protein [Turicella otitidis]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Turicella	Turicella otitidis
0	gi|48697405|ref|YP_024790.1|	646	1285157408	WP_100483252	617	29.28	176	175	2e-43	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|48697405|ref|YP_024790.1|	646	739330933	WP_037193297	546	28.2	130	173	4e-43	1827	MULTISPECIES: hypothetical protein [Rhodococcus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	
