qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|418488153|ref|YP_007002338.1|	257	495877108	WP_008601687	245	55.34	140	284	4e-92	450749	DNA methylase [Veillonella sp. 6_1_27]	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp. 6_1_27
0	gi|418488153|ref|YP_007002338.1|	257	1199578541	WP_087313598	250	57.25	146	283	8e-92	1965542	DNA methylase [Eubacterium sp. An11]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. An11
0	gi|418488153|ref|YP_007002338.1|	257	1326097550	WP_101928771	245	54.94	139	281	4e-91	29466	DNA methylase [Veillonella parvula]	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula
0	gi|418488153|ref|YP_007002338.1|	257	491566790	WP_005424375	250	55.24	137	266	4e-85	40520	DNA methylase [Blautia obeum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia obeum
0	gi|418488153|ref|YP_007002338.1|	257	960517594	WP_058321095	244	51.6	129	228	3e-70	1358418	hypothetical protein [Sinorhizobium sp. GL28]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. GL28
0	gi|418488153|ref|YP_007002338.1|	257	759922912	WP_043608693	226	50.86	118	205	1e-61	1386092	hypothetical protein, partial [Cellulomonas carbonis]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas carbonis
0	gi|418488153|ref|YP_007002338.1|	257	1245790019	WP_096098764	264	41.6	109	205	5e-61	562	transcriptional regulator [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|418488153|ref|YP_007002338.1|	257	1001803424	WP_061336296	262	41.98	110	204	8e-61	562	transcriptional regulator [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|418488153|ref|YP_007002338.1|	257	1252889604	WP_096839280	263	41.6	109	204	1e-60	562	transcriptional regulator [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|418488153|ref|YP_007002338.1|	257	749059320	WP_040092206	262	41.98	110	204	1e-60	562	transcriptional regulator [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
