qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|194100360|ref|YP_002003934.1|	79	506523220	WP_015990332	66	67.19	43	92.8	2e-22	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|194100361|ref|YP_002003935.1|	116	890832373	WP_048901937	119	65.45	72	143	8e-41	633	hypothetical protein [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|194100361|ref|YP_002003935.1|	116	1122786414	WP_074146403	169	65.38	51	107	3e-26	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|194100364|ref|YP_002003938.1|	883	447015099	WP_001092355	883	98.75	872	1824	0	543	MULTISPECIES: DNA-dependent RNA polymerase [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|194100364|ref|YP_002003938.1|	883	1173339049	WP_081195781	883	98.64	871	1821	0	562	DNA-dependent RNA polymerase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|194100364|ref|YP_002003938.1|	883	1122786420	WP_074146407	893	62.47	561	1145	0	1496	DNA-dependent RNA polymerase [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|194100364|ref|YP_002003938.1|	883	1200056155	WP_087502366	889	59.15	527	1093	0	1986221	DNA-dependent RNA polymerase [Pseudomonas sp. SID14000]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. SID14000
0	gi|194100364|ref|YP_002003938.1|	883	916815034	WP_051422090	897	57.78	516	1055	0	1284392	DNA polymerase [Pseudomonas sp. FH1]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. FH1
0	gi|194100364|ref|YP_002003938.1|	883	929035192	WP_054058892	889	57.55	511	1027	0	50340	DNA polymerase [Pseudomonas fuscovaginae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fuscovaginae
0	gi|194100364|ref|YP_002003938.1|	883	1332593372	WP_102643131	892	57	509	1010	0	286	MULTISPECIES: DNA-dependent RNA polymerase [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|194100364|ref|YP_002003938.1|	883	1189160538	WP_085589309	885	50.9	451	880	0	1981745	DNA-dependent RNA polymerase [Pseudomonas sp. B14(2017)]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. B14(2017)
0	gi|194100364|ref|YP_002003938.1|	883	915715873	WP_050876637	875	47.11	415	841	0	630	hypothetical protein [Yersinia enterocolitica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica
0	gi|194100364|ref|YP_002003938.1|	883	1123902948	WP_074424935	873	47.98	416	837	0	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|194100364|ref|YP_002003938.1|	883	1327500771	WP_101995056	875	47.93	416	836	0	1463165	DNA-dependent RNA polymerase [Klebsiella quasipneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella quasipneumoniae
0	gi|194100364|ref|YP_002003938.1|	883	1293381568	WP_100663144	875	47.81	415	834	0	54291	DNA-dependent RNA polymerase [Raoultella ornithinolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
0	gi|194100364|ref|YP_002003938.1|	883	881010504	WP_048731271	619	63.81	395	830	0	1674920	DNA polymerase, partial [Pseudomonas sp. KG01]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. KG01
0	gi|194100364|ref|YP_002003938.1|	883	1205053125	WP_087768217	625	46.49	285	581	0	28152	hypothetical protein [Yersinia kristensenii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia kristensenii
0	gi|194100364|ref|YP_002003938.1|	883	727229488	WP_033690360	852	38.78	344	577	0	286	MULTISPECIES: DNA polymerase [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|194100364|ref|YP_002003938.1|	883	746586166	WP_039614304	852	38.56	342	575	0	1586081	DNA polymerase [Pseudomonas sp. C5pp]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. C5pp
0	gi|194100364|ref|YP_002003938.1|	883	499255699	WP_010953239	852	38.56	342	574	0	303;160488	DNA-dependent RNA polymerase [Pseudomonas putida]	NA	NA	NA	NA	NA	NA	NA
0	gi|194100364|ref|YP_002003938.1|	883	655283301	WP_028692664	852	38.44	341	573	0	78327	DNA polymerase [Pseudomonas mosselii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mosselii
0	gi|194100364|ref|YP_002003938.1|	883	1035782140	WP_064590845	852	38.25	337	572	0	303	DNA-dependent RNA polymerase [Pseudomonas putida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0	gi|194100364|ref|YP_002003938.1|	883	1174867126	WP_081544385	879	37.12	333	549	7e-178	394935	hypothetical protein [Chromobacterium haemolyticum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum
0	gi|194100364|ref|YP_002003938.1|	883	983338245	WP_060519026	804	38.11	319	534	4e-173	1661049	DNA polymerase, partial [Pseudomonas sp. NBRC 111134]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. NBRC 111134
0	gi|194100364|ref|YP_002003938.1|	883	917302539	WP_051909251	864	37.57	328	528	5e-170	399	hypothetical protein [Neorhizobium galegae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	Neorhizobium galegae
0	gi|194100364|ref|YP_002003938.1|	883	1174848427	WP_081528120	873	36.6	325	527	2e-169	536	hypothetical protein [Chromobacterium violaceum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
0	gi|194100364|ref|YP_002003938.1|	883	1046588228	WP_065661133	858	37.37	324	525	8e-169	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|194100364|ref|YP_002003938.1|	883	1293238461	WP_100632572	841	38.02	330	512	4e-164	2056231	hypothetical protein [Pseudomonas sp. JJ3]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. JJ3
0	gi|194100364|ref|YP_002003938.1|	883	499274058	WP_010971451	863	37.01	322	512	7e-164	176299;1183400	MULTISPECIES: DNA-directed RNA polymerase [Agrobacterium tumefaciens complex]	NA	NA	NA	NA	NA	NA	NA
0	gi|194100364|ref|YP_002003938.1|	883	517698094	WP_018868302	848	36.76	322	493	1e-156	106633	MULTISPECIES: hypothetical protein [Thioalkalivibrio]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	
0	gi|194100364|ref|YP_002003938.1|	883	1055983620	WP_067516854	840	35.87	316	492	2e-156	1698521	hypothetical protein [Endozoicomonas ascidiicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonaceae	Endozoicomonas	Endozoicomonas ascidiicola
0	gi|194100364|ref|YP_002003938.1|	883	518236011	WP_019406219	889	34.51	313	489	8e-155	316	hypothetical protein [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|194100364|ref|YP_002003938.1|	883	1173203734	WP_081093493	833	35.04	308	487	1e-154	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|194100364|ref|YP_002003938.1|	883	1224567306	WP_092587255	858	36.07	321	487	2e-154	158890	hypothetical protein [Rhizobium loessense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium loessense
0	gi|194100364|ref|YP_002003938.1|	883	516836734	WP_018123401	854	34.44	310	486	4e-154	63560	hypothetical protein [Desulfovibrio oxyclinae]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio oxyclinae
0	gi|194100364|ref|YP_002003938.1|	883	1119270863	WP_072249625	848	35.42	306	486	7e-154	363953	hypothetical protein [Chelatococcus sambhunathii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Chelatococcaceae	Chelatococcus	Chelatococcus sambhunathii
0	gi|194100364|ref|YP_002003938.1|	883	1189728177	WP_085777945	858	35.82	317	485	1e-153	1981173	hypothetical protein [Rhizobium sp. NXC14]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. NXC14
