qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|712913235|ref|YP_009100048.1|	188	1242662236	WP_095788159	186	64.02	121	229	9e-73	2029411	hypothetical protein [Mesorhizobium sp. WSM4312]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. WSM4312
0	gi|712913235|ref|YP_009100048.1|	188	737223139	WP_035207781	196	54.55	102	188	2e-56	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|712913236|ref|YP_009100049.1|	272	563877337	WP_023805363	259	71.59	189	368	1e-124	1287120	hypothetical protein [Mesorhizobium sp. L2C089B000]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. L2C089B000
0	gi|712913236|ref|YP_009100049.1|	272	1242662235	WP_095788158	255	66.42	176	350	1e-117	2029411	hypothetical protein [Mesorhizobium sp. WSM4312]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. WSM4312
0	gi|712913236|ref|YP_009100049.1|	272	1258290681	WP_097587391	249	63.64	168	316	2e-104	380	hypothetical protein [Sinorhizobium fredii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii
0	gi|712913236|ref|YP_009100049.1|	272	1224567268	WP_092587217	255	64.39	170	307	7e-101	158890	hypothetical protein [Rhizobium loessense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium loessense
0	gi|712913236|ref|YP_009100049.1|	272	640277065	WP_024847825	269	60.79	169	307	1e-100	935261	hypothetical protein [Aminobacter sp. J41]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aminobacter	Aminobacter sp. J41
0	gi|712913236|ref|YP_009100049.1|	272	1183828058	WP_085025255	272	60	168	305	9e-100	1708715	hypothetical protein [Ensifer aridi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer aridi
0	gi|712913236|ref|YP_009100049.1|	272	1189728215	WP_085777983	255	65.19	176	303	3e-99	1981173	hypothetical protein [Rhizobium sp. NXC14]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. NXC14
0	gi|712913236|ref|YP_009100049.1|	272	1325904014	WP_101778019	265	57.99	156	294	2e-95	110321	hypothetical protein [Sinorhizobium medicae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium medicae
0	gi|712913236|ref|YP_009100049.1|	272	658533404	WP_029727610	281	55.24	158	291	4e-94	382	hypothetical protein [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|712913236|ref|YP_009100049.1|	272	739260806	WP_037123778	253	62.74	165	288	3e-93	1500301	hypothetical protein [Rhizobium sp. CF097]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. CF097
0	gi|712913236|ref|YP_009100049.1|	272	563967269	WP_023815417	199	66.83	135	263	4e-84	1287106	hypothetical protein [Mesorhizobium sp. L2C067A000]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. L2C067A000
0	gi|712913236|ref|YP_009100049.1|	272	821562291	WP_046869296	288	41.8	107	163	2e-44	1033741	hypothetical protein [Microvirga massiliensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga massiliensis
0	gi|712913236|ref|YP_009100049.1|	272	739644764	WP_037500584	262	40.82	109	150	6e-40	392409	hypothetical protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|712913236|ref|YP_009100049.1|	272	1160786826	WP_079638732	268	38.69	106	133	2e-33	1507287	hypothetical protein [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|712913236|ref|YP_009100049.1|	272	496395155	WP_009104145	277	35.58	95	119	7e-28	595460	hypothetical protein [Rhodopirellula sp. SWK7]	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula	Rhodopirellula sp. SWK7
0	gi|712913236|ref|YP_009100049.1|	272	1241818988	WP_095741154	246	38.2	89	110	8e-25	595453	hypothetical protein [Rhodopirellula sp. SM50]	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula	Rhodopirellula sp. SM50
0	gi|712913236|ref|YP_009100049.1|	272	496384441	WP_009093431	287	35.19	82	110	2e-24	595460	hypothetical protein [Rhodopirellula sp. SWK7]	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula	Rhodopirellula sp. SWK7
0	gi|712913236|ref|YP_009100049.1|	272	763475034	WP_044303842	281	35.22	81	103	4e-22	1263869	hypothetical protein [Rhodopirellula sallentina]	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula	Rhodopirellula sallentina
0	gi|712913236|ref|YP_009100049.1|	272	1057009024	WP_068420443	259	34.98	85	100	2e-21	1636152	hypothetical protein [Planctomyces sp. SH-PL62]	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomyces	Planctomyces sp. SH-PL62
0	gi|712913236|ref|YP_009100049.1|	272	1241818164	WP_095740330	208	35.34	82	96.3	3e-20	595453	hypothetical protein, partial [Rhodopirellula sp. SM50]	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula	Rhodopirellula sp. SM50
0	gi|712913236|ref|YP_009100049.1|	272	496419109	WP_009127956	270	31.05	77	75.9	9e-13	626931	hypothetical protein [Bacteroides oleiciplenus]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides oleiciplenus
0	gi|712913238|ref|YP_009100051.1|	73	1183828060	WP_085025256	71	65.71	46	89	5e-21	1708715	hypothetical protein [Ensifer aridi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer aridi
0	gi|712913238|ref|YP_009100051.1|	73	1326109286	WP_101940133	78	60.87	42	85.9	1e-19	381	hypothetical protein [Mesorhizobium loti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium loti
0	gi|712913238|ref|YP_009100051.1|	73	1258290680	WP_097587390	72	58.82	40	78.2	9e-17	380	hypothetical protein [Sinorhizobium fredii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii
0	gi|712913238|ref|YP_009100051.1|	73	1242662346	WP_095788269	60	64.81	35	70.1	8e-14	2029411	hypothetical protein [Mesorhizobium sp. WSM4312]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. WSM4312
0	gi|712913238|ref|YP_009100051.1|	73	739260804	WP_037123776	74	53.62	37	67	2e-12	1500301	hypothetical protein [Rhizobium sp. CF097]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. CF097
0	gi|712913238|ref|YP_009100051.1|	73	1325904015	WP_101778020	110	49.28	34	67	4e-12	110321	hypothetical protein [Sinorhizobium medicae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium medicae
0	gi|712913239|ref|YP_009100052.1|	75	1242662233	WP_095788156	72	64.29	45	93.6	9e-23	2029411	hypothetical protein [Mesorhizobium sp. WSM4312]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. WSM4312
