qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|157310908|ref|YP_001468904.1|	193	1055042999	WP_066792967	168	39.77	68	134	1e-35	1705	hypothetical protein [Corynebacterium stationis]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium stationis
0	gi|157310908|ref|YP_001468904.1|	193	916562496	WP_051169587	123	37	37	81.6	3e-16	120957	hypothetical protein [Nocardia abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia abscessus
0	gi|157310908|ref|YP_001468904.1|	193	918158361	WP_052336137	135	34.02	33	76.3	5e-14	78331	hypothetical protein [Mycobacterium canettii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium canettii
0	gi|157310908|ref|YP_001468904.1|	193	918461744	WP_052506276	157	36.11	39	76.3	7e-14	280871	hypothetical protein [Mycobacterium llatzerense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium llatzerense
0	gi|157310908|ref|YP_001468904.1|	193	670519659	WP_031467106	155	37.5	36	75.1	1e-13	1445613	hypothetical protein [Sciscionella sp. SE31]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Sciscionella	Sciscionella sp. SE31
0	gi|157310908|ref|YP_001468904.1|	193	1055967862	WP_067504999	151	27.78	35	74.3	3e-13	208602	hypothetical protein [Nocardia puris]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia puris
0	gi|157310908|ref|YP_001468904.1|	193	983428917	WP_060592720	121	35.42	34	72	1e-12	37329	hypothetical protein [Nocardia farcinica]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia farcinica
0	gi|157310908|ref|YP_001468904.1|	193	1001706370	WP_061264171	154	35.64	36	72.4	1e-12	1766	hypothetical protein [Mycobacterium fortuitum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium fortuitum
0	gi|157310908|ref|YP_001468904.1|	193	935486906	WP_054416702	156	37.36	34	71.6	3e-12	83262	hypothetical protein [Mycobacterium immunogenum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium immunogenum
0	gi|157310908|ref|YP_001468904.1|	193	919185735	WP_052741236	155	35.87	33	71.2	3e-12	1545694	hypothetical protein [Mycobacterium sp. UM_NZ2]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. UM_NZ2
0	gi|157310908|ref|YP_001468904.1|	193	1039653354	WP_064945390	164	34.48	30	70.9	6e-12	1834109	hypothetical protein [Mycobacterium sp. 852013-50091_SCH5140682]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. 852013-50091_SCH5140682
0	gi|157310908|ref|YP_001468904.1|	193	1057635978	WP_068916102	163	27.48	36	70.1	8e-12	1879023	hypothetical protein [Mycobacterium sp. djl-10]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. djl-10
0	gi|157310908|ref|YP_001468904.1|	193	1178659155	WP_083169767	164	32.99	32	70.1	9e-12	1927124	hypothetical protein [Mycobacterium aquaticum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium aquaticum
0	gi|157310908|ref|YP_001468904.1|	193	506284545	WP_015804320	149	31.51	46	69.7	1e-11	40567	hypothetical protein [Actinosynnema mirum]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinosynnema	Actinosynnema mirum
0	gi|157310908|ref|YP_001468904.1|	193	1160821820	WP_079670173	126	36.26	33	69.3	1e-11	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
