qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|62912537|ref|YP_227613.1|	348	1172241000	WP_080630363	343	99.71	342	707	0	714	site-specific integrase [Aggregatibacter actinomycetemcomitans]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter actinomycetemcomitans
0	gi|62912537|ref|YP_227613.1|	348	1173250656	WP_081111350	343	98.25	337	698	0	714	site-specific integrase [Aggregatibacter actinomycetemcomitans]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter actinomycetemcomitans
0	gi|62912537|ref|YP_227613.1|	348	1148676810	WP_077416712	348	89.94	313	660	0	1908260	site-specific integrase [Rodentibacter rarus]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter rarus
0	gi|62912537|ref|YP_227613.1|	348	1148740335	WP_077474243	348	89.37	311	657	0	1960084	MULTISPECIES: site-specific integrase [Rodentibacter]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	
0	gi|62912537|ref|YP_227613.1|	348	505739908	WP_015701544	347	86.74	301	645	0	727	site-specific integrase [Haemophilus influenzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae
0	gi|62912537|ref|YP_227613.1|	348	849032653	WP_047976742	348	87.61	304	643	0	67855	site-specific integrase [Muribacter muris]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Muribacter	Muribacter muris
0	gi|62912537|ref|YP_227613.1|	348	737719227	WP_035688073	339	88.17	298	630	0	728	site-specific integrase [Avibacterium paragallinarum]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Avibacterium	Avibacterium paragallinarum
0	gi|62912537|ref|YP_227613.1|	348	491741699	WP_005574832	344	98.32	292	602	0	714	site-specific integrase [Aggregatibacter actinomycetemcomitans]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter actinomycetemcomitans
0	gi|62912537|ref|YP_227613.1|	348	1176311666	WP_082187309	300	88.26	263	557	0	728	site-specific integrase [Avibacterium paragallinarum]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Avibacterium	Avibacterium paragallinarum
0	gi|62912537|ref|YP_227613.1|	348	1174929932	WP_081603152	300	88.26	263	555	0	728	site-specific integrase [Avibacterium paragallinarum]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Avibacterium	Avibacterium paragallinarum
0	gi|62912537|ref|YP_227613.1|	348	652429240	WP_026824312	341	60.88	207	434	2e-148	638	site-specific integrase [Arsenophonus nasoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus	Arsenophonus nasoniae
0	gi|62912537|ref|YP_227613.1|	348	496409420	WP_009118284	345	55.12	183	399	2e-134	607712	site-specific integrase [Neisseria shayeganii]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria shayeganii
0	gi|62912537|ref|YP_227613.1|	348	1056068635	WP_067594298	355	55.62	188	398	7e-134	1795827	site-specific integrase [Eikenella sp. NML02-A-017]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella sp. NML02-A-017
0	gi|62912537|ref|YP_227613.1|	348	1223308388	WP_091347026	343	56.2	195	387	9e-130	1798182	site-specific integrase [Gilliamella bombicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	Gilliamella bombicola
0	gi|62912537|ref|YP_227613.1|	348	1046185933	WP_065580884	343	55.62	193	384	1e-128	1196095	site-specific integrase [Gilliamella apicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	Gilliamella apicola
