qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|422934784|ref|YP_007004743.1|	725	1167889684	WP_080181602	725	99.31	720	1483	0	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|422934784|ref|YP_007004743.1|	725	1122786325	WP_074146350	725	99.17	719	1479	0	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|422934784|ref|YP_007004743.1|	725	1296597415	WP_100771378	725	98.07	711	1464	0	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|422934784|ref|YP_007004743.1|	725	1208946742	WP_088209800	725	97.1	704	1452	0	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422934784|ref|YP_007004743.1|	725	640401610	WP_024892447	762	31.86	94	161	4e-38	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|422934784|ref|YP_007004743.1|	725	739644786	WP_037500606	712	32.26	120	147	2e-33	392409	ATP-binding protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|422934784|ref|YP_007004743.1|	725	1057312555	WP_068673781	874	31.19	97	138	2e-30	34072	MULTISPECIES: ATP-binding protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|422934784|ref|YP_007004743.1|	725	1048173592	WP_065784095	789	33.55	103	137	7e-30	106591	MULTISPECIES: hypothetical protein [Ensifer]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	
0	gi|422934784|ref|YP_007004743.1|	725	983583808	WP_060733666	802	32.09	103	136	1e-29	95486	ATP-binding protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|422934784|ref|YP_007004743.1|	725	1224477396	WP_092498558	786	30.12	100	132	3e-28	1855383	hypothetical protein [bacterium A52C2]	Bacteria						bacterium A52C2
0	gi|422934784|ref|YP_007004743.1|	725	517045616	WP_018234434	825	38	76	129	1e-27	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|422934784|ref|YP_007004743.1|	725	1160786814	WP_079638720	656	30.87	96	127	6e-27	1507287	hypothetical protein [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|422934784|ref|YP_007004743.1|	725	1215346504	WP_089045541	802	30.6	97	127	9e-27	1449788	hypothetical protein [Sinorhizobium sp. LM21]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. LM21
0	gi|422934784|ref|YP_007004743.1|	725	1222655058	WP_090702921	716	29.57	89	119	2e-24	1882748	ATP-binding protein [Beijerinckia sp. 28-YEA-48]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48
0	gi|422934784|ref|YP_007004743.1|	725	654889193	WP_028340895	727	33.89	102	118	3e-24	29448	hypothetical protein [Bradyrhizobium elkanii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium elkanii
0	gi|422934784|ref|YP_007004743.1|	725	1160743855	WP_079602466	712	30.67	92	118	5e-24	1437360	hypothetical protein [Bradyrhizobium erythrophlei]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei
0	gi|422934784|ref|YP_007004743.1|	725	493375781	WP_006332075	283	37.76	74	113	6e-24	1297570	hypothetical protein [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
0	gi|422934784|ref|YP_007004743.1|	725	985864693	WP_060911982	697	28.42	108	116	2e-23	1355477	ATP-binding protein [Bradyrhizobium diazoefficiens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium diazoefficiens
0	gi|422934784|ref|YP_007004743.1|	725	984669110	WP_060772554	763	30.36	92	115	4e-23	925818	ATP-binding protein [Methylobacterium sp. AMS5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. AMS5
0	gi|422934784|ref|YP_007004743.1|	725	1011199903	WP_062120275	805	28.61	95	115	4e-23	1637747	ATP-binding protein [Aureimonas sp. AU40]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Aureimonas sp. AU40
0	gi|422934784|ref|YP_007004743.1|	725	1254251383	WP_097169849	790	28.84	92	113	2e-22	1855304	ATP-binding protein [Rhizobium sp. AN5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. AN5
0	gi|422934784|ref|YP_007004743.1|	725	1223945934	WP_091977305	706	31.42	93	107	9e-21	931866	hypothetical protein [Bradyrhizobium ottawaense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium ottawaense
0	gi|422934784|ref|YP_007004743.1|	725	1223406313	WP_091444331	808	30.84	95	107	2e-20	177413	ATP-binding protein [Ancylobacter rudongensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ancylobacter	Ancylobacter rudongensis
0	gi|422934784|ref|YP_007004743.1|	725	1119688789	WP_072607579	662	29.23	83	106	2e-20	1670800	hypothetical protein [Mesorhizobium sp. B7]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. B7
0	gi|422934784|ref|YP_007004743.1|	725	917658982	WP_052213509	801	29.25	86	106	2e-20	398	ATP-binding protein [Rhizobium tropici]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium tropici
0	gi|422934784|ref|YP_007004743.1|	725	656042496	WP_029081189	705	29.27	84	105	6e-20	172088	ATP-binding protein [Bradyrhizobium sp. th.b2]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. th.b2
0	gi|422934784|ref|YP_007004743.1|	725	563543172	WP_023749185	665	29.55	86	104	9e-20	1287270	hypothetical protein [Mesorhizobium sp. LNJC386A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC386A00
0	gi|422934784|ref|YP_007004743.1|	725	738328578	WP_036281365	706	25.86	113	100	2e-18	622637	ATP-binding protein [Methylocystis sp. ATCC 49242]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Methylocystis sp. ATCC 49242
0	gi|422934784|ref|YP_007004743.1|	725	1123733869	WP_074331828	665	28.01	79	92.8	5e-16	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|422934784|ref|YP_007004743.1|	725	739327379	WP_037189813	695	25.93	77	91.3	1e-15	1509405	ATP-binding protein [Pseudorhizobium pelagicum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudorhizobium	Pseudorhizobium pelagicum
0	gi|422934784|ref|YP_007004743.1|	725	1123782271	WP_074337693	664	26.32	70	89.7	4e-15	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|422934784|ref|YP_007004743.1|	725	1160821662	WP_079670057	666	28.12	72	89	8e-15	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|422934784|ref|YP_007004743.1|	725	1123635287	WP_074322575	666	28.12	72	89	8e-15	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|422934784|ref|YP_007004743.1|	725	1285217405	WP_100522283	666	28.12	72	88.2	1e-14	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|422934784|ref|YP_007004743.1|	725	1160733208	WP_079592323	666	27.73	71	87.8	2e-14	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|422934784|ref|YP_007004743.1|	725	1178498261	WP_083019737	666	26.92	70	87	3e-14	670516	MULTISPECIES: histidine kinase [Mycobacterium chelonae group]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
0	gi|422934784|ref|YP_007004743.1|	725	1160779694	WP_079633224	666	27.34	70	87	3e-14	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|422934784|ref|YP_007004743.1|	725	757527079	WP_042789473	667	25.91	85	86.7	4e-14	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|422934784|ref|YP_007004743.1|	725	1016075478	WP_062919844	667	25.98	73	86.7	4e-14	36809	histidine kinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
