qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|563399043|ref|YP_008858888.1|	280	924516606	WP_053520547	280	48.19	133	274	2e-87	347	DNA primase [Xanthomonas oryzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae
0	gi|563399043|ref|YP_008858888.1|	280	837940906	WP_047905360	274	38.04	105	179	1e-50	656179	hypothetical protein [Pandoraea faecigallinarum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea faecigallinarum
0	gi|563399043|ref|YP_008858888.1|	280	1028883473	WP_064049215	285	37.55	101	178	3e-50	305	hypothetical protein [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|563399043|ref|YP_008858888.1|	280	908710545	WP_049842175	288	37.91	105	176	2e-49	305	hypothetical protein [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|563399043|ref|YP_008858888.1|	280	981253927	WP_059473384	280	36.7	98	170	3e-47	1385590	hypothetical protein [Burkholderia sp. BDU5]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU5
0	gi|563399043|ref|YP_008858888.1|	280	1235702782	WP_094848688	270	36.1	100	162	4e-44	1416803	hypothetical protein [Bordetella genomosp. 9]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella genomosp. 9
0	gi|563399043|ref|YP_008858888.1|	280	704402582	WP_033463157	268	35.4	97	160	2e-43	518	hypothetical protein [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|563399043|ref|YP_008858888.1|	280	1168837210	WP_080405797	268	33.21	91	142	1e-36	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|563399043|ref|YP_008858888.1|	280	1168864565	WP_080416400	266	31.64	87	141	2e-36	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|563399043|ref|YP_008858888.1|	280	1168872929	WP_080424607	198	39.71	81	137	1e-35	101571	DNA primase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|563399043|ref|YP_008858888.1|	280	497602439	WP_009916623	268	32.48	89	139	2e-35	32008	MULTISPECIES: DNA primase [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|563399043|ref|YP_008858888.1|	280	1169066800	WP_080433738	268	32.48	89	138	4e-35	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|563399043|ref|YP_008858888.1|	280	1168839281	WP_080407863	268	32.48	89	138	4e-35	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|563399043|ref|YP_008858888.1|	280	1177581507	WP_082717634	268	31.75	87	135	5e-34	111527	MULTISPECIES: hypothetical protein [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
