qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|158345027|ref|YP_001522792.1|	179	1170088894	WP_080520507	175	48.53	66	140	2e-38	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|158345027|ref|YP_001522792.1|	179	1170089122	WP_080520735	159	44.29	62	103	3e-24	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|158345027|ref|YP_001522792.1|	179	981272976	WP_059491520	159	40.15	53	93.6	2e-20	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345027|ref|YP_001522792.1|	179	492895971	WP_006026377	159	41.09	53	93.6	2e-20	32008	MULTISPECIES: hypothetical protein [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|158345027|ref|YP_001522792.1|	179	981804424	WP_059994634	159	39.39	52	89.7	6e-19	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345027|ref|YP_001522792.1|	179	981643428	WP_059842369	158	37.98	49	86.7	8e-18	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345027|ref|YP_001522792.1|	179	981253935	WP_059473392	182	33.73	56	87	1e-17	1385590	hypothetical protein [Burkholderia sp. BDU5]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU5
0	gi|158345027|ref|YP_001522792.1|	179	981366081	WP_059580595	158	37.98	49	86.3	1e-17	111527	MULTISPECIES: hypothetical protein [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|158345027|ref|YP_001522792.1|	179	982122214	WP_060289690	155	38.1	48	85.9	1e-17	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345027|ref|YP_001522792.1|	179	919473069	WP_052832935	180	31.85	50	74.3	4e-13	1619232	hypothetical protein [Bradyrhizobium sp. LTSP885]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
0	gi|158345027|ref|YP_001522792.1|	179	1186148981	WP_085352842	178	35.65	41	72.4	2e-12	255045	hypothetical protein [Bradyrhizobium canariense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium canariense
0	gi|158345027|ref|YP_001522792.1|	179	951473831	WP_057845389	170	36.28	41	72	2e-12	1300035	hypothetical protein [Bradyrhizobium retamae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium retamae
0	gi|158345027|ref|YP_001522792.1|	179	1223945867	WP_091977238	201	37.6	47	69.7	1e-11	931866	hypothetical protein [Bradyrhizobium ottawaense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium ottawaense
0	gi|158345033|ref|YP_001522798.1|	136	1170088886	WP_080520499	135	46.3	50	82.4	7e-17	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|158345038|ref|YP_001522804.1|	274	1170088883	WP_080520496	278	50.38	132	240	3e-74	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|158345038|ref|YP_001522804.1|	274	1169066800	WP_080433738	268	27.93	81	72	2e-11	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345038|ref|YP_001522804.1|	274	1168839281	WP_080407863	268	27.93	81	72	2e-11	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345040|ref|YP_001522805.1|	398	1170089180	WP_080520793	401	55.19	218	442	7e-150	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|158345040|ref|YP_001522805.1|	398	920134224	WP_052954289	412	42.24	166	288	3e-89	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|158345040|ref|YP_001522805.1|	398	515095742	WP_016724955	431	34.09	135	199	4e-55	305	heavy metal transporter [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|158345040|ref|YP_001522805.1|	398	704402577	WP_033463155	422	35.32	136	199	4e-55	518	hypothetical protein [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|158345040|ref|YP_001522805.1|	398	1235702781	WP_094848687	422	33.59	129	197	1e-54	1416803	hypothetical protein [Bordetella genomosp. 9]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella genomosp. 9
0	gi|158345040|ref|YP_001522805.1|	398	755832412	WP_042589651	431	33.33	133	187	9e-51	305	helicase DnaB [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|158345040|ref|YP_001522805.1|	398	981545662	WP_059748687	431	31.16	124	184	2e-49	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345040|ref|YP_001522805.1|	398	981699319	WP_059895111	412	33.24	116	182	4e-49	60552	helicase DnaB [Burkholderia vietnamiensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis
0	gi|158345040|ref|YP_001522805.1|	398	981773280	WP_059965243	431	31.16	124	181	2e-48	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345040|ref|YP_001522805.1|	398	981863518	WP_060050870	431	32.97	120	180	4e-48	292	helicase DnaB [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|158345040|ref|YP_001522805.1|	398	920757188	WP_053059394	401	33.42	129	179	5e-48	656179	DNA helicase [Pandoraea faecigallinarum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea faecigallinarum
0	gi|158345040|ref|YP_001522805.1|	398	981486932	WP_059693954	431	33.15	121	179	2e-47	292	helicase DnaB [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|158345040|ref|YP_001522805.1|	398	1142810670	WP_077056194	431	31.16	124	178	3e-47	95486	helicase DnaB [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|158345040|ref|YP_001522805.1|	398	1176382114	WP_082224861	330	35.02	111	175	4e-47	1077947	hypothetical protein [Pseudorhodobacter antarcticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	Pseudorhodobacter antarcticus
0	gi|158345040|ref|YP_001522805.1|	398	981886265	WP_060072203	431	30.9	123	176	1e-46	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345040|ref|YP_001522805.1|	398	981615896	WP_059815794	431	30.65	122	176	2e-46	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345040|ref|YP_001522805.1|	398	981643203	WP_059842144	414	32.21	124	175	2e-46	101571	DNA helicase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345040|ref|YP_001522805.1|	398	981246763	WP_059466473	431	32.33	118	176	3e-46	488732	helicase DnaB [Burkholderia diffusa]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia diffusa
0	gi|158345040|ref|YP_001522805.1|	398	759580906	WP_043299796	431	31.51	127	175	5e-46	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345040|ref|YP_001522805.1|	398	1061946136	WP_069252217	431	30.65	122	174	5e-46	482957	helicase DnaB [Burkholderia lata]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia lata
0	gi|158345040|ref|YP_001522805.1|	398	910237429	WP_050042552	431	31.51	127	174	7e-46	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345040|ref|YP_001522805.1|	398	981789982	WP_059981106	431	30.4	121	174	8e-46	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345040|ref|YP_001522805.1|	398	740953356	WP_038737994	431	31.51	127	174	9e-46	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345040|ref|YP_001522805.1|	398	492895978	WP_006026384	404	31.78	123	173	1e-45	32008	MULTISPECIES: DNA helicase [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|158345040|ref|YP_001522805.1|	398	1175527323	WP_082069964	314	37.22	115	171	1e-45	1619232	hypothetical protein [Bradyrhizobium sp. LTSP885]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
0	gi|158345040|ref|YP_001522805.1|	398	740994099	WP_038777187	431	32.01	129	174	1e-45	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345040|ref|YP_001522805.1|	398	1025893487	WP_063597552	431	31.74	126	174	1e-45	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345040|ref|YP_001522805.1|	398	754360443	WP_041861643	431	30.65	122	174	1e-45	111527	MULTISPECIES: helicase DnaB [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|158345040|ref|YP_001522805.1|	398	981366085	WP_059580599	404	31.52	122	173	1e-45	111527	MULTISPECIES: DNA helicase [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|158345040|ref|YP_001522805.1|	398	1177213376	WP_082637622	314	35.71	110	170	2e-45	1300035	hypothetical protein [Bradyrhizobium retamae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium retamae
0	gi|158345040|ref|YP_001522805.1|	398	981732960	WP_059926802	431	30.65	122	173	3e-45	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345040|ref|YP_001522805.1|	398	982448684	WP_060375372	431	30.65	122	172	4e-45	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345040|ref|YP_001522805.1|	398	981745869	WP_059939212	431	30.4	121	172	4e-45	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345040|ref|YP_001522805.1|	398	499644652	WP_011325386	431	30.63	121	172	5e-45	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
