qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|16271777|ref|NP_438114.1|	365	489076951	WP_002986896	384	100	365	756	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	1168681745	WP_080277749	384	99.73	364	753	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	694121346	WP_032462572	365	98.08	358	746	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	1234349476	WP_094751290	384	98.08	358	745	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	518248539	WP_019418747	384	98.08	358	744	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	446492994	WP_000570848	365	97.81	357	743	0	1311	site-specific integrase [Streptococcus agalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
0	gi|16271777|ref|NP_438114.1|	365	1168681809	WP_080277813	384	97.53	356	741	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	446492993	WP_000570847	365	97.53	356	740	0	1301	MULTISPECIES: site-specific integrase [Streptococcus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
0	gi|16271777|ref|NP_438114.1|	365	1168681561	WP_080277565	384	97.26	355	739	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	912622751	WP_050199161	365	96.99	354	739	0	1301	MULTISPECIES: site-specific integrase [Streptococcus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
0	gi|16271777|ref|NP_438114.1|	365	512722454	WP_016480502	384	96.44	352	737	0	1311	site-specific integrase [Streptococcus agalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
0	gi|16271777|ref|NP_438114.1|	365	526015877	WP_020837690	384	96.71	353	736	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	560291363	WP_023611627	384	95.62	349	730	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	1169121251	WP_080465355	384	95.07	347	727	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	825741562	WP_047149517	365	94.79	346	725	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	553744716	WP_023078397	384	94.79	346	723	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	1169134596	WP_080473785	384	94.52	345	721	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	654499223	WP_027968883	365	94.52	345	721	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	553744251	WP_023078039	384	94.52	345	721	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	694121352	WP_032462577	326	100	326	676	0	1314	site-specific integrase, partial [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	1189171851	WP_085600301	314	100	314	653	0	1314	site-specific integrase, partial [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	553746024	WP_023079579	362	73.42	268	576	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	499367322	WP_011054900	362	72.6	265	572	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	636949639	WP_024401902	365	64.56	235	502	2e-174	1307	site-specific integrase [Streptococcus suis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
0	gi|16271777|ref|NP_438114.1|	365	1055426390	WP_067087715	365	63.56	232	490	9e-170	1825069	site-specific integrase [Streptococcus marmotae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus marmotae
0	gi|16271777|ref|NP_438114.1|	365	1189171857	WP_085600307	311	70.38	221	479	3e-166	1314	site-specific integrase, partial [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|16271777|ref|NP_438114.1|	365	503560169	WP_013794245	365	62.74	229	481	7e-166	1348	site-specific integrase [Streptococcus parauberis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parauberis
0	gi|16271777|ref|NP_438114.1|	365	1302489466	WP_100912260	362	61.1	223	471	4e-162	1349	site-specific integrase [Streptococcus uberis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus uberis
0	gi|16271777|ref|NP_438114.1|	365	1275762124	WP_099831234	365	61.54	224	471	5e-162	1307	site-specific integrase [Streptococcus suis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
0	gi|16271777|ref|NP_438114.1|	365	814941564	WP_046390397	362	61.1	223	471	5e-162	1349	site-specific integrase [Streptococcus uberis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus uberis
0	gi|16271777|ref|NP_438114.1|	365	766568066	WP_044760634	365	61.81	225	471	7e-162	1307	site-specific integrase [Streptococcus suis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
0	gi|16271777|ref|NP_438114.1|	365	765387338	WP_044672187	365	61.81	225	469	2e-161	1307	site-specific integrase [Streptococcus suis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
0	gi|16271777|ref|NP_438114.1|	365	766597000	WP_044777973	365	61.54	224	468	4e-161	1307	site-specific integrase [Streptococcus suis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
0	gi|16271777|ref|NP_438114.1|	365	814943529	WP_046392264	362	60.82	222	467	2e-160	1349	site-specific integrase [Streptococcus uberis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus uberis
0	gi|16271777|ref|NP_438114.1|	365	758840359	WP_043025723	365	60.99	222	464	3e-159	1307	site-specific integrase [Streptococcus suis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis
0	gi|16271777|ref|NP_438114.1|	365	814941948	WP_046390759	365	58.52	213	457	9e-157	1349	site-specific integrase [Streptococcus uberis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus uberis
0	gi|16271777|ref|NP_438114.1|	365	503560189	WP_013794265	365	58.9	215	454	2e-155	1348	site-specific integrase [Streptococcus parauberis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parauberis
0	gi|16271777|ref|NP_438114.1|	365	1124173544	WP_074485337	365	55.62	203	430	6e-146	439219	site-specific integrase [Streptococcus henryi]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus henryi
0	gi|16271777|ref|NP_438114.1|	365	517189118	WP_018377936	365	56.44	206	429	1e-145	82806	site-specific integrase [Streptococcus ovis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus ovis
0	gi|16271777|ref|NP_438114.1|	365	896634665	WP_049515391	374	42.74	162	293	4e-92	1318	site-specific integrase [Streptococcus parasanguinis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
0	gi|16271777|ref|NP_438114.1|	365	446515627	WP_000592973	378	45	171	284	1e-88	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|16271777|ref|NP_438114.1|	365	489107831	WP_003017690	381	42.75	165	281	1e-87	1318	site-specific integrase [Streptococcus parasanguinis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
0	gi|16271777|ref|NP_438114.1|	365	896599655	WP_049483682	381	43.01	166	281	2e-87	1318	site-specific integrase [Streptococcus parasanguinis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
