qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|161617916|ref|YP_001595396.1|	648	1333905830	WP_103009399	648	51.37	337	640	0	569	hypothetical protein [Hafnia alvei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei
0	gi|161617930|ref|YP_001595410.1|	126	1333905839	WP_103009408	151	33.85	44	67	3e-11	569	hypothetical protein [Hafnia alvei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei
0	gi|161617936|ref|YP_001595416.1|	131	1148863875	WP_077584153	134	54.76	69	142	4e-40	758	peptidase M15 [Rodentibacter pneumotropicus]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter pneumotropicus
0	gi|161617936|ref|YP_001595416.1|	131	1148762155	WP_077493413	134	54.76	69	141	7e-40	1908257	peptidase M15 [Rodentibacter mrazii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter mrazii
0	gi|161617936|ref|YP_001595416.1|	131	1148827275	WP_077551708	132	52.8	66	137	3e-38	1908266	peptidase M15 [Rodentibacter genomosp. 2]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter genomosp. 2
0	gi|161617936|ref|YP_001595416.1|	131	1148834494	WP_077557921	134	53.17	67	134	5e-37	1924934	peptidase M15 [Pasteurellaceae bacterium 15-036681]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae		Pasteurellaceae bacterium 15-036681
0	gi|161617936|ref|YP_001595416.1|	131	1149085722	WP_077664408	134	52.38	66	134	6e-37	758	peptidase M15 [Rodentibacter pneumotropicus]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter pneumotropicus
0	gi|161617936|ref|YP_001595416.1|	131	910894611	WP_050136676	130	51.16	66	126	5e-34	29484	peptidase M15 [Yersinia frederiksenii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia frederiksenii
0	gi|161617936|ref|YP_001595416.1|	131	910766597	WP_050074311	131	48.85	64	122	3e-32	631	peptidase M15 [Yersinia intermedia]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia intermedia
0	gi|161617936|ref|YP_001595416.1|	131	1267228112	WP_098087256	131	47.33	62	122	3e-32	633	peptidase M15 [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|161617936|ref|YP_001595416.1|	131	558558998	WP_023489981	138	48.44	62	121	5e-32	1410619	L-alanyl-D-glutamate peptidase Lys [Serratia sp. DD3]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia sp. DD3
0	gi|161617936|ref|YP_001595416.1|	131	503290941	WP_013525602	134	48.84	63	121	6e-32	727	peptidase M15 [Haemophilus influenzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae
0	gi|161617936|ref|YP_001595416.1|	131	939336859	WP_054882974	131	48.85	64	120	7e-32	29485	peptidase M15 [Yersinia rohdei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia rohdei
0	gi|161617936|ref|YP_001595416.1|	131	499591764	WP_011272505	134	47.62	60	120	8e-32	727	peptidase M15 [Haemophilus influenzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae
0	gi|161617936|ref|YP_001595416.1|	131	910935666	WP_050143245	131	48.85	64	120	9e-32	630	peptidase M15 [Yersinia enterocolitica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica
0	gi|161617936|ref|YP_001595416.1|	131	902538318	WP_049606722	131	47.69	62	120	1e-31	419257	peptidase M15 [Yersinia massiliensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia massiliensis
0	gi|161617936|ref|YP_001595416.1|	131	896646301	WP_049525582	132	48.09	63	120	2e-31	629	MULTISPECIES: peptidase M15 [Yersinia]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	
0	gi|161617936|ref|YP_001595416.1|	131	1152388348	WP_078256095	161	47.52	67	120	3e-31	90239	hypothetical protein [Moraxella canis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella canis
0	gi|161617936|ref|YP_001595416.1|	131	1221154408	WP_089540460	217	46.48	66	121	4e-31	2014877	hypothetical protein [Moraxella sp. VT-16-12]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella sp. VT-16-12
0	gi|161617936|ref|YP_001595416.1|	131	743529475	WP_039046554	137	45.86	61	119	4e-31	703	peptidase M15 [Plesiomonas shigelloides]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales		Plesiomonas	Plesiomonas shigelloides
0	gi|161617936|ref|YP_001595416.1|	131	491959503	WP_005692586	134	47.62	60	119	4e-31	727	peptidase M15 [Haemophilus influenzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae
0	gi|161617936|ref|YP_001595416.1|	131	910773506	WP_050079851	131	47.33	62	119	5e-31	29484	peptidase M15 [Yersinia frederiksenii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia frederiksenii
0	gi|161617936|ref|YP_001595416.1|	131	491419204	WP_005277004	130	48.09	63	118	9e-31	634	hypothetical protein [Yersinia bercovieri]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia bercovieri
0	gi|161617936|ref|YP_001595416.1|	131	910880337	WP_050127354	130	48.06	62	118	9e-31	630	peptidase M15 [Yersinia enterocolitica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica
0	gi|161617936|ref|YP_001595416.1|	131	1152369603	WP_078239697	137	46.56	61	118	1e-30	123822	peptidase M15 [[Haemophilus] felis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae		[Haemophilus] felis
0	gi|161617936|ref|YP_001595416.1|	131	911178714	WP_050151995	132	46.92	61	117	1e-30	29484	peptidase M15 [Yersinia frederiksenii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia frederiksenii
0	gi|161617936|ref|YP_001595416.1|	131	1268596660	WP_098904310	132	46.56	61	117	2e-30	29484	peptidase M15 [Yersinia frederiksenii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia frederiksenii
0	gi|161617936|ref|YP_001595416.1|	131	1172216456	WP_080608353	131	48.09	63	117	2e-30	1839800	peptidase M15 [Yersinia sp. FDAARGOS_228]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia sp. FDAARGOS_228
0	gi|161617936|ref|YP_001595416.1|	131	915718617	WP_050877374	130	47.29	61	117	2e-30	633	peptidase M15 [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|161617936|ref|YP_001595416.1|	131	696330342	WP_032905651	130	46.56	61	117	2e-30	631	peptidase M15 [Yersinia intermedia]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia intermedia
0	gi|161617936|ref|YP_001595416.1|	131	910881479	WP_050128160	130	47.29	61	117	3e-30	633	peptidase M15 [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|161617936|ref|YP_001595416.1|	131	910879506	WP_050126523	132	48.06	62	116	4e-30	630	peptidase M15 [Yersinia enterocolitica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica
0	gi|161617936|ref|YP_001595416.1|	131	740615915	WP_038401429	131	45.8	60	116	4e-30	633	peptidase M15 [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|161617936|ref|YP_001595416.1|	131	1128869340	WP_075266311	137	46.56	61	116	4e-30	747	peptidase M15 [Pasteurella multocida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida
0	gi|161617936|ref|YP_001595416.1|	131	1274268598	WP_099465967	130	46.56	61	116	4e-30	33060	peptidase M15 [Yersinia mollaretii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia mollaretii
0	gi|161617936|ref|YP_001595416.1|	131	910942255	WP_050144538	131	47.33	62	116	4e-30	630	peptidase M15 [Yersinia enterocolitica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica
