qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|509139302|ref|YP_008058195.1|	169	1170088894	WP_080520507	175	38.97	53	97.1	1e-21	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|509139302|ref|YP_008058195.1|	169	981253935	WP_059473392	182	36.5	50	79.3	5e-15	1385590	hypothetical protein [Burkholderia sp. BDU5]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU5
0	gi|509139302|ref|YP_008058195.1|	169	492895971	WP_006026377	159	38.24	52	75.5	8e-14	32008	MULTISPECIES: hypothetical protein [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|509139302|ref|YP_008058195.1|	169	981272976	WP_059491520	159	38.24	52	75.5	8e-14	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|509139302|ref|YP_008058195.1|	169	919473069	WP_052832935	180	37.14	52	74.3	3e-13	1619232	hypothetical protein [Bradyrhizobium sp. LTSP885]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
0	gi|509139302|ref|YP_008058195.1|	169	981804424	WP_059994634	159	37.31	50	71.2	2e-12	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|509139302|ref|YP_008058195.1|	169	982122214	WP_060289690	155	35.56	48	70.5	5e-12	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|509139302|ref|YP_008058195.1|	169	1170089122	WP_080520735	159	36.57	49	70.1	6e-12	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|509139302|ref|YP_008058195.1|	169	981643428	WP_059842369	158	35.56	48	70.1	6e-12	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|509139315|ref|YP_008058208.1|	149	755036677	WP_042389268	139	43.66	62	113	1e-28	566	hypothetical protein [Escherichia vulneris]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pseudescherichia	Pseudescherichia vulneris
0	gi|509139315|ref|YP_008058208.1|	149	908710547	WP_049842177	116	50	51	105	8e-26	305	HNH endonuclease [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|509139315|ref|YP_008058208.1|	149	1150311210	WP_077943886	135	42.86	57	105	1e-25	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|509139315|ref|YP_008058208.1|	149	1119287712	WP_072265904	143	42.25	60	101	6e-24	615	hypothetical protein [Serratia marcescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens
0	gi|509139315|ref|YP_008058208.1|	149	1178499550	WP_083020900	154	42.54	57	98.6	1e-22	550	HNH endonuclease [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|509139315|ref|YP_008058208.1|	149	1264483558	WP_098020854	136	43.17	60	97.8	2e-22	1851544	HNH endonuclease [Orrella dioscoreae]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Orrella	Orrella dioscoreae
0	gi|509139315|ref|YP_008058208.1|	149	1183813210	WP_085013801	154	41.79	56	98.2	2e-22	28141	HNH endonuclease [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|509139315|ref|YP_008058208.1|	149	917452618	WP_052059036	135	41.22	54	97.4	2e-22	95619	HNH endonuclease [Pseudomonas sp. M1]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. M1
0	gi|509139315|ref|YP_008058208.1|	149	525771596	WP_020827370	161	42.65	58	97.8	2e-22	614	HNH endonuclease [Serratia liquefaciens]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia liquefaciens
0	gi|509139315|ref|YP_008058208.1|	149	1269645425	WP_099115844	156	35.29	54	94.7	4e-21	351674	hypothetical protein [Xenorhabdus miraniensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus miraniensis
