qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|167583562|ref|YP_001671752.1|	513	916957100	WP_051563812	503	41.4	195	332	1e-103	91359	hypothetical protein [Enterovibrio calviensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Enterovibrio	Enterovibrio calviensis
0	gi|167583562|ref|YP_001671752.1|	513	918452264	WP_052503345	496	41.58	195	327	1e-101	57975	hypothetical protein [Burkholderia thailandensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia thailandensis
0	gi|167583562|ref|YP_001671752.1|	513	1169293753	WP_080498896	496	41.58	195	326	1e-101	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|167583562|ref|YP_001671752.1|	513	1332886196	WP_102847801	499	41.58	195	326	2e-101	57975	DNA packaging protein [Burkholderia thailandensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia thailandensis
0	gi|167583562|ref|YP_001671752.1|	513	1175537000	WP_082079632	478	40.56	189	323	2e-100	68895	hypothetical protein [Cupriavidus basilensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus basilensis
0	gi|167583562|ref|YP_001671752.1|	513	1172328128	WP_080711407	479	40.52	188	320	2e-99	119219	hypothetical protein [Cupriavidus metallidurans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus metallidurans
0	gi|167583562|ref|YP_001671752.1|	513	1173683378	WP_081365339	514	36.94	181	313	4e-96	305	hypothetical protein [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|167583562|ref|YP_001671752.1|	513	506585799	WP_016051999	481	39.15	184	310	1e-95	29442	terminase large subunit [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|167583562|ref|YP_001671752.1|	513	1209943845	WP_088448358	468	38.44	178	306	3e-94	32002	DNA packaging protein [Achromobacter denitrificans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter denitrificans
0	gi|167583562|ref|YP_001671752.1|	513	636811810	WP_024337991	485	37.84	179	302	2e-92	375	DNA packaging protein [Bradyrhizobium japonicum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium japonicum
0	gi|167583562|ref|YP_001671752.1|	513	1183837238	WP_085033926	475	36.46	171	301	2e-92	1708715	DNA packaging protein [Ensifer aridi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer aridi
0	gi|167583562|ref|YP_001671752.1|	513	1183835340	WP_085032315	483	37.05	176	301	6e-92	1708715	DNA packaging protein [Ensifer aridi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer aridi
0	gi|167583562|ref|YP_001671752.1|	513	1173199044	WP_081089661	462	37.2	173	300	9e-92	222	MULTISPECIES: hypothetical protein [Achromobacter]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	
0	gi|167583562|ref|YP_001671752.1|	513	921139148	WP_053089394	462	37.37	173	300	9e-92	85698	hypothetical protein [Achromobacter xylosoxidans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans
0	gi|167583562|ref|YP_001671752.1|	513	1176553280	WP_082380271	462	37.15	172	299	1e-91	1806492	DNA packaging protein [Achromobacter sp. 2789STDY5608615]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. 2789STDY5608615
0	gi|167583562|ref|YP_001671752.1|	513	1173395109	WP_081247843	462	37.2	173	299	1e-91	85698	hypothetical protein [Achromobacter xylosoxidans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans
0	gi|167583562|ref|YP_001671752.1|	513	640715770	WP_025139016	468	37.58	174	299	2e-91	1397275	hypothetical protein [Achromobacter sp. DH1f]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. DH1f
0	gi|167583562|ref|YP_001671752.1|	513	651635325	WP_026621302	477	35.97	173	299	3e-91	1041159	DNA packaging protein [Ensifer sp. WSM1721]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer sp. WSM1721
0	gi|167583562|ref|YP_001671752.1|	513	502097531	WP_012708432	454	36.76	168	297	9e-91	380;394	DNA packaging protein [Sinorhizobium fredii]	NA	NA	NA	NA	NA	NA	NA
0	gi|167583562|ref|YP_001671752.1|	513	1048210532	WP_065795255	472	37.31	175	296	2e-90	1120652	DNA packaging protein [Ensifer sp. LC163]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer sp. LC163
0	gi|167583562|ref|YP_001671752.1|	513	1194692522	WP_086020611	460	36.15	167	296	3e-90	380	DNA packaging protein [Sinorhizobium fredii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii
0	gi|167583562|ref|YP_001671752.1|	513	913695416	WP_050451057	462	37.15	172	296	3e-90	518	hypothetical protein [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|167583562|ref|YP_001671752.1|	513	1194690706	WP_086018799	460	36.36	168	295	4e-90	380	DNA packaging protein [Sinorhizobium fredii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii
0	gi|167583562|ref|YP_001671752.1|	513	1063908012	WP_069457389	474	36.76	168	295	6e-90	1752398	DNA packaging protein [Ensifer sp. YIC4027]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer alkalisoli
0	gi|167583562|ref|YP_001671752.1|	513	1094026532	WP_071022470	478	36.76	168	295	7e-90	1848292	DNA packaging protein [Ensifer sp. LCM 4579]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer sp. LCM 4579
0	gi|167583562|ref|YP_001671752.1|	513	1194710301	WP_086023306	460	36.36	168	294	1e-89	380	DNA packaging protein [Sinorhizobium fredii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii
0	gi|167583562|ref|YP_001671752.1|	513	1194690534	WP_086018627	460	36.15	167	294	1e-89	380	DNA packaging protein [Sinorhizobium fredii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii
0	gi|167583562|ref|YP_001671752.1|	513	515846147	WP_017276900	478	35.15	168	294	2e-89	382	DNA packaging protein [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|167583562|ref|YP_001671752.1|	513	1258184879	WP_097524991	460	36.76	168	293	3e-89	1538168	DNA packaging protein [Sinorhizobium sp. FG01]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. FG01
0	gi|167583562|ref|YP_001671752.1|	513	1194709707	WP_086022789	460	36.54	167	293	4e-89	794846	DNA packaging protein [Sinorhizobium sp. CCBAU 05631]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. CCBAU 05631
0	gi|167583562|ref|YP_001671752.1|	513	1325906013	WP_101779788	483	36.23	171	293	5e-89	110321	DNA packaging protein [Sinorhizobium medicae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium medicae
0	gi|167583562|ref|YP_001671752.1|	513	1173607432	WP_081318977	454	36.11	165	292	7e-89	380	DNA packaging protein [Sinorhizobium fredii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii
0	gi|167583562|ref|YP_001671752.1|	513	1194603748	WP_085938962	460	36.54	167	291	1e-88	716925	DNA packaging protein [Ensifer sojae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer sojae
0	gi|167583562|ref|YP_001671752.1|	513	983490014	WP_060644171	472	36.67	172	292	1e-88	1736534	DNA packaging protein [Ensifer sp. Root423]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer sp. Root423
0	gi|167583562|ref|YP_001671752.1|	513	1175205610	WP_081753517	474	35.39	166	291	2e-88	1380394	DNA packaging protein [Rhodospirillales bacterium URHD0088]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales			Rhodospirillales bacterium URHD0088
0	gi|167583562|ref|YP_001671752.1|	513	1258203686	WP_097538177	460	36.32	166	291	2e-88	1538174	DNA packaging protein [Sinorhizobium sp. NG07B]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. NG07B
0	gi|167583562|ref|YP_001671752.1|	513	636788936	WP_024325060	483	36.17	174	291	3e-88	110321	DNA packaging protein [Sinorhizobium medicae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium medicae
0	gi|167583562|ref|YP_001671752.1|	513	803452078	WP_046066480	482	36.61	175	291	4e-88	382	DNA packaging protein [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
