qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|658310460|ref|YP_009042650.1|	154	1120950451	WP_073463479	159	59.21	90	175	2e-52	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	488261236	WP_002332444	159	58.55	89	173	1e-51	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	1288467916	WP_100546312	157	58.55	89	173	1e-51	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	498417120	WP_010725539	159	57.62	87	173	2e-51	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	498392356	WP_010706195	157	58.55	89	172	2e-51	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	1092602737	WP_070551739	159	58.55	89	172	2e-51	1715125	phage terminase small subunit P27 family [Enterococcus sp. HMSC069A01]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. HMSC069A01
0	gi|658310460|ref|YP_009042650.1|	154	488275175	WP_002346383	159	57.89	88	171	7e-51	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	1106651434	WP_071858750	159	57.24	87	169	5e-50	249189	terminase [Enterococcus hermanniensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hermanniensis
0	gi|658310460|ref|YP_009042650.1|	154	983283247	WP_060475295	159	59.21	90	166	8e-49	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	510802881	WP_016177655	159	58.28	88	166	1e-48	53345	phage terminase small subunit P27 family [Enterococcus durans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus durans
0	gi|658310460|ref|YP_009042650.1|	154	498417269	WP_010725647	159	59.21	90	166	1e-48	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	985491578	WP_060789821	159	59.21	90	165	2e-48	53345	phage terminase small subunit P27 family [Enterococcus durans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus durans
0	gi|658310460|ref|YP_009042650.1|	154	488272300	WP_002343508	159	59.21	90	165	2e-48	1350	MULTISPECIES: phage terminase small subunit P27 family [Enterococcus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
0	gi|658310460|ref|YP_009042650.1|	154	1239378700	WP_095444006	159	59.21	90	165	2e-48	53345	phage terminase small subunit P27 family [Enterococcus durans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus durans
0	gi|658310460|ref|YP_009042650.1|	154	498418045	WP_010726213	159	59.21	90	165	2e-48	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	488276726	WP_002347934	159	59.21	90	165	3e-48	1352	terminase [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	1214145097	WP_088775382	157	58.55	89	163	9e-48	1354	phage terminase small subunit P27 family [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|658310460|ref|YP_009042650.1|	154	1143693886	WP_077150461	159	58.55	89	163	1e-47	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	498417824	WP_010726032	159	58.55	89	163	1e-47	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	1214101351	WP_088745679	159	58.55	89	163	1e-47	1354	phage terminase small subunit P27 family [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|658310460|ref|YP_009042650.1|	154	498416500	WP_010725038	159	58.55	89	163	1e-47	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	488264643	WP_002335851	159	57.24	87	160	2e-46	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	488262436	WP_002333644	159	56.58	86	158	9e-46	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	1060733973	WP_069129220	153	54.55	84	157	3e-45	2756	phage terminase small subunit P27 family [Brochothrix thermosphacta]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix thermosphacta
0	gi|658310460|ref|YP_009042650.1|	154	737333361	WP_035315726	157	53.95	82	155	1e-44	2757	terminase [Brochothrix campestris]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix campestris
0	gi|658310460|ref|YP_009042650.1|	154	1167801579	WP_080114994	135	53.85	70	117	3e-30	1351	phage terminase small subunit P27 family [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|658310460|ref|YP_009042650.1|	154	1196839171	WP_086285262	135	53.08	69	117	7e-30	1987383	phage terminase small subunit P27 family [Enterococcus sp. 10A9_DIV0425]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. 10A9_DIV0425
0	gi|658310460|ref|YP_009042650.1|	154	1168700208	WP_080292459	135	53.08	69	117	7e-30	1352	phage terminase small subunit P27 family [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|658310460|ref|YP_009042650.1|	154	1214125036	WP_088764536	135	52.31	68	115	2e-29	1354	phage terminase small subunit P27 family [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|658310460|ref|YP_009042650.1|	154	1288392586	WP_100530603	154	39.47	60	114	1e-28	2054913	phage terminase small subunit P27 family, partial [Bacillus sp. mrc49]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. mrc49
0	gi|658310460|ref|YP_009042650.1|	154	1168687646	WP_080280097	135	51.56	66	112	3e-28	1351	phage terminase small subunit P27 family [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|658310460|ref|YP_009042650.1|	154	1214135448	WP_088771450	198	49.35	76	113	8e-28	1354	phage terminase small subunit P27 family [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|658310460|ref|YP_009042650.1|	154	1274499981	WP_099629453	159	36.88	59	99.8	4e-23	2048255	phage terminase small subunit P27 family [Sporosarcina sp. P21c]	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	Sporosarcina sp. P21c
0	gi|658310460|ref|YP_009042650.1|	154	735685018	WP_034172770	156	37.09	56	99	9e-23	1639	phage terminase small subunit P27 family [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658310460|ref|YP_009042650.1|	154	1093460268	WP_070837793	156	36.42	55	98.6	1e-22	1715143	phage terminase small subunit P27 family [Staphylococcus sp. HMSC064E03]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. HMSC064E03
0	gi|658310460|ref|YP_009042650.1|	154	1071370095	WP_069802722	156	38.41	58	98.6	1e-22	246432	phage terminase small subunit P27 family [Staphylococcus equorum]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus equorum
0	gi|658310460|ref|YP_009042650.1|	154	920618203	WP_053025854	156	37.09	56	97.8	2e-22	1283	phage terminase small subunit P27 family [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|658310460|ref|YP_009042650.1|	154	827450047	WP_047210743	156	37.09	56	97.4	4e-22	1279	MULTISPECIES: phage terminase small subunit P27 family [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|658310460|ref|YP_009042650.1|	154	920605989	WP_053017026	156	37.09	56	97.1	5e-22	1283	phage terminase small subunit P27 family [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|658310460|ref|YP_009042650.1|	154	896521482	WP_049426288	156	37.06	53	96.7	7e-22	1283	terminase [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|658310460|ref|YP_009042650.1|	154	1184244192	WP_085063385	156	36.42	55	96.3	9e-22	1283	phage terminase small subunit P27 family [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|658310460|ref|YP_009042650.1|	154	1039416269	WP_064782988	156	37.75	57	95.9	1e-21	1715860	phage terminase small subunit P27 family [Staphylococcus sp. AntiMn-1]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. AntiMn-1
