qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589892519|ref|YP_009008956.1|	174	1209197071	WP_088255397	179	33.12	52	87	8e-18	1908690	hypothetical protein [Fimbriiglobus ruber]	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Fimbriiglobus	Fimbriiglobus ruber
0	gi|589892519|ref|YP_009008956.1|	174	981220550	WP_059442932	174	31.72	46	79	6e-15	196	hypothetical protein [Campylobacter fetus]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter fetus
0	gi|589892519|ref|YP_009008956.1|	174	1209194274	WP_088252646	179	31.43	44	78.2	1e-14	1908690	hypothetical protein [Fimbriiglobus ruber]	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Fimbriiglobus	Fimbriiglobus ruber
0	gi|589892519|ref|YP_009008956.1|	174	1209200362	WP_088258607	179	31.85	43	76.6	4e-14	1908690	hypothetical protein [Fimbriiglobus ruber]	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Fimbriiglobus	Fimbriiglobus ruber
0	gi|589892519|ref|YP_009008956.1|	174	1140947659	WP_076795230	179	32.09	43	76.3	5e-14	1761775	hypothetical protein [Burkholderia sp. b14]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. b14
0	gi|589892519|ref|YP_009008956.1|	174	1209196947	WP_088255273	179	32.35	44	75.9	1e-13	1908690	hypothetical protein [Fimbriiglobus ruber]	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Fimbriiglobus	Fimbriiglobus ruber
0	gi|589892519|ref|YP_009008956.1|	174	1167980220	WP_080226547	179	29.53	44	70.5	7e-12	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589892519|ref|YP_009008956.1|	174	754119336	WP_041753221	179	29.85	40	70.1	1e-11	412963	hypothetical protein [Paraburkholderia rhizoxinica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia rhizoxinica
0	gi|589892519|ref|YP_009008956.1|	174	974627688	WP_059215183	179	28.86	43	68.2	4e-11	208962	hypothetical protein [Escherichia albertii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii
0	gi|589892520|ref|YP_009008957.1|	193	494327827	WP_007181673	194	41.92	70	115	2e-28	243261	hypothetical protein [Burkholderia sp. Ch1-1]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. Ch1-1
0	gi|589892520|ref|YP_009008957.1|	193	1160623986	WP_079485947	193	41.32	69	111	1e-26	1882791	hypothetical protein [Burkholderia sp. CF099]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. CF099
0	gi|589892520|ref|YP_009008957.1|	193	1177733634	WP_082823105	192	35.71	60	103	2e-23	1633874	hypothetical protein [Acetobacter sp. SLV-7]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. SLV-7
0	gi|589892520|ref|YP_009008957.1|	193	1209325474	WP_088364724	192	35.53	54	96.3	7e-21	438	hypothetical protein [Acetobacter pasteurianus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus
0	gi|589892520|ref|YP_009008957.1|	193	982176241	WP_060338869	193	32.24	59	86.3	3e-17	1503055	hypothetical protein [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|589892520|ref|YP_009008957.1|	193	972331470	WP_058987822	196	33.33	61	85.5	6e-17	446692	hypothetical protein [Acetobacter senegalensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter senegalensis
