qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|62327087|ref|YP_223875.1|	198	1275652339	WP_099739438	198	53.93	103	204	1e-62	1590	hypothetical protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|62327087|ref|YP_223875.1|	198	1207067332	WP_087911777	195	55.68	98	188	3e-56	1582	hypothetical protein [Lactobacillus casei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus casei
0	gi|62327087|ref|YP_223875.1|	198	1119637132	WP_072557597	206	47.09	89	183	4e-54	1590	hypothetical protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|62327087|ref|YP_223875.1|	198	511754400	WP_016387997	241	47.8	87	165	1e-46	1597	phage protein [Lactobacillus paracasei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei
0	gi|62327087|ref|YP_223875.1|	198	506507662	WP_015975078	241	47.8	87	164	2e-46	1578	MULTISPECIES: endonuclease [Lactobacillus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|62327087|ref|YP_223875.1|	198	518737624	WP_019897191	187	44.74	85	157	3e-44	1597	phage-related HNH endonuclease [Lactobacillus paracasei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei
0	gi|62327087|ref|YP_223875.1|	198	652824672	WP_027111663	176	43.33	78	140	5e-38	1582	endonuclease [Lactobacillus casei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus casei
0	gi|62327087|ref|YP_223875.1|	198	523533844	WP_020752174	176	43.89	79	139	2e-37	47715	HNH homing endonuclease [Lactobacillus rhamnosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
0	gi|62327087|ref|YP_223875.1|	198	544946699	WP_021354318	176	43.33	78	138	5e-37	47715	endonuclease [Lactobacillus rhamnosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
0	gi|62327087|ref|YP_223875.1|	198	491996294	WP_005712745	176	43.33	78	137	7e-37	47715	endonuclease [Lactobacillus rhamnosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
0	gi|62327087|ref|YP_223875.1|	198	1092593371	WP_070543802	176	43.33	78	137	1e-36	1715120	endonuclease [Lactobacillus sp. HMSC068B07]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. HMSC068B07
0	gi|62327087|ref|YP_223875.1|	198	511644443	WP_016363346	192	41.4	77	136	4e-36	1597	phage-related HNH endonuclease [Lactobacillus paracasei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei
0	gi|62327087|ref|YP_223875.1|	198	1035878602	WP_064656825	176	43.33	78	135	5e-36	47715	endonuclease [Lactobacillus rhamnosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus
0	gi|62327087|ref|YP_223875.1|	198	1105008819	WP_071798302	192	41.53	76	134	3e-35	1582	HNH endonuclease [Lactobacillus casei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus casei
