qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589286873|ref|YP_009007068.1|	148	553752366	WP_023085175	148	100	148	304	2e-103	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589286873|ref|YP_009007068.1|	148	1196630078	WP_086223329	148	99.32	147	302	1e-102	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589286873|ref|YP_009007068.1|	148	515568868	WP_017001687	148	97.3	144	300	8e-102	287	transposase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589286873|ref|YP_009007068.1|	148	553770207	WP_023102321	153	94.81	128	269	2e-89	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589286873|ref|YP_009007068.1|	148	959893547	WP_058163644	153	91.85	124	265	9e-88	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589286873|ref|YP_009007068.1|	148	730342407	WP_033991536	146	76.71	112	234	8e-76	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589286873|ref|YP_009007068.1|	148	959871905	WP_058148608	152	82.68	105	226	1e-72	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589286873|ref|YP_009007068.1|	148	1134099583	WP_076342852	145	62.76	91	204	6e-64	74829	terminase [Pseudomonas balearica]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas balearica
0	gi|589286873|ref|YP_009007068.1|	148	1119458415	WP_072432863	149	63.7	93	199	7e-62	354	terminase [Azotobacter vinelandii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	Azotobacter vinelandii
0	gi|589286873|ref|YP_009007068.1|	148	968123460	WP_058565359	151	69.17	92	199	8e-62	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589286873|ref|YP_009007068.1|	148	806804726	WP_046164139	145	61.38	89	198	1e-61	1586417	hypothetical protein [Pseudomonas sp. 10B238]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. 10B238
0	gi|589286873|ref|YP_009007068.1|	148	1224187190	WP_092214821	149	67.91	91	197	3e-61	286	MULTISPECIES: terminase [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|589286873|ref|YP_009007068.1|	148	810432957	WP_046340465	152	60	87	181	6e-55	28901	terminase [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589286873|ref|YP_009007068.1|	148	742273239	WP_038805832	152	60	87	181	6e-55	28901	terminase [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589286873|ref|YP_009007068.1|	148	915610901	WP_050860528	151	60	87	181	6e-55	550	hypothetical protein [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|589286873|ref|YP_009007068.1|	148	1165445156	WP_079896690	152	60	87	181	9e-55	28901	terminase [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589286873|ref|YP_009007068.1|	148	487658068	WP_001750256	152	60	87	180	1e-54	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589286873|ref|YP_009007068.1|	148	1167644946	WP_080068919	152	60	87	180	2e-54	28901	terminase [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589286873|ref|YP_009007068.1|	148	487137629	WP_001629224	152	60	87	180	2e-54	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589286873|ref|YP_009007068.1|	148	555244316	WP_023228664	152	60	87	179	3e-54	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589286873|ref|YP_009007068.1|	148	446641242	WP_000718588	152	59.31	86	179	4e-54	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589286873|ref|YP_009007068.1|	148	920058547	WP_052940759	152	59.31	86	178	9e-54	28901	terminase [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589286873|ref|YP_009007068.1|	148	1016521387	WP_063100647	145	59.31	86	177	1e-53	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589286873|ref|YP_009007068.1|	148	647333404	WP_025765985	145	59.31	86	177	2e-53	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|589286873|ref|YP_009007068.1|	148	486191140	WP_001543880	145	59.31	86	177	2e-53	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589286873|ref|YP_009007068.1|	148	1167593106	WP_080028444	145	59.31	86	177	3e-53	562	terminase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589286873|ref|YP_009007068.1|	148	1184537873	WP_085107321	154	57.93	84	177	3e-53	28141	terminase [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|589286873|ref|YP_009007068.1|	148	920057086	WP_052940622	152	59.31	86	177	4e-53	28901	terminase [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|589286873|ref|YP_009007068.1|	148	895965107	WP_049045010	152	57.93	84	176	8e-53	562	terminase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589286873|ref|YP_009007068.1|	148	1231407732	WP_094318840	145	58.62	85	176	9e-53	624	terminase [Shigella sonnei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei
0	gi|589286873|ref|YP_009007068.1|	148	1254005012	WP_096997732	145	58.62	85	173	9e-52	562	terminase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|589286873|ref|YP_009007068.1|	148	1325958968	WP_101828345	147	60	81	165	1e-48	2060066	terminase [Yersiniaceae bacterium 2016Iso3]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae		Yersiniaceae bacterium 2016Iso3
0	gi|589286873|ref|YP_009007068.1|	148	500213985	WP_011884154	146	58.14	75	162	2e-47	87883	terminase [Burkholderia multivorans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia multivorans
0	gi|589286873|ref|YP_009007068.1|	148	1180754603	WP_084236905	170	54.62	71	162	3e-47	151894	terminase [Pedobacter africanus]	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter africanus
0	gi|589286873|ref|YP_009007068.1|	148	1128877076	WP_075271895	165	56.15	73	160	1e-46	75985	terminase [Mannheimia haemolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Mannheimia haemolytica
0	gi|589286873|ref|YP_009007068.1|	148	643486671	WP_025217151	165	56.15	73	160	1e-46	85404	hypothetical protein [Mannheimia varigena]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Mannheimia varigena
0	gi|589286873|ref|YP_009007068.1|	148	525759302	WP_020824116	165	56.15	73	160	1e-46	75985	hypothetical protein [Mannheimia haemolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Mannheimia haemolytica
0	gi|589286873|ref|YP_009007068.1|	148	493294364	WP_006252035	165	56.15	73	160	1e-46	75985	hypothetical protein [Mannheimia haemolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Mannheimia haemolytica
0	gi|589286873|ref|YP_009007068.1|	148	749034037	WP_040080897	165	56.15	73	160	1e-46	75985	hypothetical protein [Mannheimia haemolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Mannheimia haemolytica
0	gi|589286873|ref|YP_009007068.1|	148	738954188	WP_036838633	142	57.25	75	159	3e-46	574560	terminase [Photorhabdus temperata]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Photorhabdus	Photorhabdus temperata
0	gi|589286873|ref|YP_009007068.1|	148	1124547195	WP_074830552	146	60.83	73	158	6e-46	286	MULTISPECIES: terminase [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|589286873|ref|YP_009007068.1|	148	981595284	WP_059795906	148	60.16	77	157	1e-45	1637871	hypothetical protein [Burkholderia sp. MSMB1072]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. MSMB1072
0	gi|589286873|ref|YP_009007068.1|	148	1148745793	WP_077478716	166	55.04	71	158	1e-45	1908263	terminase [Rodentibacter trehalosifermentans]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter trehalosifermentans
