qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|431810359|ref|YP_007237241.1|	137	1007059947	WP_061838393	196	36.77	57	89.4	5e-19	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	1183701054	WP_084930733	159	36.13	56	86.7	2e-18	1280	terminase small subunit, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	983374435	WP_060552696	196	36.13	56	87.4	3e-18	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	1268115830	WP_098676728	145	37.31	50	86.3	3e-18	561879	terminase small subunit [Bacillus safensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis
0	gi|431810359|ref|YP_007237241.1|	137	1140899827	WP_076749652	189	35.26	55	87	4e-18	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	1006170540	WP_061738022	190	36.13	56	86.7	4e-18	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	763247480	WP_044116360	196	35.48	55	86.7	5e-18	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	447215803	WP_001293059	196	36.13	56	86.7	5e-18	1279	MULTISPECIES: terminase small subunit [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|431810359|ref|YP_007237241.1|	137	1119444983	WP_072419895	196	36.13	56	86.7	5e-18	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	1006167297	WP_061737229	196	36.13	56	86.7	5e-18	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	1183763616	WP_084980547	155	35.95	55	85.9	6e-18	1280	terminase small subunit, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	1025823122	WP_063557454	156	35.48	55	85.9	6e-18	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	920658266	WP_053039931	173	35.48	55	85.9	6e-18	1280	terminase small subunit, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	1196426271	WP_086098126	196	35.48	55	86.3	7e-18	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	565831180	WP_023914874	196	36.13	56	86.3	8e-18	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	1183730881	WP_084956325	180	35.48	55	85.9	8e-18	1280	terminase small subunit, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	1093533210	WP_070873602	186	35.48	55	85.9	8e-18	1608890	terminase small subunit, partial [Staphylococcus sp. HMSC66A04]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. HMSC66A04
0	gi|431810359|ref|YP_007237241.1|	137	948045880	WP_056704935	145	37.12	49	85.1	9e-18	1736222	terminase small subunit [Bacillus sp. Leaf49]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. Leaf49
0	gi|431810359|ref|YP_007237241.1|	137	1093524967	WP_070867657	187	35.48	55	85.9	9e-18	1608891	terminase small subunit, partial [Staphylococcus sp. HMSC66C11]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. HMSC66C11
0	gi|431810359|ref|YP_007237241.1|	137	921293438	WP_053229040	189	35.48	55	85.9	9e-18	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	920540701	WP_052996660	189	35.48	55	85.9	9e-18	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	757462423	WP_042743922	196	35.48	55	85.9	1e-17	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	686360139	WP_031891803	196	35.48	55	85.9	1e-17	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	920550287	WP_052999197	189	35.48	55	85.9	1e-17	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	872416670	WP_048518058	196	35.48	55	85.9	1e-17	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	1006854102	WP_061825915	192	35.95	55	85.9	1e-17	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	872617876	WP_048536517	196	35.48	55	85.9	1e-17	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	757459026	WP_042742711	196	35.48	55	85.9	1e-17	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	880822691	WP_048666535	196	35.48	55	85.9	1e-17	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	920556610	WP_053000951	189	35.48	55	85.5	1e-17	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|431810359|ref|YP_007237241.1|	137	447215802	WP_001293058	196	35.48	55	85.9	1e-17	1279;93061	MULTISPECIES: terminase small subunit [Staphylococcus]	NA	NA	NA	NA	NA	NA	NA
0	gi|431810359|ref|YP_007237241.1|	137	447215824	WP_001293080	189	35.48	55	85.5	1e-17	1280	terminase small subunit [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
