qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|41179218|ref|NP_958556.1|	391	499474832	WP_011161472	391	100	391	801	0	33959	site-specific integrase [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|41179218|ref|NP_958556.1|	391	504380222	WP_014567324	391	98.72	386	794	0	33959	site-specific integrase [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|41179218|ref|NP_958556.1|	391	1237013837	WP_095154535	391	91.05	356	729	0	33959	site-specific integrase [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|41179218|ref|NP_958556.1|	391	1061109191	WP_069168347	391	90.54	354	728	0	33959	site-specific integrase [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|41179218|ref|NP_958556.1|	391	1197963001	WP_086874986	391	90.28	353	726	0	33959	site-specific integrase [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|41179218|ref|NP_958556.1|	391	1002564586	WP_061400384	391	90.03	352	725	0	33959	site-specific integrase [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|41179218|ref|NP_958556.1|	391	1233092958	WP_094497036	391	89.77	351	723	0	33959	site-specific integrase [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|41179218|ref|NP_958556.1|	391	491033548	WP_004895233	391	89.77	351	723	0	33959	site-specific integrase [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|41179218|ref|NP_958556.1|	391	499475579	WP_011162219	391	89.51	350	721	0	33959	site-specific integrase [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|41179218|ref|NP_958556.1|	391	502608938	WP_012845984	390	89.26	349	715	0	33959	site-specific integrase [Lactobacillus johnsonii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
0	gi|41179218|ref|NP_958556.1|	391	489744460	WP_003648492	394	65.23	257	533	0	1596	site-specific integrase [Lactobacillus gasseri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
0	gi|41179218|ref|NP_958556.1|	391	983179179	WP_060462801	393	59.64	235	487	1e-167	47770	site-specific integrase [Lactobacillus crispatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
0	gi|41179218|ref|NP_958556.1|	391	492040175	WP_005728850	393	59.64	235	487	1e-167	47770	site-specific integrase [Lactobacillus crispatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
0	gi|41179218|ref|NP_958556.1|	391	983180318	WP_060463560	393	59.64	235	486	2e-167	47770	site-specific integrase [Lactobacillus crispatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
0	gi|41179218|ref|NP_958556.1|	391	998485172	WP_061102290	393	59.39	234	485	6e-167	47770	site-specific integrase [Lactobacillus crispatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
0	gi|41179218|ref|NP_958556.1|	391	492028968	WP_005724648	393	59.39	234	485	9e-167	47770	site-specific integrase [Lactobacillus crispatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
0	gi|41179218|ref|NP_958556.1|	391	493787716	WP_006735973	372	58.57	229	473	2e-162	147802	site-specific integrase [Lactobacillus iners]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
0	gi|41179218|ref|NP_958556.1|	391	493636655	WP_006588450	375	59.08	231	467	8e-160	109790	site-specific integrase [Lactobacillus jensenii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii
0	gi|41179218|ref|NP_958556.1|	391	493787306	WP_006735573	372	57.03	223	466	2e-159	147802	site-specific integrase [Lactobacillus iners]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
0	gi|41179218|ref|NP_958556.1|	391	493635605	WP_006587426	375	58.31	228	457	3e-156	109790	site-specific integrase [Lactobacillus jensenii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii
0	gi|41179218|ref|NP_958556.1|	391	809081505	WP_046324977	373	58.06	227	457	4e-156	1218507	site-specific integrase [Lactobacillus melliventris]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus melliventris
0	gi|41179218|ref|NP_958556.1|	391	1040952552	WP_065169648	374	49.62	194	367	1e-120	1596	site-specific integrase [Lactobacillus gasseri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
0	gi|41179218|ref|NP_958556.1|	391	493784266	WP_006732597	373	48.35	190	348	2e-113	147802	integrase [Lactobacillus iners]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
0	gi|41179218|ref|NP_958556.1|	391	493789440	WP_006737660	373	48.35	190	347	4e-113	147802	integrase [Lactobacillus iners]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
0	gi|41179218|ref|NP_958556.1|	391	493783104	WP_006731471	373	48.09	189	347	7e-113	147802	integrase [Lactobacillus iners]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
0	gi|41179218|ref|NP_958556.1|	391	1332918145	WP_102878169	373	48.09	189	347	9e-113	147802	site-specific integrase [Lactobacillus iners]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
0	gi|41179218|ref|NP_958556.1|	391	493636777	WP_006588571	372	46.68	183	346	1e-112	109790	site-specific integrase [Lactobacillus jensenii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii
0	gi|41179218|ref|NP_958556.1|	391	493785470	WP_006733772	373	47.84	188	345	2e-112	147802	integrase [Lactobacillus iners]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
0	gi|41179218|ref|NP_958556.1|	391	1332709031	WP_102720525	373	47.84	188	345	3e-112	147802	site-specific integrase [Lactobacillus iners]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
0	gi|41179218|ref|NP_958556.1|	391	949505780	WP_056947074	374	46.1	183	344	1e-111	1578	MULTISPECIES: site-specific integrase [Lactobacillus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|41179218|ref|NP_958556.1|	391	493782320	WP_006730699	373	47.58	187	343	3e-111	147802	integrase [Lactobacillus iners]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
0	gi|41179218|ref|NP_958556.1|	391	737184066	WP_035169948	369	44.16	174	338	9e-110	1584	site-specific integrase [Lactobacillus delbrueckii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii
0	gi|41179218|ref|NP_958556.1|	391	920010502	WP_052933847	369	44.42	175	337	3e-109	1584	site-specific integrase [Lactobacillus delbrueckii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii
0	gi|41179218|ref|NP_958556.1|	391	498180720	WP_010494876	397	45.83	176	335	5e-108	89059	site-specific integrase [Lactobacillus acidipiscis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidipiscis
0	gi|41179218|ref|NP_958556.1|	391	1171035059	WP_080585122	385	42.64	168	325	3e-104	1584	site-specific integrase [Lactobacillus delbrueckii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii
0	gi|41179218|ref|NP_958556.1|	391	489749858	WP_003653867	374	44.42	175	323	1e-103	1596	site-specific integrase [Lactobacillus gasseri]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
0	gi|41179218|ref|NP_958556.1|	391	951335398	WP_057719517	372	42.89	169	317	4e-101	508451	site-specific integrase [Lactobacillus taiwanensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus taiwanensis
0	gi|41179218|ref|NP_958556.1|	391	1233122492	WP_094522957	372	43.15	170	316	6e-101	508451	site-specific integrase [Lactobacillus taiwanensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus taiwanensis
0	gi|41179218|ref|NP_958556.1|	391	1233126268	WP_094526214	372	43.15	170	316	8e-101	508451	site-specific integrase [Lactobacillus taiwanensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus taiwanensis
