qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|526244696|ref|YP_008320024.1|	114	504630836	WP_014817938	109	59.13	68	108	1e-27	1800	hypothetical protein [Mycobacterium chubuense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chubuense
0	gi|526244696|ref|YP_008320024.1|	114	1039571268	WP_064898414	109	40.54	45	64.7	9e-11	1766	hypothetical protein [Mycobacterium fortuitum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium fortuitum
0	gi|526244697|ref|YP_008320025.1|	510	1178659893	WP_083170505	492	62.8	309	598	0	1927124	terminase [Mycobacterium aquaticum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium aquaticum
0	gi|526244697|ref|YP_008320025.1|	510	1152494061	WP_078344514	490	62.24	305	555	0	1774	terminase [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|526244697|ref|YP_008320025.1|	510	1178495846	WP_083017322	490	62.04	304	554	0	1578165	terminase [Mycobacterium saopaulense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium saopaulense
0	gi|526244697|ref|YP_008320025.1|	510	1039566613	WP_064894063	478	62.26	297	553	0	451644	hypothetical protein [Mycobacterium conceptionense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium conceptionense
0	gi|526244697|ref|YP_008320025.1|	510	750490363	WP_040772234	490	58.3	274	546	0	38312	terminase [Rhodococcus rhodnii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus rhodnii
0	gi|526244697|ref|YP_008320025.1|	510	1183636012	WP_084869426	475	57.81	274	533	0	43767	terminase [Rhodococcus hoagii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii
0	gi|526244697|ref|YP_008320025.1|	510	759989919	WP_043673589	473	59.37	282	533	0	1141657	terminase [Nocardia vulneris]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia vulneris
0	gi|526244697|ref|YP_008320025.1|	510	1160777722	WP_079631587	480	58	279	521	8e-178	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|526244697|ref|YP_008320025.1|	510	1152455915	WP_078313641	480	57.8	278	520	3e-177	1774	terminase [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|526244697|ref|YP_008320025.1|	510	1160822212	WP_079670558	480	57.8	278	519	5e-177	36809	terminase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|526244697|ref|YP_008320025.1|	510	916572638	WP_051179729	480	57.2	266	519	7e-177	257281	terminase [Nocardia concava]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia concava
