qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|282598724|ref|YP_003358791.1|	264	488319706	WP_002389091	264	100	264	530	0	1351	small subunit of terminase [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|282598724|ref|YP_003358791.1|	264	727135221	WP_033627952	264	95.83	253	513	0	1351	small subunit of terminase [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|282598724|ref|YP_003358791.1|	264	498394744	WP_010708418	256	86.25	207	427	3e-148	1351	hypothetical protein [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|282598724|ref|YP_003358791.1|	264	498398302	WP_010711658	254	88.19	209	426	1e-147	1351	hypothetical protein [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|282598724|ref|YP_003358791.1|	264	835750883	WP_047648912	273	81.68	214	413	3e-142	1351	small subunit of terminase [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|282598724|ref|YP_003358791.1|	264	488340736	WP_002410121	267	77.6	194	392	4e-134	1351	small subunit of terminase [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|282598724|ref|YP_003358791.1|	264	881016922	WP_048737454	254	80.17	190	387	1e-132	1579349	small subunit of terminase [Enterococcus sp. 1140_ESPC]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. 1140_ESPC
0	gi|282598724|ref|YP_003358791.1|	264	498469370	WP_010774471	273	80.25	191	385	4e-131	1351	hypothetical protein [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|282598724|ref|YP_003358791.1|	264	1173254790	WP_081115323	265	70.08	185	380	2e-129	1354	small subunit of terminase [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|282598724|ref|YP_003358791.1|	264	514907824	WP_016632581	275	68	170	340	1e-113	1351	ATPase subunit of terminase [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|282598724|ref|YP_003358791.1|	264	896028409	WP_049087852	267	74.67	168	323	3e-107	1351	small subunit of terminase [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|282598724|ref|YP_003358791.1|	264	927053505	WP_053766653	281	64.31	164	323	9e-107	1354	small subunit of terminase [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|282598724|ref|YP_003358791.1|	264	498481014	WP_010784163	267	71.19	173	322	1e-106	1351	hypothetical protein [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|282598724|ref|YP_003358791.1|	264	498395223	WP_010708809	267	74.22	167	322	1e-106	1351	hypothetical protein [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|282598724|ref|YP_003358791.1|	264	728812852	WP_033919454	267	73.13	166	320	6e-106	1351	small subunit of terminase [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|282598724|ref|YP_003358791.1|	264	1173281309	WP_081140276	280	63.53	162	320	6e-106	1352	small subunit of terminase [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|282598724|ref|YP_003358791.1|	264	488285815	WP_002357023	267	73.78	166	320	7e-106	1351	small subunit of terminase [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
