qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|157168374|ref|YP_001456731.1|	142	536926327	WP_020975819	109	50	34	66.2	4e-11	42817	hypothetical protein [Corynebacterium argentoratense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium argentoratense
0	gi|157168375|ref|YP_001456732.1|	542	1130970674	WP_075734443	563	52.88	285	545	0	161895	hypothetical protein [Corynebacterium phocae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium phocae
0	gi|157168375|ref|YP_001456732.1|	542	1092461460	WP_070451178	564	50.84	271	532	2e-180	1581088	hypothetical protein [Corynebacterium sp. HMSC11D10]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. HMSC11D10
0	gi|157168375|ref|YP_001456732.1|	542	1054763157	WP_066527198	562	49.16	263	521	5e-176	1720192	hypothetical protein [Corynebacterium bouchesdurhonense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium bouchesdurhonense
0	gi|157168375|ref|YP_001456732.1|	542	1181247612	WP_084563006	528	51.12	274	507	5e-171	203263	terminase [Corynebacterium aquilae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium aquilae
0	gi|157168375|ref|YP_001456732.1|	542	1092897472	WP_070802543	533	49.71	258	461	4e-153	1717	terminase [Corynebacterium diphtheriae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae
0	gi|157168375|ref|YP_001456732.1|	542	1092888154	WP_070795344	533	49.71	258	461	6e-153	1717	terminase [Corynebacterium diphtheriae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae
0	gi|157168375|ref|YP_001456732.1|	542	1214144304	WP_088774665	533	49.71	258	460	2e-152	1717	terminase [Corynebacterium diphtheriae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae
0	gi|157168375|ref|YP_001456732.1|	542	1119654293	WP_072574482	533	49.52	257	459	3e-152	1717	terminase [Corynebacterium diphtheriae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae
0	gi|157168375|ref|YP_001456732.1|	542	489946920	WP_003850227	533	49.71	258	459	3e-152	1717	hypothetical protein [Corynebacterium diphtheriae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae
0	gi|157168375|ref|YP_001456732.1|	542	1119644514	WP_072564843	533	49.71	258	459	3e-152	1717	terminase [Corynebacterium diphtheriae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae
0	gi|157168375|ref|YP_001456732.1|	542	504084499	WP_014318493	533	49.52	257	459	4e-152	1717	hypothetical protein [Corynebacterium diphtheriae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae
0	gi|157168375|ref|YP_001456732.1|	542	1176419869	WP_082258186	533	49.52	257	458	9e-152	1717	terminase [Corynebacterium diphtheriae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae
0	gi|157168375|ref|YP_001456732.1|	542	755053735	WP_042405978	539	49.23	255	456	5e-151	1414719	terminase [Corynebacterium jeddahense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeddahense
