qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|560185958|ref|YP_008853724.1|	156	1071372434	WP_069804942	156	99.36	155	322	3e-110	29385	phage terminase small subunit P27 family [Staphylococcus saprophyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus
0	gi|560185958|ref|YP_008853724.1|	156	1071359764	WP_069793723	156	98.72	154	320	2e-109	29385	phage terminase small subunit P27 family [Staphylococcus saprophyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus
0	gi|560185958|ref|YP_008853724.1|	156	1071398573	WP_069824912	156	98.08	153	318	9e-109	29385	phage terminase small subunit P27 family [Staphylococcus saprophyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus
0	gi|560185958|ref|YP_008853724.1|	156	1071370095	WP_069802722	156	90.38	141	298	7e-101	246432	phage terminase small subunit P27 family [Staphylococcus equorum]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus equorum
0	gi|560185958|ref|YP_008853724.1|	156	1039416269	WP_064782988	156	88.46	138	293	6e-99	1715860	phage terminase small subunit P27 family [Staphylococcus sp. AntiMn-1]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. AntiMn-1
0	gi|560185958|ref|YP_008853724.1|	156	740893354	WP_038678602	156	88.46	138	273	6e-91	1288	phage terminase small subunit P27 family [Staphylococcus xylosus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
0	gi|560185958|ref|YP_008853724.1|	156	815842661	WP_046464341	156	79.49	124	271	6e-90	1292	phage terminase small subunit P27 family [Staphylococcus warneri]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus warneri
0	gi|560185958|ref|YP_008853724.1|	156	920605989	WP_053017026	156	78.85	123	271	7e-90	1283	phage terminase small subunit P27 family [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|560185958|ref|YP_008853724.1|	156	920611095	WP_053020668	156	78.85	123	270	1e-89	1283	phage terminase small subunit P27 family [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|560185958|ref|YP_008853724.1|	156	735685018	WP_034172770	156	78.21	122	269	3e-89	1639	phage terminase small subunit P27 family [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|560185958|ref|YP_008853724.1|	156	1093460268	WP_070837793	156	77.56	121	268	5e-89	1715143	phage terminase small subunit P27 family [Staphylococcus sp. HMSC064E03]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. HMSC064E03
0	gi|560185958|ref|YP_008853724.1|	156	920618203	WP_053025854	156	78.85	123	268	7e-89	1283	phage terminase small subunit P27 family [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|560185958|ref|YP_008853724.1|	156	983372310	WP_060550738	156	78.85	123	268	1e-88	985762	phage terminase small subunit P27 family [Staphylococcus agnetis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus agnetis
0	gi|560185958|ref|YP_008853724.1|	156	1093461998	WP_070839307	156	77.56	121	267	2e-88	1715194	phage terminase small subunit P27 family [Staphylococcus sp. HMSC062A01]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. HMSC062A01
0	gi|560185958|ref|YP_008853724.1|	156	896521482	WP_049426288	156	76.28	119	264	3e-87	1283	terminase [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|560185958|ref|YP_008853724.1|	156	1016088092	WP_062931937	156	75.64	118	263	6e-87	1283	phage terminase small subunit P27 family [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|560185958|ref|YP_008853724.1|	156	880831734	WP_048668112	156	76.92	120	263	7e-87	1279	MULTISPECIES: phage terminase small subunit P27 family [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|560185958|ref|YP_008853724.1|	156	1184244192	WP_085063385	156	77.56	121	263	1e-86	1283	phage terminase small subunit P27 family [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|560185958|ref|YP_008853724.1|	156	1238643456	WP_095327665	156	77.56	121	262	2e-86	1283	phage terminase small subunit P27 family [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|560185958|ref|YP_008853724.1|	156	920607105	WP_053018036	156	77.56	121	261	3e-86	1283	phage terminase small subunit P27 family [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|560185958|ref|YP_008853724.1|	156	920640936	WP_053032469	156	76.28	119	261	3e-86	1283	phage terminase small subunit P27 family [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|560185958|ref|YP_008853724.1|	156	519063820	WP_020219695	156	78.21	122	261	6e-86	283734	phage terminase small subunit P27 family [Staphylococcus pseudintermedius]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pseudintermedius
0	gi|560185958|ref|YP_008853724.1|	156	896481897	WP_049394968	156	75	117	256	5e-84	1283	terminase [Staphylococcus haemolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
0	gi|560185958|ref|YP_008853724.1|	156	896376997	WP_049319267	156	71.15	111	231	3e-74	1280	terminase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|560185958|ref|YP_008853724.1|	156	821514291	WP_046836798	156	68.59	107	226	2e-72	61015	phage terminase small subunit P27 family [Staphylococcus succinus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus succinus
0	gi|560185958|ref|YP_008853724.1|	156	827450047	WP_047210743	156	61.54	96	206	2e-64	1279	MULTISPECIES: phage terminase small subunit P27 family [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|560185958|ref|YP_008853724.1|	156	1160407178	WP_079449179	156	60.9	95	204	7e-64	1292	phage terminase small subunit P27 family [Staphylococcus warneri]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus warneri
0	gi|560185958|ref|YP_008853724.1|	156	488384149	WP_002453534	156	60.26	94	199	1e-61	29388	phage terminase small subunit P27 family [Staphylococcus capitis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus capitis
0	gi|560185958|ref|YP_008853724.1|	156	1092518373	WP_070503123	161	61.01	97	198	3e-61	1739306	phage terminase small subunit P27 family [Staphylococcus sp. HMSC071G07]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. HMSC071G07
0	gi|560185958|ref|YP_008853724.1|	156	488428919	WP_002498304	156	60.26	94	198	3e-61	1282	phage terminase small subunit P27 family [Staphylococcus epidermidis]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
0	gi|560185958|ref|YP_008853724.1|	156	835430194	WP_047503419	161	60.38	96	198	3e-61	1339238	phage terminase small subunit P27 family [Staphylococcus sp. ZWU0021]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. ZWU0021
0	gi|560185958|ref|YP_008853724.1|	156	488434788	WP_002504173	156	60.26	94	197	3e-61	1279	MULTISPECIES: phage terminase small subunit P27 family [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|560185958|ref|YP_008853724.1|	156	920615250	WP_053023513	156	60.26	94	197	5e-61	1279	MULTISPECIES: phage terminase small subunit P27 family [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|560185958|ref|YP_008853724.1|	156	992331917	WP_061050570	161	59.75	95	197	7e-61	29385	phage terminase small subunit P27 family [Staphylococcus saprophyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus
0	gi|560185958|ref|YP_008853724.1|	156	1332677613	WP_102696026	161	60.38	96	197	8e-61	170573	phage terminase small subunit P27 family [Staphylococcus pettenkoferi]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pettenkoferi
0	gi|560185958|ref|YP_008853724.1|	156	1071453963	WP_069878101	161	59.75	95	196	1e-60	29385	phage terminase small subunit P27 family [Staphylococcus saprophyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus
