qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|273810555|ref|YP_003344936.1|	190	551333242	WP_022952679	171	33.06	41	72	2e-12	45248	hypothetical protein [Leucothrix mucor]	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Leucothrix	Leucothrix mucor
0	gi|273810556|ref|YP_003344937.1|	461	1200750243	WP_087584251	419	49.88	206	395	5e-130	199	hypothetical protein [Campylobacter concisus]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus
0	gi|273810556|ref|YP_003344937.1|	461	916660729	WP_051267820	419	49.76	206	394	1e-129	199	hypothetical protein [Campylobacter concisus]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus
0	gi|273810556|ref|YP_003344937.1|	461	515859469	WP_017290097	430	46.49	192	355	4e-114	1184	terminase [Leptolyngbya boryana]	Bacteria	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya boryana
0	gi|273810556|ref|YP_003344937.1|	461	959873269	WP_058149609	431	43.19	184	318	6e-100	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|273810556|ref|YP_003344937.1|	461	817673744	WP_046638883	431	42.96	183	317	1e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|273810556|ref|YP_003344937.1|	461	950502985	WP_057391132	431	43.19	184	317	2e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|273810556|ref|YP_003344937.1|	461	950484478	WP_057379530	431	43.19	184	316	4e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|273810556|ref|YP_003344937.1|	461	953526008	WP_058010743	431	43.19	184	315	6e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|273810556|ref|YP_003344937.1|	461	1023037632	WP_063456159	431	42.59	181	315	7e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
