qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|429315959|ref|YP_007183209.1|	152	506585801	WP_016052001	157	63.4	97	205	4e-64	29442	terminase small subunit [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|429315960|ref|YP_007183210.1|	165	506585800	WP_016052000	168	58.02	94	171	2e-50	29442	lysozyme [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|429315960|ref|YP_007183210.1|	165	640737254	WP_025159936	150	42.98	49	79	3e-15	615	lysozyme [Serratia marcescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens
0	gi|429315960|ref|YP_007183210.1|	165	1332800557	WP_102780173	150	46.43	52	78.6	5e-15	615	lysozyme [Serratia marcescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens
0	gi|429315960|ref|YP_007183210.1|	165	896087056	WP_049125330	149	40.83	49	77.4	1e-14	550	hypothetical protein [Enterobacter cloacae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae
0	gi|429315960|ref|YP_007183210.1|	165	928853992	WP_053900821	147	40.34	48	76.3	3e-14	562	lysozyme [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|429315960|ref|YP_007183210.1|	165	1189814113	WP_085842341	147	40	48	76.3	3e-14	573	lysozyme [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|429315960|ref|YP_007183210.1|	165	1209893089	WP_088402838	147	40	48	76.3	4e-14	573	lysozyme [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|429315960|ref|YP_007183210.1|	165	755118576	WP_042469074	152	40.68	48	74.7	1e-13	645	autolysin [Aeromonas salmonicida]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida
0	gi|429315960|ref|YP_007183210.1|	165	491453328	WP_005311111	152	40.68	48	74.3	2e-13	645	autolysin [Aeromonas salmonicida]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida
0	gi|429315960|ref|YP_007183210.1|	165	983527996	WP_060679736	150	41.32	50	74.3	2e-13	549	lysozyme [Pantoea agglomerans]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans
0	gi|429315960|ref|YP_007183210.1|	165	1293381334	WP_100662926	153	40.68	48	73.9	2e-13	54291	lysozyme [Raoultella ornithinolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
0	gi|429315960|ref|YP_007183210.1|	165	915611452	WP_050861055	150	40.68	48	73.9	2e-13	354276	MULTISPECIES: hypothetical protein [Enterobacter cloacae complex]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	
0	gi|429315960|ref|YP_007183210.1|	165	983096397	WP_060435493	150	43.24	48	73.9	2e-13	615	lysozyme [Serratia marcescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens
0	gi|429315960|ref|YP_007183210.1|	165	1255932784	WP_097475755	149	42.86	51	73.9	2e-13	562	lysozyme [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|429315960|ref|YP_007183210.1|	165	1036452996	WP_064691192	150	42.15	51	72.4	7e-13	549	lysozyme [Pantoea agglomerans]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans
0	gi|429315960|ref|YP_007183210.1|	165	694091172	WP_032435853	147	39.34	48	72.4	8e-13	573	lysozyme [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|429315960|ref|YP_007183210.1|	165	738151758	WP_036109139	150	41.03	48	72.4	8e-13	1224318	lysozyme [Mangrovibacter sp. MFB070]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Mangrovibacter	Mangrovibacter sp. MFB070
