qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589892150|ref|YP_009008515.1|	758	917750337	WP_052264511	743	31.82	246	301	8e-87	74829	DUF3987 domain-containing protein [Pseudomonas balearica]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas balearica
0	gi|589892150|ref|YP_009008515.1|	758	503186034	WP_013420695	474	35.13	150	253	2e-71	1069	DUF3987 domain-containing protein [Rhodomicrobium vannielii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodomicrobium	Rhodomicrobium vannielii
0	gi|589892150|ref|YP_009008515.1|	758	1126145136	WP_075149135	537	34.25	149	251	5e-70	96773	DUF3987 domain-containing protein [Thauera chlorobenzoica]	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera chlorobenzoica
0	gi|589892150|ref|YP_009008515.1|	758	1180152590	WP_083671973	519	32.4	151	243	1e-67	1843236	DUF3987 domain-containing protein [Sphingomonas sp. W16RD]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. W16RD
0	gi|589892150|ref|YP_009008515.1|	758	1271391767	WP_099185732	473	33.56	145	239	2e-66	336203	DUF3987 domain-containing protein [Sphingobium fuliginis]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium fuliginis
0	gi|589892150|ref|YP_009008515.1|	758	873286467	WP_048575751	504	31.61	141	237	2e-65	1647414	DUF3987 domain-containing protein [Sphingomonas sp. MEA3-1]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. MEA3-1
0	gi|589892150|ref|YP_009008515.1|	758	1209287422	WP_088334188	473	33.1	139	234	1e-64	370959	DUF3987 domain-containing protein [Sphingomonas mucosissima]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas mucosissima
0	gi|589892150|ref|YP_009008515.1|	758	1285121950	WP_100451071	536	33.26	146	234	6e-64	40324	DUF3987 domain-containing protein [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589892150|ref|YP_009008515.1|	758	1172316942	WP_080700221	548	33.56	150	234	1e-63	28216	MULTISPECIES: DUF3987 domain-containing protein [Betaproteobacteria]	Bacteria	Proteobacteria	Betaproteobacteria				
0	gi|589892150|ref|YP_009008515.1|	758	759428219	WP_043151339	521	32.69	152	229	2e-62	1461752	DUF3987 domain-containing protein [Sphingobium sp. Ant17]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium sp. Ant17
0	gi|589892150|ref|YP_009008515.1|	758	981216229	WP_059439125	476	32.9	152	225	3e-61	1300915	hypothetical protein [Anaeromyxobacter sp. PSR-1]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter sp. PSR-1
0	gi|589892150|ref|YP_009008515.1|	758	1055019563	WP_066771178	505	30.67	138	221	2e-59	1768781	DUF3987 domain-containing protein [Sphingobium sp. CCH11-B1]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium sp. CCH11-B1
0	gi|589892150|ref|YP_009008515.1|	758	685918807	WP_031655514	531	32.74	146	221	3e-59	287	DUF3987 domain-containing protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589892150|ref|YP_009008515.1|	758	739344604	WP_037206869	465	32.73	144	207	3e-55	1469613	DUF3987 domain-containing protein [Rhodovulum sp. NI22]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	Rhodovulum sp. NI22
0	gi|589892150|ref|YP_009008515.1|	758	1154068966	WP_078451170	504	32.32	138	208	4e-55	287	DUF3987 domain-containing protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589892150|ref|YP_009008515.1|	758	1162503097	WP_079867236	504	32.32	138	208	5e-55	286	MULTISPECIES: DUF3987 domain-containing protein [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|589892150|ref|YP_009008515.1|	758	1189708569	WP_085764951	449	32.81	146	206	7e-55	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589892150|ref|YP_009008515.1|	758	489384311	WP_003290957	504	32.32	138	207	1e-54	316	DUF3987 domain-containing protein [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|589892150|ref|YP_009008515.1|	758	1159853849	WP_079385802	504	32.32	138	206	2e-54	287	DUF3987 domain-containing protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589892150|ref|YP_009008515.1|	758	1246777384	WP_096362143	479	32.38	136	204	5e-54	120107	DUF3987 domain-containing protein [Sphingobium cloacae]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium cloacae
0	gi|589892150|ref|YP_009008515.1|	758	932230098	WP_054301915	556	30.23	133	198	3e-51	1529005	DUF3987 domain-containing protein [Gemmobacter sp. LW-1]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter	Gemmobacter sp. LW-1
0	gi|589892150|ref|YP_009008515.1|	758	730659304	WP_034065683	521	26.68	139	195	2e-50	287	DUF3987 domain-containing protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589892150|ref|YP_009008515.1|	758	497504473	WP_009818671	474	30.59	130	191	2e-49	314264	DUF3987 domain-containing protein [Roseovarius sp. 217]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	Roseovarius sp. 217
0	gi|589892150|ref|YP_009008515.1|	758	1296386452	WP_100697214	576	28.51	126	193	3e-49	1982755	hypothetical protein [Advenella sp. S44]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella	Advenella sp. S44
0	gi|589892150|ref|YP_009008515.1|	758	1281957177	WP_100317143	513	27.99	124	187	1e-47	57609	MULTISPECIES: DUF3987 domain-containing protein [unclassified Xanthomonadaceae (miscellaneous)]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		
0	gi|589892150|ref|YP_009008515.1|	758	1121347887	WP_073650381	501	28.74	125	185	4e-47	287	DUF3987 domain-containing protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589892150|ref|YP_009008515.1|	758	1121345398	WP_073649105	409	28.57	118	172	1e-43	287	DUF3987 domain-containing protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589892150|ref|YP_009008515.1|	758	730336047	WP_033989171	513	28.44	120	174	2e-43	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|589892150|ref|YP_009008515.1|	758	1180431644	WP_083949119	431	29.3	109	169	3e-42	120107	DUF3987 domain-containing protein [Sphingobium cloacae]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium cloacae
0	gi|589892150|ref|YP_009008515.1|	758	1143687922	WP_077145388	253	38.93	95	160	1e-40	1855727	hypothetical protein [Sphingopyxis sp. KK2]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. KK2
0	gi|589892150|ref|YP_009008515.1|	758	1212690380	WP_088582193	462	26.61	116	154	1e-36	41276	hypothetical protein [Brevundimonas vesicularis]	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas vesicularis
0	gi|589892150|ref|YP_009008515.1|	758	1124697912	WP_074976014	510	28.03	125	151	1e-35	1231	hypothetical protein [Nitrosospira multiformis]	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira multiformis
0	gi|589892150|ref|YP_009008515.1|	758	916818166	WP_051425222	752	30.31	127	141	3e-31	935835	DUF3987 domain-containing protein [Bacillus sp. J13]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. J13
0	gi|589892150|ref|YP_009008515.1|	758	1288432201	WP_100540347	750	31.22	133	140	6e-31	71995	DUF3987 domain-containing protein [Paenibacillus vortex]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus vortex
0	gi|589892150|ref|YP_009008515.1|	758	1056485460	WP_067925448	855	34.78	96	137	7e-30	392014	DUF927 domain-containing protein [Alicyclobacillus shizuokensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus shizuokensis
0	gi|589892150|ref|YP_009008515.1|	758	558691447	WP_023520864	797	34.89	97	135	2e-29	1428	DNA primase [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|589892150|ref|YP_009008515.1|	758	1152302370	WP_078187231	798	35.25	98	135	2e-29	1396	DNA primase [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|589892150|ref|YP_009008515.1|	758	1196969394	WP_086392273	798	34.53	96	132	2e-28	1428	DNA primase [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|589892150|ref|YP_009008515.1|	758	655939850	WP_028988094	885	33.33	90	131	5e-28	94009	DUF927 domain-containing protein [Thermicanus aegyptius]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales Family X. Incertae Sedis	Thermicanus	Thermicanus aegyptius
0	gi|589892150|ref|YP_009008515.1|	758	746542461	WP_039574682	318	26.6	83	124	2e-27	1515612	DUF3987 domain-containing protein [Sphingopyxis fribergensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis fribergensis
0	gi|589892150|ref|YP_009008515.1|	758	1005602763	WP_061687501	792	32.37	90	129	3e-27	1396	DNA primase [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|589892150|ref|YP_009008515.1|	758	1268605611	WP_098910002	792	33.81	94	128	3e-27	64104	DNA primase [Bacillus pseudomycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides
0	gi|589892150|ref|YP_009008515.1|	758	493978647	WP_006921628	772	33.83	90	125	3e-26	1301086	primase superantigen-encoding pathogenicity islands SaPI [Bacillus sp. GeD10]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. GeD10
0	gi|589892150|ref|YP_009008515.1|	758	1120180198	WP_073048716	771	32.62	91	124	7e-26	332095	hypothetical protein [Dethiosulfatibacter aminovorans]	Bacteria	Firmicutes	Tissierellia			Dethiosulfatibacter	Dethiosulfatibacter aminovorans
0	gi|589892150|ref|YP_009008515.1|	758	1222729713	WP_090775462	806	32.45	86	120	1e-24	1464122	hypothetical protein [Bacillus lonarensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus lonarensis
0	gi|589892150|ref|YP_009008515.1|	758	1175379050	WP_081926842	794	33.33	96	118	5e-24	35825	hypothetical protein [Pseudobacteroides cellulosolvens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudobacteroides	Pseudobacteroides cellulosolvens
0	gi|589892150|ref|YP_009008515.1|	758	946897897	WP_055820683	262	27.17	72	113	6e-24	13687	MULTISPECIES: DUF3987 domain-containing protein [Sphingomonas]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
