qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|9632938|ref|NP_049966.1|	152	504447266	WP_014634368	152	88.08	133	279	2e-93	1304	phage terminase small subunit P27 family [Streptococcus salivarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius
0	gi|9632938|ref|NP_049966.1|	152	1272634425	WP_099390872	152	79.47	120	256	4e-84	59310	phage terminase small subunit P27 family [Streptococcus macedonicus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus macedonicus
0	gi|9632938|ref|NP_049966.1|	152	493792373	WP_006740512	153	77.63	118	255	9e-84	149016	phage terminase small subunit P27 family [Streptococcus urinalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus urinalis
0	gi|9632938|ref|NP_049966.1|	152	1228043280	WP_094140992	152	78.15	118	252	1e-82	1335	phage terminase small subunit P27 family [Streptococcus equinus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus equinus
0	gi|9632938|ref|NP_049966.1|	152	1252879004	WP_096832678	158	79.19	118	251	4e-82	1304	phage terminase small subunit P27 family [Streptococcus salivarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius
0	gi|9632938|ref|NP_049966.1|	152	746711559	WP_039670736	153	76.32	116	249	2e-81	59310	phage terminase small subunit P27 family [Streptococcus macedonicus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus macedonicus
0	gi|9632938|ref|NP_049966.1|	152	1124336618	WP_074628281	152	81.69	116	248	4e-81	315405	phage terminase small subunit P27 family [Streptococcus gallolyticus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gallolyticus
0	gi|9632938|ref|NP_049966.1|	152	1124173408	WP_074485201	155	76	114	246	2e-80	439219	phage terminase small subunit P27 family [Streptococcus henryi]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus henryi
0	gi|9632938|ref|NP_049966.1|	152	881068253	WP_048785292	153	75	114	246	2e-80	1338	phage terminase small subunit P27 family [Streptococcus intermedius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus intermedius
0	gi|9632938|ref|NP_049966.1|	152	1092631000	WP_070577286	158	77.85	116	246	3e-80	1739371	phage terminase small subunit P27 family [Streptococcus sp. HMSC064H09]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. HMSC064H09
