qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|371496269|ref|YP_004957437.1|	190	551333242	WP_022952679	171	33.06	41	72	2e-12	45248	hypothetical protein [Leucothrix mucor]	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Leucothrix	Leucothrix mucor
0	gi|371496270|ref|YP_004957438.1|	461	916660729	WP_051267820	419	50	207	396	2e-130	199	hypothetical protein [Campylobacter concisus]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus
0	gi|371496270|ref|YP_004957438.1|	461	1200750243	WP_087584251	419	50.12	207	394	1e-129	199	hypothetical protein [Campylobacter concisus]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus
0	gi|371496270|ref|YP_004957438.1|	461	515859469	WP_017290097	430	46.38	192	353	2e-113	1184	terminase [Leptolyngbya boryana]	Bacteria	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya boryana
0	gi|371496270|ref|YP_004957438.1|	461	959873269	WP_058149609	431	42.72	182	317	2e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|371496270|ref|YP_004957438.1|	461	817673744	WP_046638883	431	42.49	181	316	4e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|371496270|ref|YP_004957438.1|	461	950502985	WP_057391132	431	42.72	182	316	6e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|371496270|ref|YP_004957438.1|	461	959899048	WP_058166272	431	42.79	184	315	9e-99	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|371496270|ref|YP_004957438.1|	461	950484478	WP_057379530	431	42.72	182	315	1e-98	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|371496270|ref|YP_004957438.1|	461	953526008	WP_058010743	431	42.72	182	314	2e-98	287	terminase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
