qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|29566022|ref|NP_817592.1|	97	494734546	WP_007470357	101	74.19	69	138	1e-39	286804	HNH endonuclease [Segniliparus rugosus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Segniliparaceae	Segniliparus	Segniliparus rugosus
0	gi|29566022|ref|NP_817592.1|	97	1178459416	WP_082981763	97	70.53	67	129	3e-36	56689	hypothetical protein [Mycobacterium mucogenicum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium mucogenicum
0	gi|29566022|ref|NP_817592.1|	97	662144342	WP_030095301	96	66.67	62	128	1e-35	670516	MULTISPECIES: HNH endonuclease [Mycobacterium chelonae group]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
0	gi|29566022|ref|NP_817592.1|	97	1176857519	WP_082614298	98	61.86	60	123	9e-34	1736504	HNH endonuclease [Mycobacterium sp. Root265]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. Root265
0	gi|29566022|ref|NP_817592.1|	97	1123763550	WP_074334782	97	64.21	61	122	2e-33	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1177844638	WP_082870796	98	64.21	61	121	7e-33	455432	hypothetical protein [Nocardia terpenica]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia terpenica
0	gi|29566022|ref|NP_817592.1|	97	1285198892	WP_100514448	98	64.89	61	120	8e-33	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1123835001	WP_074376435	98	64.89	61	120	2e-32	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1173661960	WP_081344319	97	62.11	59	119	2e-32	1774	HNH endonuclease [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|29566022|ref|NP_817592.1|	97	1123615180	WP_074305785	98	62.77	59	119	3e-32	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1152494437	WP_078344890	97	62.11	59	119	4e-32	1774	HNH endonuclease [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|29566022|ref|NP_817592.1|	97	1159730053	WP_079281454	99	64.21	61	119	6e-32	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1181180914	WP_084528423	98	62.11	59	118	8e-32	53428	HNH endonuclease [Nocardia crassostreae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia crassostreae
0	gi|29566022|ref|NP_817592.1|	97	648215217	WP_025997004	98	62.77	59	118	1e-31	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1123825389	WP_074368251	96	63.54	61	117	1e-31	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1160774518	WP_079629049	98	62.77	59	117	2e-31	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1123796523	WP_074344887	98	62.77	59	117	2e-31	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1123758813	WP_074334362	99	63.16	60	117	2e-31	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1123612283	WP_074303890	98	62.77	59	117	3e-31	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1285221033	WP_100525327	98	63.83	60	116	4e-31	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1285180711	WP_100498714	98	59.57	56	115	1e-30	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1123824891	WP_074367871	98	62.77	59	115	1e-30	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1160782766	WP_079635177	99	62.11	59	115	1e-30	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1160826942	WP_079674033	98	58.51	55	114	2e-30	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1285185073	WP_100502407	98	61.7	58	114	3e-30	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1152469215	WP_078323610	97	62.11	59	114	5e-30	404941	HNH endonuclease [Mycobacterium salmoniphilum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium salmoniphilum
0	gi|29566022|ref|NP_817592.1|	97	738474210	WP_036424537	98	59.79	58	113	1e-29	36814	HNH endonuclease [Mycobacterium rhodesiae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium rhodesiae
0	gi|29566022|ref|NP_817592.1|	97	665966757	WP_031332718	98	62.79	54	112	3e-29	1384060	HNH endonuclease [Rhodococcus sp. P27]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. P27
0	gi|29566022|ref|NP_817592.1|	97	1102027047	WP_071573263	97	54.74	52	106	5e-27	1906332	HNH endonuclease [Corynebacterium sp. NML120713]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. NML120713
0	gi|29566022|ref|NP_817592.1|	97	648521476	WP_026213227	98	64.95	63	103	4e-26	46351	HNH endonuclease [Mycobacterium hassiacum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium hassiacum
0	gi|29566022|ref|NP_817592.1|	97	1158555308	WP_079083629	101	51.02	50	98.2	8e-24	1890	HNH endonuclease [Streptomyces antibioticus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces antibioticus
0	gi|29566022|ref|NP_817592.1|	97	1225143292	WP_093156082	112	55.56	55	98.2	9e-24	455193	HNH endonuclease [Saccharopolyspora antimicrobica]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora antimicrobica
0	gi|29566022|ref|NP_817592.1|	97	1158498560	WP_079030506	101	46.94	46	94	3e-22	1889	HNH endonuclease [Streptomyces ambofaciens]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces ambofaciens
0	gi|29566022|ref|NP_817592.1|	97	1162504915	WP_079868837	65	73.33	44	90.1	4e-21	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566022|ref|NP_817592.1|	97	1133820346	WP_076198970	98	49.48	48	90.9	4e-21	1834154	HNH endonuclease [Mycobacterium sp. GA-1841]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. GA-1841
0	gi|29566022|ref|NP_817592.1|	97	1121719679	WP_073925972	101	48.98	48	90.5	8e-21	1804758	HNH endonuclease [Streptomyces sp. CB03911]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CB03911
0	gi|29566022|ref|NP_817592.1|	97	740731424	WP_038516710	108	56.25	54	90.1	1e-20	208439	HNH endonuclease [Amycolatopsis japonica]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis japonica
0	gi|29566022|ref|NP_817592.1|	97	759884961	WP_043571622	99	49.46	46	89.7	1e-20	414996	HNH endonuclease [Actinopolyspora erythraea]	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales	Actinopolysporaceae	Actinopolyspora	Actinopolyspora erythraea
0	gi|29566022|ref|NP_817592.1|	97	1175905354	WP_082164352	97	51.58	49	89.4	2e-20	1807	HNH endonuclease [Mycobacterium obuense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium obuense
0	gi|29566022|ref|NP_817592.1|	97	1055158407	WP_066904585	97	55.17	48	89.4	2e-20	146021	HNH endonuclease [Mycobacterium houstonense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium houstonense
0	gi|29566022|ref|NP_817592.1|	97	737899587	WP_035865953	94	56.25	54	88.2	5e-20	81942	hypothetical protein [Kitasatospora cheerisanensis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora cheerisanensis
0	gi|29566022|ref|NP_817592.1|	97	1178610661	WP_083124268	117	51.04	49	85.1	1e-18	75922	HNH endonuclease [Mycobacterium tusciae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tusciae
0	gi|29566022|ref|NP_817592.1|	97	926316500	WP_053651379	101	50.5	51	84	3e-18	1415562	HNH endonuclease [Streptomyces sp. XY431]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. XY431
0	gi|29566022|ref|NP_817592.1|	97	648290334	WP_026071483	93	55.43	51	83.6	3e-18	1767	hypothetical protein [Mycobacterium intracellulare]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium intracellulare
0	gi|29566022|ref|NP_817592.1|	97	664459971	WP_030981214	101	43.56	44	83.6	3e-18	1463888	HNH endonuclease [Streptomyces sp. NRRL S-1813]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL S-1813
0	gi|29566022|ref|NP_817592.1|	97	1122262982	WP_073995815	101	45.45	45	81.6	2e-17	1871014	HNH endonuclease [Arcanobacterium urinimassiliense]	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium urinimassiliense
0	gi|29566022|ref|NP_817592.1|	97	948100915	WP_056759545	103	50.98	52	81.6	2e-17	1736484	HNH endonuclease [Terrabacter sp. Root181]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	Terrabacter sp. Root181
0	gi|29566022|ref|NP_817592.1|	97	493652180	WP_006603673	101	42.57	43	81.6	2e-17	114687	HNH endonuclease [Streptomyces auratus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces auratus
0	gi|29566022|ref|NP_817592.1|	97	662111285	WP_030066740	101	44.44	44	80.9	3e-17	68242	HNH endonuclease [Streptomyces natalensis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces natalensis
0	gi|29566022|ref|NP_817592.1|	97	496357466	WP_009066642	99	51.02	50	80.9	4e-17	591157	HNH endonuclease [Streptomyces sp. SPB78]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. SPB78
0	gi|29566022|ref|NP_817592.1|	97	759758490	WP_043469002	101	47.96	47	80.5	4e-17	1444769	HNH endonuclease [Kitasatospora sp. MBT66]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora sp. MBT66
0	gi|29566022|ref|NP_817592.1|	97	1179665480	WP_083404635	102	48.54	50	80.5	6e-17	2034	MULTISPECIES: HNH endonuclease [Curtobacterium]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	
0	gi|29566022|ref|NP_817592.1|	97	1178594834	WP_083109617	101	50.5	51	80.1	8e-17	553510	HNH endonuclease [Streptomyces gilvosporeus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces gilvosporeus
0	gi|29566022|ref|NP_817592.1|	97	1225816735	WP_093813930	101	42.57	43	79.7	1e-16	1883	MULTISPECIES: HNH endonuclease [Streptomyces]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
0	gi|29566022|ref|NP_817592.1|	97	662112528	WP_030067939	101	46.53	47	79.3	1e-16	68242	HNH endonuclease [Streptomyces natalensis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces natalensis
0	gi|29566022|ref|NP_817592.1|	97	648520044	WP_026211795	105	46.94	46	79.3	1e-16	203523	HNH endonuclease [Longispora albida]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Longispora	Longispora albida
0	gi|29566022|ref|NP_817592.1|	97	1158501217	WP_079033080	104	50.96	53	79.3	2e-16	58343	HNH endonuclease [Streptomyces canus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces canus
0	gi|29566022|ref|NP_817592.1|	97	1275827538	WP_099894344	104	48.04	49	79	2e-16	2035242	HNH endonuclease [Streptomyces sp. 61]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. 61
0	gi|29566022|ref|NP_817592.1|	97	1223050019	WP_091091407	99	47	47	78.2	3e-16	145857	HNH endonuclease [Micromonospora nigra]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora nigra
0	gi|29566022|ref|NP_817592.1|	97	1225614785	WP_093617860	99	51.55	50	78.2	3e-16	417292	HNH endonuclease [Streptomyces indicus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces indicus
0	gi|29566022|ref|NP_817592.1|	97	1169678467	WP_080516555	122	45.19	47	79	3e-16	168695	HNH endonuclease [Salinispora tropica]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora tropica
0	gi|29566022|ref|NP_817592.1|	97	827459931	WP_047219985	100	46.46	46	77.8	5e-16	558537	hypothetical protein [Delftia lacustris]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia lacustris
0	gi|29566022|ref|NP_817592.1|	97	1172294194	WP_080677473	122	45.19	47	78.6	5e-16	351187	HNH endonuclease [Salinispora pacifica]	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora pacifica
0	gi|29566022|ref|NP_817592.1|	97	1181048746	WP_084457690	101	52.13	49	77.8	6e-16	184756	HNH endonuclease [Nocardia caishijiensis]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia caishijiensis
0	gi|29566022|ref|NP_817592.1|	97	695864925	WP_032777757	101	42.86	42	77.8	6e-16	67351	HNH endonuclease [Streptomyces puniceus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces puniceus
0	gi|29566022|ref|NP_817592.1|	97	1246797561	WP_096382264	101	45.92	45	77	1e-15	708131	HNH endonuclease [Aurantimicrobium minutum]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Aurantimicrobium	Aurantimicrobium minutum
0	gi|29566022|ref|NP_817592.1|	97	1155045768	WP_078950807	104	48.54	50	77	1e-15	1938	HNH endonuclease [Streptomyces viridochromogenes]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces viridochromogenes
0	gi|29566022|ref|NP_817592.1|	97	1289012412	WP_100604012	101	46.53	47	76.6	1e-15	2020330	HNH endonuclease [Streptomyces sp. CB02959]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CB02959
