qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|38638610|ref|NP_944311.1|	144	1235695454	WP_094841365	143	41.84	59	106	6e-26	1416808	hypothetical protein [Bordetella genomosp. 11]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella genomosp. 11
0	gi|38638610|ref|NP_944311.1|	144	981290700	WP_059508547	143	37.23	51	100	1e-23	488732	hypothetical protein [Burkholderia diffusa]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia diffusa
0	gi|38638610|ref|NP_944311.1|	144	981888485	WP_060074394	143	37.5	51	100	2e-23	292	hypothetical protein [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|38638610|ref|NP_944311.1|	144	518040606	WP_019210814	143	42.34	58	100	2e-23	419257	hypothetical protein [Yersinia massiliensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia massiliensis
0	gi|38638610|ref|NP_944311.1|	144	902543180	WP_049610986	143	42.34	58	99.8	3e-23	419257	hypothetical protein [Yersinia massiliensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia massiliensis
0	gi|38638610|ref|NP_944311.1|	144	982176237	WP_060338866	144	37.96	52	99.8	3e-23	1503055	hypothetical protein [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|38638610|ref|NP_944311.1|	144	1070093211	WP_069707795	148	45.24	57	99.8	3e-23	158500	hypothetical protein [Novosphingobium resinovorum]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium resinovorum
0	gi|38638610|ref|NP_944311.1|	144	1055328633	WP_066993594	143	39.29	55	99.4	3e-23	68287	MULTISPECIES: hypothetical protein [Mesorhizobium]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	
0	gi|38638610|ref|NP_944311.1|	144	652908336	WP_027162333	143	40.71	57	98.6	7e-23	1040984	hypothetical protein [Mesorhizobium sp. WSM1293]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. WSM1293
0	gi|38638610|ref|NP_944311.1|	144	1055711909	WP_067328704	143	38.57	54	98.2	1e-22	68287	MULTISPECIES: hypothetical protein [Mesorhizobium]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	
