qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589893576|ref|YP_009009720.1|	554	1224187193	WP_092214824	557	50.29	258	510	9e-172	286	MULTISPECIES: hypothetical protein [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|589893576|ref|YP_009009720.1|	554	1024854165	WP_063509116	483	45.01	212	412	2e-134	59753	MULTISPECIES: PBSX family phage terminase large subunit [Alcanivorax]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	
0	gi|589893576|ref|YP_009009720.1|	554	1198269251	WP_086931600	482	42.62	202	365	3e-116	1737490	PBSX family phage terminase large subunit [Agarilytica rhodophyticola]	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Agarilytica	Agarilytica rhodophyticola
0	gi|589893576|ref|YP_009009720.1|	554	1175601905	WP_082131789	579	40.3	216	358	2e-112	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|589893576|ref|YP_009009720.1|	554	1180396493	WP_083915290	509	41.21	197	337	7e-105	396005	hypothetical protein [Gilvimarinus chinensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Gilvimarinus	Gilvimarinus chinensis
0	gi|589893576|ref|YP_009009720.1|	554	506354335	WP_015874054	469	33.6	167	246	1e-70	138072	PBSX family phage terminase large subunit [Candidatus Hamiltonella defensa]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Hamiltonella	Candidatus Hamiltonella defensa
0	gi|589893576|ref|YP_009009720.1|	554	1279561109	WP_100141757	469	33.4	166	244	4e-70	138072	PBSX family phage terminase large subunit [Candidatus Hamiltonella defensa]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Hamiltonella	Candidatus Hamiltonella defensa
0	gi|589893576|ref|YP_009009720.1|	554	1205094309	WP_087802182	491	34.74	173	244	7e-70	584	PBSX family phage terminase large subunit [Proteus mirabilis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis
0	gi|589893576|ref|YP_009009720.1|	554	657884721	WP_029589016	469	34	169	243	1e-69	138072	PBSX family phage terminase large subunit [Candidatus Hamiltonella defensa]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Hamiltonella	Candidatus Hamiltonella defensa
0	gi|589893576|ref|YP_009009720.1|	554	545282901	WP_021566251	470	34.92	176	242	3e-69	562	PBSX family phage terminase large subunit [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
