qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|388542660|ref|YP_006299865.1|	84	647643509	WP_025915523	85	44.05	37	76.3	8e-16	1349818	hypothetical protein [Herminiimonas sp. CN]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas	Herminiimonas sp. CN
0	gi|388542661|ref|YP_006299866.1|	88	737215402	WP_035200107	88	48.19	40	79.7	5e-17	85698	hypothetical protein [Achromobacter xylosoxidans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans
0	gi|388542661|ref|YP_006299866.1|	88	1333936967	WP_103035772	97	46.15	36	79.7	8e-17	266123	hypothetical protein [Castellaniella caeni]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Castellaniella	Castellaniella caeni
0	gi|388542661|ref|YP_006299866.1|	88	1177999859	WP_082886879	87	47.06	40	79	9e-17	72557	hypothetical protein [Achromobacter ruhlandii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter ruhlandii
0	gi|388542661|ref|YP_006299866.1|	88	1178517308	WP_083036935	87	44.71	38	75.9	2e-15	72557	hypothetical protein [Achromobacter ruhlandii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter ruhlandii
0	gi|388542661|ref|YP_006299866.1|	88	1055066759	WP_066816272	98	44.87	35	70.5	2e-13	40682	hypothetical protein [Sphingomonas mali]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas mali
0	gi|388542661|ref|YP_006299866.1|	88	1056219905	WP_067703316	114	41.56	32	70.1	4e-13	1603299	hypothetical protein [Erwinia sp. ErVv1]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia sp. ErVv1
0	gi|388542661|ref|YP_006299866.1|	88	1011963977	WP_062770386	107	42.86	33	68.9	1e-12	33052	hypothetical protein [Sphingopyxis terrae]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis terrae
0	gi|388542661|ref|YP_006299866.1|	88	645051781	WP_025423062	116	40.26	31	68.9	1e-12	1239307	hypothetical protein [Sodalis praecaptivus]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Sodalis	Sodalis praecaptivus
0	gi|388542661|ref|YP_006299866.1|	88	493263766	WP_006225465	87	45.57	36	68.2	2e-12	72556	hypothetical protein [Achromobacter piechaudii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter piechaudii
0	gi|388542661|ref|YP_006299866.1|	88	1011935203	WP_062743686	115	40.26	31	67.8	4e-12	55211	hypothetical protein [Erwinia persicina]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia persicina
0	gi|388542661|ref|YP_006299866.1|	88	837742139	WP_047866766	81	43.75	35	66.6	5e-12	13689	hypothetical protein [Sphingomonas paucimobilis]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas paucimobilis
0	gi|388542661|ref|YP_006299866.1|	88	502966750	WP_013201726	116	38.96	30	66.6	8e-12	182337	hypothetical protein [Erwinia billingiae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia billingiae
0	gi|388542661|ref|YP_006299866.1|	88	891173406	WP_048916345	115	35.8	29	65.9	2e-11	1928656	hypothetical protein [Erwinia sp. OLMDLW33]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia sp. OLMDLW33
