qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|125999961|ref|YP_001039632.1|	152	1141016760	WP_076854984	168	51.61	32	69.7	7e-12	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|125999961|ref|YP_001039632.1|	152	750547015	WP_040828884	168	37.37	37	68.9	1e-11	282685	hypothetical protein [Nocardia jiangxiensis]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia jiangxiensis
0	gi|125999961|ref|YP_001039632.1|	152	1180307940	WP_083826743	150	40	44	67.4	4e-11	796942	hypothetical protein [Stomatobaculum longum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Stomatobaculum	Stomatobaculum longum
0	gi|125999961|ref|YP_001039632.1|	152	835725666	WP_047631192	152	60.87	28	67.4	4e-11	562	HNH endonuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|125999967|ref|YP_001039638.1|	313	890832371	WP_048901935	307	43.51	134	221	8e-66	633	hypothetical protein [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|125999968|ref|YP_001039639.1|	885	890832370	WP_048901934	875	60.2	531	1121	0	633	hypothetical protein [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|125999968|ref|YP_001039639.1|	885	914203413	WP_050519959	822	31.21	279	414	6e-127	1077947	hypothetical protein [Pseudorhodobacter antarcticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	Pseudorhodobacter antarcticus
0	gi|125999968|ref|YP_001039639.1|	885	919473079	WP_052832939	814	30.93	275	409	4e-125	1619232	hypothetical protein [Bradyrhizobium sp. LTSP885]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
0	gi|125999968|ref|YP_001039639.1|	885	1173203734	WP_081093493	833	31.54	282	405	2e-123	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|125999968|ref|YP_001039639.1|	885	951473847	WP_057845405	807	30.78	273	402	2e-122	1300035	hypothetical protein [Bradyrhizobium retamae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium retamae
0	gi|125999968|ref|YP_001039639.1|	885	1200005700	WP_087473435	817	31.68	287	396	5e-120	96242	hypothetical protein [Nitrospira cf. moscoviensis SBR1015]	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira cf. moscoviensis SBR1015
0	gi|125999968|ref|YP_001039639.1|	885	501122992	WP_012172130	841	30.04	268	396	7e-120	7	DNA-directed RNA polymerase [Azorhizobium caulinodans]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium	Azorhizobium caulinodans
0	gi|125999968|ref|YP_001039639.1|	885	914414842	WP_050589256	829	31.69	282	395	1e-119	1287281	hypothetical protein [Mesorhizobium sp. LNJC405B00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC405B00
0	gi|125999968|ref|YP_001039639.1|	885	835593684	WP_047575736	847	31.19	281	392	2e-118	1339244	hypothetical protein [Methylobacterium sp. ZNC0032]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. ZNC0032
0	gi|125999968|ref|YP_001039639.1|	885	704402543	WP_033463140	821	30.1	273	391	3e-118	518	DNA-directed RNA polymerase [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|125999968|ref|YP_001039639.1|	885	1119270863	WP_072249625	848	30.06	272	389	4e-117	363953	hypothetical protein [Chelatococcus sambhunathii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Chelatococcaceae	Chelatococcus	Chelatococcus sambhunathii
0	gi|125999968|ref|YP_001039639.1|	885	516836734	WP_018123401	854	30.13	270	388	1e-116	63560	hypothetical protein [Desulfovibrio oxyclinae]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio oxyclinae
0	gi|125999968|ref|YP_001039639.1|	885	563544253	WP_023750232	822	31.57	281	387	1e-116	1287268	hypothetical protein [Mesorhizobium sp. LNJC384A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC384A00
