qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|254854748|ref|YP_003084353.1|	166	820948826	WP_046811053	164	39.72	56	105	4e-25	1590	hypothetical protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|254854748|ref|YP_003084353.1|	166	1016516039	WP_063096780	164	39.01	55	102	7e-24	1590	hypothetical protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|254854748|ref|YP_003084353.1|	166	983063261	WP_060417571	167	37.59	53	100	7e-23	1590	hypothetical protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|254854748|ref|YP_003084353.1|	166	489738693	WP_003642788	167	37.59	53	100	7e-23	1578	MULTISPECIES: hypothetical protein [Lactobacillus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|254854748|ref|YP_003084353.1|	166	1027814461	WP_063721196	167	37.59	53	99.4	1e-22	1590	hypothetical protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|23455778|ref|NP_695142.1|	88	1143563734	WP_077143406	88	98.86	87	174	5e-54	1590	XRE family transcriptional regulator [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|23455778|ref|NP_695142.1|	88	1119636934	WP_072557399	88	98.86	87	174	8e-54	1590	XRE family transcriptional regulator [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|23455778|ref|NP_695142.1|	88	820948829	WP_046811056	88	98.86	87	173	2e-53	1578	MULTISPECIES: XRE family transcriptional regulator [Lactobacillus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|23455778|ref|NP_695142.1|	88	1024265553	WP_063489236	88	97.73	86	172	3e-53	1590	XRE family transcriptional regulator [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|23455778|ref|NP_695142.1|	88	925174605	WP_053566662	88	97.73	86	171	1e-52	1590	XRE family transcriptional regulator [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|23455778|ref|NP_695142.1|	88	1140798100	WP_076657642	88	95.45	84	169	5e-52	1590	XRE family transcriptional regulator [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|23455778|ref|NP_695142.1|	88	953530094	WP_058011821	88	96.59	85	169	5e-52	1590	XRE family transcriptional regulator [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
