qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|48696639|ref|YP_024418.1|	568	1281960691	WP_100320561	457	36.56	166	270	1e-79	2032577	hypothetical protein [Xanthomonadaceae bacterium NML95-0200]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		Xanthomonadaceae bacterium NML95-0200
0	gi|48696639|ref|YP_024418.1|	568	1281957311	WP_100317257	457	36.56	166	269	3e-79	2032580	hypothetical protein [Xanthomonadaceae bacterium NML75-0749]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		Xanthomonadaceae bacterium NML75-0749
0	gi|48696639|ref|YP_024418.1|	568	1011335782	WP_062249969	448	35.31	161	249	7e-72	178900	hypothetical protein [Acetobacter cerevisiae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter cerevisiae
0	gi|48696639|ref|YP_024418.1|	568	1011555484	WP_062448095	448	35.96	164	248	9e-72	442	hypothetical protein [Gluconobacter oxydans]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans
0	gi|48696639|ref|YP_024418.1|	568	1032697154	WP_064274543	448	35.16	160	248	1e-71	38307	hypothetical protein [Gluconobacter cerinus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter cerinus
0	gi|48696639|ref|YP_024418.1|	568	1011574102	WP_062454712	448	35.53	162	247	3e-71	442	hypothetical protein [Gluconobacter oxydans]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans
0	gi|48696639|ref|YP_024418.1|	568	1325958969	WP_101828346	390	34.82	156	243	3e-70	2060066	hypothetical protein [Yersiniaceae bacterium 2016Iso3]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae		Yersiniaceae bacterium 2016Iso3
0	gi|48696639|ref|YP_024418.1|	568	1011660742	WP_062509919	448	35.23	167	244	5e-70	586239	hypothetical protein [Gluconobacter roseus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter roseus
0	gi|48696639|ref|YP_024418.1|	568	822047684	WP_046901037	448	35.16	160	244	6e-70	442	hypothetical protein [Gluconobacter oxydans]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans
0	gi|48696639|ref|YP_024418.1|	568	497663715	WP_009977899	490	31.45	167	244	9e-70	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|48696639|ref|YP_024418.1|	568	913695118	WP_050450832	490	31.26	166	244	1e-69	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|48696639|ref|YP_024418.1|	568	915760607	WP_050883493	490	31.26	166	244	1e-69	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|48696639|ref|YP_024418.1|	568	925174196	WP_053566255	490	31.26	166	244	1e-69	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|48696639|ref|YP_024418.1|	568	500179137	WP_011853562	490	31.45	167	243	2e-69	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|48696639|ref|YP_024418.1|	568	981828381	WP_060017684	490	31.64	168	243	2e-69	1503054	hypothetical protein [Burkholderia stagnalis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia stagnalis
0	gi|48696639|ref|YP_024418.1|	568	764919244	WP_044491117	490	31.45	167	243	2e-69	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|48696639|ref|YP_024418.1|	568	828144553	WP_047236936	484	32.7	172	240	2e-68	535	MULTISPECIES: hypothetical protein [Chromobacterium]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	
0	gi|48696639|ref|YP_024418.1|	568	981670632	WP_059867876	503	31.45	167	241	2e-68	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|48696639|ref|YP_024418.1|	568	982513137	WP_060377240	490	32.51	157	236	9e-67	292	hypothetical protein [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|48696639|ref|YP_024418.1|	568	1236983822	WP_095126672	447	33.05	154	233	4e-66	573	hypothetical protein, partial [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|48696639|ref|YP_024418.1|	568	490304213	WP_004199513	464	33.05	154	233	6e-66	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|48696639|ref|YP_024418.1|	568	1172473431	WP_080847120	464	33.05	154	230	1e-64	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|48696639|ref|YP_024418.1|	568	1197582633	WP_086618065	464	32.83	153	230	1e-64	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|48696639|ref|YP_024418.1|	568	639444055	WP_024623097	464	32.83	153	230	1e-64	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|48696639|ref|YP_024418.1|	568	1031817208	WP_064145707	464	33.26	155	229	3e-64	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|48696639|ref|YP_024418.1|	568	1269679486	WP_099144243	464	31.97	164	229	3e-64	54291	hypothetical protein [Raoultella ornithinolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
0	gi|48696639|ref|YP_024418.1|	568	1054724215	WP_066489729	439	31.67	159	228	3e-64	1385592	hypothetical protein [Burkholderia sp. BDU8]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU8
0	gi|48696639|ref|YP_024418.1|	568	1223876396	WP_091908968	456	33.12	157	228	5e-64	1770053	hypothetical protein [Burkholderia sp. JS23]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. JS23
0	gi|48696639|ref|YP_024418.1|	568	1177584712	WP_082720839	439	31.47	158	228	5e-64	1637860	hypothetical protein [Burkholderia sp. ABCPW 14]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. ABCPW 14
