qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|115304274|ref|YP_762573.1|	132	806458729	WP_046124801	132	54.96	72	145	1e-41	1358	hypothetical protein [Lactococcus lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
0	gi|115304274|ref|YP_762573.1|	132	760052419	WP_043735392	131	54.96	72	142	5e-40	1358	hypothetical protein [Lactococcus lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
0	gi|115304274|ref|YP_762573.1|	132	960319079	WP_058224670	131	54.96	72	141	7e-40	1358	hypothetical protein [Lactococcus lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
0	gi|115304274|ref|YP_762573.1|	132	960318986	WP_058224601	131	54.2	71	140	1e-39	1358	hypothetical protein [Lactococcus lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
0	gi|115304274|ref|YP_762573.1|	132	1238692733	WP_095345452	131	54.2	71	140	2e-39	1358	hypothetical protein [Lactococcus lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
0	gi|115304274|ref|YP_762573.1|	132	1238697353	WP_095348642	131	54.2	71	140	2e-39	1358	hypothetical protein [Lactococcus lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
0	gi|115304274|ref|YP_762573.1|	132	757469977	WP_042748678	131	54.2	71	140	2e-39	1358	hypothetical protein [Lactococcus lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
0	gi|115304274|ref|YP_762573.1|	132	1189196792	WP_085623839	131	54.2	71	140	3e-39	1358	hypothetical protein [Lactococcus lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
0	gi|115304274|ref|YP_762573.1|	132	544736505	WP_021165560	132	59.54	78	140	3e-39	1358	hypothetical protein [Lactococcus lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
0	gi|115304274|ref|YP_762573.1|	132	489224426	WP_003132838	131	54.2	71	140	3e-39	1358	hypothetical protein [Lactococcus lactis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
