qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|372450036|ref|YP_005087256.1|	107	1255286570	WP_097388367	106	38.68	41	72.4	9e-14	1727214	hypothetical protein [Rhodococcus sp. H-CA8f]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. H-CA8f
0	gi|372450050|ref|YP_005087270.1|	349	1255286725	WP_097388522	350	69.91	244	520	0	1727214	DUF932 domain-containing protein [Rhodococcus sp. H-CA8f]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. H-CA8f
0	gi|372450050|ref|YP_005087270.1|	349	1011377015	WP_062289780	356	52.25	186	345	6e-113	1638981	DUF932 domain-containing protein [Lysinimicrobium flavum]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Demequinaceae	Lysinimicrobium	Lysinimicrobium flavum
0	gi|372450050|ref|YP_005087270.1|	349	1183742098	WP_084965914	342	50.86	177	343	2e-112	1088767	DUF932 domain-containing protein [Thermoactinospora rubra]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Thermoactinospora	Thermoactinospora rubra
0	gi|372450050|ref|YP_005087270.1|	349	521295901	WP_020460169	335	51.72	180	343	2e-112	298653	DUF932 domain-containing protein [Frankia sp. EAN1pec]	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia sp. EAN1pec
0	gi|372450050|ref|YP_005087270.1|	349	943655836	WP_055483619	341	51.14	179	342	3e-112	718014	DUF932 domain-containing protein [Microbispora sp. GMKU363]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Microbispora	Microbispora sp. GMKU363
0	gi|372450050|ref|YP_005087270.1|	349	943651506	WP_055479289	342	51.14	179	341	8e-112	718014	DUF932 domain-containing protein [Microbispora sp. GMKU363]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Microbispora	Microbispora sp. GMKU363
0	gi|372450050|ref|YP_005087270.1|	349	499755425	WP_011436159	335	51.44	179	340	2e-111	1854	MULTISPECIES: DUF932 domain-containing protein [Frankia]	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	
0	gi|372450050|ref|YP_005087270.1|	349	517469998	WP_018640698	334	52.01	181	340	2e-111	222534	DUF932 domain-containing protein [Frankia elaeagni]	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia elaeagni
0	gi|372450050|ref|YP_005087270.1|	349	937157838	WP_054564751	335	51.44	179	338	7e-111	269536	DUF932 domain-containing protein [Frankia sp. R43]	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia sp. R43
0	gi|372450050|ref|YP_005087270.1|	349	1001693934	WP_061254063	341	50	175	338	9e-111	1996	DUF932 domain-containing protein [Microtetraspora glauca]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Microtetraspora	Microtetraspora glauca
0	gi|372450050|ref|YP_005087270.1|	349	1223247699	WP_091286962	334	51.44	179	337	4e-110	795642	DUF932 domain-containing protein [Frankia sp. G2]	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia sp. G2
0	gi|372450050|ref|YP_005087270.1|	349	1140989181	WP_076833356	334	52.82	178	336	7e-110	1745382	DUF932 domain-containing protein [Frankia sp. CcI49]	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia sp. CcI49
0	gi|372450050|ref|YP_005087270.1|	349	1183796089	WP_085001862	334	51.44	179	335	2e-109	683313	DUF932 domain-containing protein [Frankia sp. Cg70.9]	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia sp. Cg70.9
0	gi|372450050|ref|YP_005087270.1|	349	1134197615	WP_076439914	342	48.85	170	335	3e-109	58117	DUF932 domain-containing protein [Microbispora rosea]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Microbispora	Microbispora rosea
0	gi|372450050|ref|YP_005087270.1|	349	1159766838	WP_079313209	340	50	174	334	4e-109	1652100	DUF932 domain-containing protein [Microbispora sp. GKU 823]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Microbispora	Microbispora sp. GKU 823
