qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|81343931|ref|YP_398947.1|	87	980976757	WP_059395681	117	45	36	70.9	2e-13	303	DUF4884 domain-containing protein [Pseudomonas putida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0	gi|81343931|ref|YP_398947.1|	87	510817666	WP_016191202	89	45	36	68.2	1e-12	65700	DUF4884 domain-containing protein [Erwinia tracheiphila]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia tracheiphila
0	gi|81343931|ref|YP_398947.1|	87	1125701043	WP_075044553	117	50	31	64.3	6e-11	1916993	DUF4884 domain-containing protein [Pseudomonas sp. DRA525]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. DRA525
0	gi|81343931|ref|YP_398947.1|	87	740623457	WP_038408969	117	50	31	63.9	8e-11	303	DUF4884 domain-containing protein [Pseudomonas putida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0	gi|81343932|ref|YP_398948.1|	179	829934304	WP_047366673	173	43.24	64	115	9e-29	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|81343932|ref|YP_398948.1|	179	1021265732	WP_063292395	150	34.46	51	77.8	1e-14	989436	hypothetical protein [Pseudovibrio sp. Ad5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudovibrio	Pseudovibrio sp. Ad5
0	gi|81343932|ref|YP_398948.1|	179	746394418	WP_039437062	145	33.58	45	77.8	1e-14	29495	hypothetical protein [Vibrio navarrensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio navarrensis
0	gi|81343932|ref|YP_398948.1|	179	1124547151	WP_074830508	144	33.33	48	76.6	3e-14	722472	hypothetical protein [Bradyrhizobium lablabi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium lablabi
0	gi|81343932|ref|YP_398948.1|	179	557818509	WP_023447862	146	30.41	45	76.3	4e-14	1282361	hypothetical protein [Asticcacaulis sp. AC402]	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis sp. AC402
0	gi|81343932|ref|YP_398948.1|	179	1100920404	WP_071444882	146	30.5	43	76.3	4e-14	546	hypothetical protein [Citrobacter freundii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii
0	gi|81343932|ref|YP_398948.1|	179	949584168	WP_057015845	150	34	51	75.1	1e-13	280333	hypothetical protein [Bradyrhizobium pachyrhizi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium pachyrhizi
0	gi|81343932|ref|YP_398948.1|	179	1022683981	WP_063439210	146	29.86	43	75.1	1e-13	61645	hypothetical protein [Enterobacter asburiae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae
