qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|514051319|ref|YP_008125747.1|	129	1183837955	WP_085034643	126	47.24	60	124	3e-33	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|514051319|ref|YP_008125747.1|	129	1183818043	WP_085017262	129	50	64	122	1e-32	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|514051320|ref|YP_008125748.1|	270	1183837957	WP_085034645	270	55.97	150	325	6e-108	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|514051320|ref|YP_008125748.1|	270	1183818041	WP_085017260	270	52.99	142	315	6e-104	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|514051320|ref|YP_008125748.1|	270	1011814773	WP_062634393	267	23.6	59	81.3	1e-14	1777142	hypothetical protein [Caballeronia arationis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	Caballeronia arationis
0	gi|514051325|ref|YP_008125753.1|	167	1183837915	WP_085034603	169	38.32	64	139	4e-38	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|514051325|ref|YP_008125753.1|	167	1183818035	WP_085017254	169	34.36	56	110	5e-27	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|514051329|ref|YP_008125757.1|	134	1183818027	WP_085017246	136	46.21	61	127	3e-34	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|514051332|ref|YP_008125760.1|	733	1183818025	WP_085017244	759	69.08	505	1095	0	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|514051332|ref|YP_008125760.1|	733	1011814797	WP_062634417	722	33.7	247	426	4e-134	1777142	hypothetical protein [Caballeronia arationis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	Caballeronia arationis
