qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|281416281|ref|YP_003347521.1|	334	913751339	WP_050483255	218	42.6	72	130	5e-32	518	hypothetical protein [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|281416282|ref|YP_003347522.1|	906	447015099	WP_001092355	883	73.43	666	1389	0	543	MULTISPECIES: DNA-dependent RNA polymerase [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|281416282|ref|YP_003347522.1|	906	1173339049	WP_081195781	883	73.32	665	1385	0	562	DNA-dependent RNA polymerase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|281416282|ref|YP_003347522.1|	906	1122786420	WP_074146407	893	58.48	531	1076	0	1496	DNA-dependent RNA polymerase [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|281416282|ref|YP_003347522.1|	906	1200056155	WP_087502366	889	55.91	511	1026	0	1986221	DNA-dependent RNA polymerase [Pseudomonas sp. SID14000]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. SID14000
0	gi|281416282|ref|YP_003347522.1|	906	916815034	WP_051422090	897	55.14	504	994	0	1284392	DNA polymerase [Pseudomonas sp. FH1]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. FH1
0	gi|281416282|ref|YP_003347522.1|	906	929035192	WP_054058892	889	53.8	489	948	0	50340	DNA polymerase [Pseudomonas fuscovaginae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fuscovaginae
0	gi|281416282|ref|YP_003347522.1|	906	1332593372	WP_102643131	892	53.71	492	935	0	286	MULTISPECIES: DNA-dependent RNA polymerase [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|281416282|ref|YP_003347522.1|	906	915715873	WP_050876637	875	46.46	420	830	0	630	hypothetical protein [Yersinia enterocolitica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica
0	gi|281416282|ref|YP_003347522.1|	906	1123902948	WP_074424935	873	45.87	417	822	0	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|281416282|ref|YP_003347522.1|	906	1327500771	WP_101995056	875	45.65	415	821	0	1463165	DNA-dependent RNA polymerase [Klebsiella quasipneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella quasipneumoniae
0	gi|281416282|ref|YP_003347522.1|	906	1293381568	WP_100663144	875	45.76	415	820	0	54291	DNA-dependent RNA polymerase [Raoultella ornithinolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
0	gi|281416282|ref|YP_003347522.1|	906	1189160538	WP_085589309	885	47.96	435	819	0	1981745	DNA-dependent RNA polymerase [Pseudomonas sp. B14(2017)]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. B14(2017)
0	gi|281416282|ref|YP_003347522.1|	906	881010504	WP_048731271	619	61.55	381	795	0	1674920	DNA polymerase, partial [Pseudomonas sp. KG01]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. KG01
0	gi|281416282|ref|YP_003347522.1|	906	727229488	WP_033690360	852	37.77	338	566	0	286	MULTISPECIES: DNA polymerase [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|281416282|ref|YP_003347522.1|	906	499255699	WP_010953239	852	37.54	336	561	0	303;160488	DNA-dependent RNA polymerase [Pseudomonas putida]	NA	NA	NA	NA	NA	NA	NA
0	gi|281416282|ref|YP_003347522.1|	906	746586166	WP_039614304	852	37.54	336	561	0	1586081	DNA polymerase [Pseudomonas sp. C5pp]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. C5pp
0	gi|281416282|ref|YP_003347522.1|	906	1035782140	WP_064590845	852	37.39	335	561	0	303	DNA-dependent RNA polymerase [Pseudomonas putida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0	gi|281416282|ref|YP_003347522.1|	906	1205053125	WP_087768217	625	44.31	288	559	0	28152	hypothetical protein [Yersinia kristensenii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia kristensenii
0	gi|281416282|ref|YP_003347522.1|	906	655283301	WP_028692664	852	37.32	334	558	0	78327	DNA polymerase [Pseudomonas mosselii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mosselii
0	gi|281416282|ref|YP_003347522.1|	906	1174867126	WP_081544385	879	36.49	331	549	1e-177	394935	hypothetical protein [Chromobacterium haemolyticum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum
0	gi|281416282|ref|YP_003347522.1|	906	1174848427	WP_081528120	873	37.33	336	543	3e-175	536	hypothetical protein [Chromobacterium violaceum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
0	gi|281416282|ref|YP_003347522.1|	906	983338245	WP_060519026	804	37.35	316	524	9e-169	1661049	DNA polymerase, partial [Pseudomonas sp. NBRC 111134]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. NBRC 111134
0	gi|281416282|ref|YP_003347522.1|	906	917302539	WP_051909251	864	34.96	315	510	8e-163	399	hypothetical protein [Neorhizobium galegae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	Neorhizobium galegae
0	gi|281416282|ref|YP_003347522.1|	906	499274058	WP_010971451	863	34.94	311	498	3e-158	176299;1183400	MULTISPECIES: DNA-directed RNA polymerase [Agrobacterium tumefaciens complex]	NA	NA	NA	NA	NA	NA	NA
0	gi|281416282|ref|YP_003347522.1|	906	1046588228	WP_065661133	858	34.98	311	494	2e-156	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|281416282|ref|YP_003347522.1|	906	1293238461	WP_100632572	841	38.3	306	493	2e-156	2056231	hypothetical protein [Pseudomonas sp. JJ3]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. JJ3
0	gi|281416282|ref|YP_003347522.1|	906	1119270863	WP_072249625	848	35.11	310	490	3e-155	363953	hypothetical protein [Chelatococcus sambhunathii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Chelatococcaceae	Chelatococcus	Chelatococcus sambhunathii
0	gi|281416282|ref|YP_003347522.1|	906	517698094	WP_018868302	848	35.34	317	489	5e-155	106633	MULTISPECIES: hypothetical protein [Thioalkalivibrio]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	
0	gi|281416282|ref|YP_003347522.1|	906	1189728177	WP_085777945	858	35.16	320	489	6e-155	1981173	hypothetical protein [Rhizobium sp. NXC14]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. NXC14
0	gi|281416282|ref|YP_003347522.1|	906	518236011	WP_019406219	889	34.05	316	488	5e-154	316	hypothetical protein [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|281416282|ref|YP_003347522.1|	906	1055983620	WP_067516854	840	35.26	281	476	6e-150	1698521	hypothetical protein [Endozoicomonas ascidiicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonaceae	Endozoicomonas	Endozoicomonas ascidiicola
0	gi|281416282|ref|YP_003347522.1|	906	1224567306	WP_092587255	858	34.18	311	475	2e-149	158890	hypothetical protein [Rhizobium loessense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium loessense
0	gi|281416282|ref|YP_003347522.1|	906	516836734	WP_018123401	854	33.48	302	474	3e-149	63560	hypothetical protein [Desulfovibrio oxyclinae]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio oxyclinae
0	gi|281416282|ref|YP_003347522.1|	906	738613736	WP_036524042	915	32.62	306	475	1e-148	1545442	hypothetical protein [Nitrincola sp. A-D6]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Nitrincola	Nitrincola sp. A-D6
0	gi|281416282|ref|YP_003347522.1|	906	835593684	WP_047575736	847	34.08	306	472	2e-148	1339244	hypothetical protein [Methylobacterium sp. ZNC0032]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. ZNC0032
0	gi|281416282|ref|YP_003347522.1|	906	501122992	WP_012172130	841	35.14	312	471	4e-148	7	DNA-directed RNA polymerase [Azorhizobium caulinodans]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium	Azorhizobium caulinodans
0	gi|281416282|ref|YP_003347522.1|	906	1173203734	WP_081093493	833	34.8	308	469	2e-147	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|281416282|ref|YP_003347522.1|	906	914414842	WP_050589256	829	35.78	283	461	1e-144	1287281	hypothetical protein [Mesorhizobium sp. LNJC405B00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC405B00
0	gi|281416282|ref|YP_003347522.1|	906	1160659771	WP_079521033	807	35.23	316	459	7e-144	1283288	T3/T7 RNA polymerase [Luteibacter sp. 22Crub2.1]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	Luteibacter sp. 22Crub2.1
0	gi|281416282|ref|YP_003347522.1|	906	1200005700	WP_087473435	817	34.65	272	457	6e-143	96242	hypothetical protein [Nitrospira cf. moscoviensis SBR1015]	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira cf. moscoviensis SBR1015
0	gi|281416282|ref|YP_003347522.1|	906	1183828012	WP_085025222	839	32.36	287	454	1e-141	1708715	hypothetical protein [Ensifer aridi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer aridi
0	gi|281416282|ref|YP_003347522.1|	906	1159279330	WP_079211872	825	33.83	296	451	8e-141	571256	hypothetical protein [Ochrobactrum pituitosum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum pituitosum
0	gi|281416282|ref|YP_003347522.1|	906	1154212266	WP_078584946	806	34.46	306	448	1e-139	53413	T3/T7 RNA polymerase [Xanthomonas axonopodis]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas axonopodis
0	gi|281416282|ref|YP_003347522.1|	906	1046556668	WP_065656081	837	32.08	291	448	2e-139	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|281416282|ref|YP_003347522.1|	906	515431644	WP_016904682	806	34.68	308	447	2e-139	56448	T3/T7 RNA polymerase [Xanthomonas arboricola]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas arboricola
0	gi|281416282|ref|YP_003347522.1|	906	1258290714	WP_097587424	843	33.48	297	447	6e-139	380	hypothetical protein [Sinorhizobium fredii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii
0	gi|281416282|ref|YP_003347522.1|	906	1154142384	WP_078517587	806	34.46	306	446	1e-138	338	MULTISPECIES: T3/T7 RNA polymerase [Xanthomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	
0	gi|281416282|ref|YP_003347522.1|	906	1154188615	WP_078562401	806	34.46	306	445	1e-138	53413	T3/T7 RNA polymerase [Xanthomonas axonopodis]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas axonopodis
0	gi|281416282|ref|YP_003347522.1|	906	1325903982	WP_101777987	842	34.04	303	446	2e-138	110321	hypothetical protein [Sinorhizobium medicae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium medicae
0	gi|281416282|ref|YP_003347522.1|	906	1172265321	WP_080654660	842	33.93	302	446	2e-138	382	hypothetical protein [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|281416282|ref|YP_003347522.1|	906	491554832	WP_005412423	811	37.41	297	443	9e-138	40323	MULTISPECIES: DNA-directed RNA polymerase [Stenotrophomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	
0	gi|281416282|ref|YP_003347522.1|	906	1242662278	WP_095788201	830	33.19	299	443	2e-137	2029411	DNA-dependent RNA polymerase [Mesorhizobium sp. WSM4312]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. WSM4312
0	gi|281416282|ref|YP_003347522.1|	906	758873022	WP_043033718	811	37.41	297	442	2e-137	40324	T3/T7 RNA polymerase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|281416282|ref|YP_003347522.1|	906	1001550989	WP_061201470	811	37.28	296	442	3e-137	40324	T3/T7 RNA polymerase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
