qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|170676277|ref|YP_001742038.1|	148	1160624011	WP_079485972	141	39.16	56	104	4e-25	1882791	hypothetical protein [Burkholderia sp. CF099]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. CF099
0	gi|170676277|ref|YP_001742038.1|	148	494327804	WP_007181663	144	35.81	53	96.3	6e-22	243261	hypothetical protein [Burkholderia sp. Ch1-1]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. Ch1-1
0	gi|170676277|ref|YP_001742038.1|	148	1011049495	WP_061999686	144	37.67	55	95.9	8e-22	1795874	hypothetical protein [Burkholderia sp. PAMC 28687]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. PAMC 28687
0	gi|170676277|ref|YP_001742038.1|	148	654301569	WP_027815210	144	33.56	49	90.9	8e-20	765414	hypothetical protein [Paraburkholderia bannensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia bannensis
0	gi|170676277|ref|YP_001742038.1|	148	506356373	WP_015876092	147	37.59	53	89.7	2e-19	337	hypothetical protein [Burkholderia glumae]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae
0	gi|170676277|ref|YP_001742038.1|	148	655006773	WP_028455902	141	35.77	44	84	3e-17	1121276	hypothetical protein [Chitinilyticum litopenaei]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitinilyticum	Chitinilyticum litopenaei
0	gi|170676277|ref|YP_001742038.1|	148	1061935836	WP_069241934	144	38.19	55	78.2	4e-15	488446	hypothetical protein [Burkholderia latens]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia latens
0	gi|170676277|ref|YP_001742038.1|	148	981781865	WP_059973549	149	37.24	54	77.4	9e-15	60550	hypothetical protein [Burkholderia pyrrocinia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pyrrocinia
0	gi|170676277|ref|YP_001742038.1|	148	981897126	WP_060082099	144	39.16	56	77	1e-14	60552	hypothetical protein [Burkholderia vietnamiensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis
0	gi|170676277|ref|YP_001742038.1|	148	1169292668	WP_080498003	144	38.46	55	76.6	1e-14	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|170676277|ref|YP_001742038.1|	148	915760564	WP_050883450	144	37.76	54	74.3	9e-14	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|170676277|ref|YP_001742038.1|	148	981743807	WP_059937150	144	36.81	53	73.6	2e-13	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|170676277|ref|YP_001742038.1|	148	981919934	WP_060103044	144	36.11	52	71.2	1e-12	1503055	hypothetical protein [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|170676277|ref|YP_001742038.1|	148	982128747	WP_060295478	144	35.66	51	71.2	1e-12	1503055	hypothetical protein [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|170676277|ref|YP_001742038.1|	148	829936940	WP_047367174	173	31.25	55	71.2	2e-12	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|170676277|ref|YP_001742038.1|	148	983014467	WP_060410773	144	36.36	52	70.5	2e-12	292	hypothetical protein [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|170676277|ref|YP_001742038.1|	148	981799442	WP_059990029	144	35.66	51	70.5	3e-12	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|170676278|ref|YP_001742039.1|	474	981781872	WP_059973556	488	44.65	217	416	5e-137	60550	PBSX family phage terminase large subunit [Burkholderia pyrrocinia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pyrrocinia
0	gi|170676278|ref|YP_001742039.1|	474	506356374	WP_015876093	489	42.48	209	410	8e-135	337	PBSX family phage terminase large subunit [Burkholderia glumae]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae
0	gi|170676278|ref|YP_001742039.1|	474	981897094	WP_060082067	488	43.99	216	409	2e-134	60552	PBSX family phage terminase large subunit [Burkholderia vietnamiensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis
0	gi|170676278|ref|YP_001742039.1|	474	982128749	WP_060295480	488	43.42	211	409	4e-134	1503055	PBSX family phage terminase large subunit [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|170676278|ref|YP_001742039.1|	474	981743649	WP_059936992	488	43.42	211	408	5e-134	101571	PBSX family phage terminase large subunit [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|170676278|ref|YP_001742039.1|	474	981919933	WP_060103043	488	43.21	210	406	3e-133	1503055	PBSX family phage terminase large subunit [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|170676278|ref|YP_001742039.1|	474	981799444	WP_059990031	488	43.53	212	404	1e-132	101571	PBSX family phage terminase large subunit [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|170676278|ref|YP_001742039.1|	474	982077070	WP_060247945	488	43.53	212	404	2e-132	101571	PBSX family phage terminase large subunit [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
