qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589890643|ref|YP_009006498.1|	175	1170088894	WP_080520507	175	33.58	45	89	2e-18	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|589890643|ref|YP_009006498.1|	175	1170089122	WP_080520735	159	38.6	44	71.6	2e-12	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|589890643|ref|YP_009006498.1|	175	919473069	WP_052832935	180	32.87	47	71.6	3e-12	1619232	hypothetical protein [Bradyrhizobium sp. LTSP885]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
0	gi|589890643|ref|YP_009006498.1|	175	982122214	WP_060289690	155	37.04	50	67.8	5e-11	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|589890643|ref|YP_009006498.1|	175	981643428	WP_059842369	158	37.04	50	67.8	5e-11	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|589890657|ref|YP_009006512.1|	445	1170089180	WP_080520793	401	31.33	125	200	3e-55	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|589890657|ref|YP_009006512.1|	445	920134224	WP_052954289	412	28.71	122	179	3e-47	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|589890657|ref|YP_009006512.1|	445	1235702781	WP_094848687	422	27.34	117	131	3e-30	1416803	hypothetical protein [Bordetella genomosp. 9]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella genomosp. 9
0	gi|589890657|ref|YP_009006512.1|	445	704402577	WP_033463155	422	27.32	115	130	6e-30	518	hypothetical protein [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|589890657|ref|YP_009006512.1|	445	515095742	WP_016724955	431	25.06	111	126	1e-28	305	heavy metal transporter [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|589890657|ref|YP_009006512.1|	445	1176382114	WP_082224861	330	28.44	95	125	1e-28	1077947	hypothetical protein [Pseudorhodobacter antarcticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	Pseudorhodobacter antarcticus
0	gi|589890657|ref|YP_009006512.1|	445	1177213376	WP_082637622	314	29.34	93	121	2e-27	1300035	hypothetical protein [Bradyrhizobium retamae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium retamae
0	gi|589890657|ref|YP_009006512.1|	445	981773280	WP_059965243	431	22.89	103	119	5e-26	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|589890657|ref|YP_009006512.1|	445	981254110	WP_059473567	405	27.62	100	118	6e-26	1385590	DNA helicase [Burkholderia sp. BDU5]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU5
0	gi|589890657|ref|YP_009006512.1|	445	981863518	WP_060050870	431	25	91	117	1e-25	292	helicase DnaB [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|589890657|ref|YP_009006512.1|	445	981545662	WP_059748687	431	22.44	101	117	1e-25	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|589890657|ref|YP_009006512.1|	445	755832412	WP_042589651	431	24.04	106	117	2e-25	305	helicase DnaB [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|589890657|ref|YP_009006512.1|	445	1175527323	WP_082069964	314	28	84	114	5e-25	1619232	hypothetical protein [Bradyrhizobium sp. LTSP885]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
0	gi|589890657|ref|YP_009006512.1|	445	981699319	WP_059895111	412	27.59	104	115	8e-25	60552	helicase DnaB [Burkholderia vietnamiensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis
0	gi|589890657|ref|YP_009006512.1|	445	981886265	WP_060072203	431	23.33	105	115	1e-24	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|589890657|ref|YP_009006512.1|	445	981732960	WP_059926802	431	23.89	108	114	2e-24	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|589890657|ref|YP_009006512.1|	445	981745869	WP_059939212	431	23.67	107	113	3e-24	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|589890657|ref|YP_009006512.1|	445	1028883537	WP_064049279	406	25.21	89	113	4e-24	305	DNA helicase [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
