qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|66395202|ref|YP_239461.1|	129	686296481	WP_031863616	111	77.52	100	130	9e-36	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|66395207|ref|YP_239462.1|	60	686296480	WP_031863615	60	95	57	116	4e-32	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|66395207|ref|YP_239462.1|	60	1071363101	WP_069796313	62	62.71	37	77.4	9e-17	1288	hypothetical protein [Staphylococcus xylosus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
0	gi|66395193|ref|YP_239463.1|	408	686296479	WP_031863614	408	95.83	391	804	0	1280	phage capsid protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|66395193|ref|YP_239463.1|	408	1071363103	WP_069796315	392	73.7	283	604	0	1288	phage capsid protein [Staphylococcus xylosus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
0	gi|66395194|ref|YP_239465.1|	327	1151973317	WP_078099156	327	98.78	323	657	0	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|66395195|ref|YP_239466.1|	251	686296477	WP_031863613	182	96.15	175	361	2e-123	1280	lower collar protein, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|66395189|ref|YP_239468.1|	647	686296476	WP_031863612	518	96.72	501	1045	0	1280	hypothetical protein, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|66395189|ref|YP_239468.1|	647	1060740552	WP_069134801	797	38.19	186	319	8e-94	2756	phage baseplate upper protein [Brochothrix thermosphacta]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix thermosphacta
0	gi|66395189|ref|YP_239468.1|	647	1060737112	WP_069131739	797	38.19	186	318	8e-94	2756	DUF2479 domain-containing protein [Brochothrix thermosphacta]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix thermosphacta
