qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|640883884|ref|YP_009031284.1|	143	1120553410	WP_073411257	121	36.92	48	77.4	4e-15	1402	hypothetical protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|640883884|ref|YP_009031284.1|	143	1120893324	WP_073426486	121	36.64	48	77	5e-15	1402	hypothetical protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|640883884|ref|YP_009031284.1|	143	915489381	WP_050821143	121	36.92	48	75.1	3e-14	1402	hypothetical protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|640883884|ref|YP_009031284.1|	143	564752803	WP_023856074	121	36.92	48	75.1	3e-14	1202457	hypothetical protein [Bacillus sp. CPSM8]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. CPSM8
0	gi|640883884|ref|YP_009031284.1|	143	651593512	WP_026588484	121	37.8	48	74.7	5e-14	1071078	hypothetical protein [Bacillus sp. NSP9.1]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. NSP9.1
0	gi|640883884|ref|YP_009031284.1|	143	1005280975	WP_061576371	121	36.22	46	73.9	9e-14	1402	hypothetical protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|640883884|ref|YP_009031284.1|	143	515395941	WP_016885234	121	35.88	47	73.6	1e-13	2	MULTISPECIES: hypothetical protein [Bacteria]	Bacteria						
0	gi|640883884|ref|YP_009031284.1|	143	516043708	WP_017474291	121	35.71	45	72.8	2e-13	1402	hypothetical protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|640883884|ref|YP_009031284.1|	143	1126821827	WP_075213363	121	33.85	44	72.4	4e-13	1402	hypothetical protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|640883884|ref|YP_009031284.1|	143	860230023	WP_048350021	121	36.64	48	72	4e-13	1648923	hypothetical protein [Bacillus paralicheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus paralicheniformis
0	gi|640883884|ref|YP_009031284.1|	143	1172237026	WP_080626776	121	36.64	48	72	4e-13	1402	hypothetical protein [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
