qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|29566109|ref|NP_817678.1|	152	1133803754	WP_076183342	153	66.23	100	194	4e-60	1766	hypothetical protein [Mycobacterium fortuitum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium fortuitum
0	gi|29566109|ref|NP_817678.1|	152	1268760320	WP_099024327	161	51.95	80	125	5e-33	2034511	hypothetical protein [Mycobacterium sp. CECT 8779]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. CECT 8779
0	gi|29566109|ref|NP_817678.1|	152	1129561298	WP_075510318	131	51.33	77	119	5e-31	1768	hypothetical protein [Mycobacterium kansasii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kansasii
0	gi|29566109|ref|NP_817678.1|	152	1121426150	WP_073678779	149	45.39	64	100	3e-23	1490483	hypothetical protein [Mycobacterium sp. SWH-M5]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. SWH-M5
0	gi|29566109|ref|NP_817678.1|	152	759672810	WP_043390136	140	44.23	69	99	6e-23	1449048	hypothetical protein [Mycobacterium sp. UNC280MFTsu5.1]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. UNC280MFTsu5.1
0	gi|29566109|ref|NP_817678.1|	152	1028143790	WP_063892964	129	43.95	69	95.5	1e-21	1778	hypothetical protein [Mycobacterium gordonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium gordonae
0	gi|29566109|ref|NP_817678.1|	152	1039669680	WP_064961289	125	42.48	65	88.6	4e-19	228230	hypothetical protein [Mycobacterium canariasense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium canariasense
0	gi|29566109|ref|NP_817678.1|	152	1152494958	WP_078345173	131	40	56	87	2e-18	1774	hypothetical protein [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|29566109|ref|NP_817678.1|	152	1152478619	WP_078331776	131	38.57	54	84.3	2e-17	1763	MULTISPECIES: hypothetical protein [Mycobacterium]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
0	gi|29566109|ref|NP_817678.1|	152	500078035	WP_011754048	145	35.71	55	69.3	7e-12	1839	MULTISPECIES: hypothetical protein [Nocardioides]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
0	gi|29566110|ref|NP_817679.1|	515	1133803755	WP_076183343	517	85.05	438	902	0	1766	hypothetical protein [Mycobacterium fortuitum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium fortuitum
0	gi|29566110|ref|NP_817679.1|	515	1152478620	WP_078331777	521	82.82	429	894	0	1763	MULTISPECIES: hypothetical protein [Mycobacterium]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
0	gi|29566110|ref|NP_817679.1|	515	1152494959	WP_078345174	517	82.24	426	885	0	1774	hypothetical protein [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|29566110|ref|NP_817679.1|	515	1129561299	WP_075510319	504	63.85	325	655	0	1768	hypothetical protein [Mycobacterium kansasii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kansasii
0	gi|29566110|ref|NP_817679.1|	515	1121426151	WP_073678780	510	62.96	323	639	0	1490483	hypothetical protein [Mycobacterium sp. SWH-M5]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. SWH-M5
0	gi|29566110|ref|NP_817679.1|	515	1268760319	WP_099024326	504	59.36	295	566	0	2034511	hypothetical protein [Mycobacterium sp. CECT 8779]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. CECT 8779
0	gi|29566110|ref|NP_817679.1|	515	943986808	WP_055581441	522	54.48	286	537	0	1778	hypothetical protein [Mycobacterium gordonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium gordonae
0	gi|29566110|ref|NP_817679.1|	515	1011837925	WP_062656796	520	52.74	279	506	3e-171	228230	hypothetical protein [Mycobacterium canariasense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium canariasense
0	gi|29566110|ref|NP_817679.1|	515	1055971128	WP_067508107	499	46.72	242	415	5e-136	208602	hypothetical protein [Nocardia puris]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia puris
