qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|414090495|ref|YP_006990606.1|	474	1048230028	WP_065804138	474	61.26	291	614	0	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090495|ref|YP_006990606.1|	474	895870261	WP_048978206	474	60.84	289	611	0	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090495|ref|YP_006990606.1|	474	749583521	WP_040210673	474	60.63	288	608	0	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090495|ref|YP_006990606.1|	474	1048230415	WP_065804523	474	60.42	287	608	0	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090495|ref|YP_006990606.1|	474	852159736	WP_048298698	474	60.63	288	608	0	1463165	hypothetical protein [Klebsiella quasipneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella quasipneumoniae
0	gi|414090495|ref|YP_006990606.1|	474	1279512328	WP_100098584	474	60.42	287	607	0	1463165	hypothetical protein [Klebsiella quasipneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella quasipneumoniae
0	gi|414090495|ref|YP_006990606.1|	474	694087345	WP_032432104	474	60.42	287	605	0	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090495|ref|YP_006990606.1|	474	1016490295	WP_063079961	464	61.05	290	603	0	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|414090495|ref|YP_006990606.1|	474	1253098934	WP_096949732	464	60.84	289	602	0	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|414090495|ref|YP_006990606.1|	474	1231407199	WP_094318501	474	59.58	283	597	0	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090495|ref|YP_006990606.1|	474	754991310	WP_042346093	474	59.37	282	595	0	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|414090495|ref|YP_006990606.1|	474	695803048	WP_032717185	478	53.94	260	498	4e-169	54291	hypothetical protein [Raoultella ornithinolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
0	gi|414090495|ref|YP_006990606.1|	474	695810739	WP_032724672	477	53.32	257	495	3e-168	54291	hypothetical protein [Raoultella ornithinolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
0	gi|414090495|ref|YP_006990606.1|	474	1113808434	WP_072003723	466	50.94	243	456	4e-153	54291	hypothetical protein [Raoultella ornithinolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
0	gi|414090495|ref|YP_006990606.1|	474	749585158	WP_040212092	459	48.63	231	439	2e-146	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090495|ref|YP_006990606.1|	474	1114436909	WP_072072796	459	48.63	231	436	4e-145	1463165	hypothetical protein [Klebsiella quasipneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella quasipneumoniae
0	gi|414090495|ref|YP_006990606.1|	474	749585285	WP_040212183	125	60.8	76	173	3e-48	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090495|ref|YP_006990606.1|	474	746218662	WP_039268430	234	35.6	68	96.3	4e-19	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|414090496|ref|YP_006990607.1|	84	749585283	WP_040212181	84	59.04	49	100	4e-25	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090496|ref|YP_006990607.1|	84	852157887	WP_048297951	84	57.83	48	98.6	2e-24	1463165	hypothetical protein [Klebsiella quasipneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella quasipneumoniae
0	gi|414090496|ref|YP_006990607.1|	84	1048229988	WP_065804098	84	55.95	47	97.8	4e-24	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090496|ref|YP_006990607.1|	84	1016490276	WP_063079942	84	55.95	47	97.8	4e-24	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|414090496|ref|YP_006990607.1|	84	749583381	WP_040210540	84	56.63	47	97.8	4e-24	570	MULTISPECIES: hypothetical protein [Klebsiella]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	
0	gi|414090496|ref|YP_006990607.1|	84	1048230364	WP_065804473	84	56.63	47	97.4	5e-24	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090496|ref|YP_006990607.1|	84	694086889	WP_032431663	88	54.22	45	97.1	1e-23	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090496|ref|YP_006990607.1|	84	895870257	WP_048978203	84	55.42	46	96.3	1e-23	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|414090496|ref|YP_006990607.1|	84	754991241	WP_042346031	88	54.22	45	96.7	1e-23	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|414090496|ref|YP_006990607.1|	84	695803489	WP_032717619	83	54.88	45	92.4	6e-22	54291	hypothetical protein [Raoultella ornithinolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
0	gi|414090496|ref|YP_006990607.1|	84	695802934	WP_032717071	88	51.19	43	88.6	2e-20	54291	hypothetical protein [Raoultella ornithinolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella ornithinolytica
0	gi|414090497|ref|YP_006990608.1|	98	822544324	WP_046973450	110	64.95	63	134	6e-38	231455	hypothetical protein [Dyella japonica]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Dyella japonica
0	gi|414090499|ref|YP_006990610.1|	211	1054938450	WP_066694487	214	51.53	101	217	5e-67	1768804	hypothetical protein [Comamonadaceae bacterium CCH4-C5]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		Comamonadaceae bacterium CCH4-C5
0	gi|414090499|ref|YP_006990610.1|	211	498151565	WP_010465721	208	50.51	99	214	8e-66	758826	hypothetical protein [Acidovorax radicis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax radicis
0	gi|414090499|ref|YP_006990610.1|	211	1271443925	WP_099231960	202	50.25	101	207	1e-63	2021637	hypothetical protein [Sphingobium sp. IP1]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium sp. IP1
0	gi|414090499|ref|YP_006990610.1|	211	1225066475	WP_093080172	199	50.81	94	203	6e-62	1884369	hypothetical protein [Sphingobium sp. AP50]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium sp. AP50
0	gi|414090499|ref|YP_006990610.1|	211	1180059044	WP_083579128	211	43.5	87	176	5e-51	1921510	hypothetical protein [Sphingomonas sp. JJ-A5]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. JJ-A5
0	gi|414090499|ref|YP_006990610.1|	211	543580298	WP_021028638	188	46.52	87	174	7e-51	1055192	hypothetical protein [Comamonas sp. B-9]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas sp. B-9
0	gi|414090499|ref|YP_006990610.1|	211	1334947348	WP_103096288	201	39.62	84	156	2e-43	1850347	secretion activating protein [Novosphingobium guangzhouense]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium guangzhouense
0	gi|414090499|ref|YP_006990610.1|	211	916331339	WP_051066385	178	40.44	74	152	4e-42	1174684	hypothetical protein [Sphingopyxis sp. MC1]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. MC1
0	gi|414090499|ref|YP_006990610.1|	211	1142783064	WP_077029715	183	39.68	75	152	4e-42	1357916	hypothetical protein [Sphingopyxis sp. QXT-31]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. QXT-31
0	gi|414090499|ref|YP_006990610.1|	211	498025189	WP_010339345	199	44.81	82	150	2e-41	13690	hypothetical protein [Sphingobium yanoikuyae]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium yanoikuyae
0	gi|414090499|ref|YP_006990610.1|	211	663821483	WP_030540544	195	42.11	80	148	1e-40	1303256	hypothetical protein [Sphingobium sp. DC-2]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium sp. DC-2
0	gi|414090499|ref|YP_006990610.1|	211	947775466	WP_056437248	210	41.46	85	147	4e-40	1736309	secretion activating protein [Sphingomonas sp. Leaf257]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. Leaf257
0	gi|414090499|ref|YP_006990610.1|	211	947775310	WP_056437092	210	41.46	85	145	2e-39	1736309	secretion activating protein [Sphingomonas sp. Leaf257]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. Leaf257
0	gi|414090499|ref|YP_006990610.1|	211	1209285037	WP_088331831	194	38.19	76	143	2e-38	370959	secretion activating protein [Sphingomonas mucosissima]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas mucosissima
