qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|388604571|ref|YP_006382463.1|	159	1170089122	WP_080520735	159	45	72	137	2e-37	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|388604571|ref|YP_006382463.1|	159	1170088894	WP_080520507	175	35.77	49	86.3	1e-17	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|388604571|ref|YP_006382463.1|	159	981272976	WP_059491520	159	31.45	39	71.6	2e-12	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|388604571|ref|YP_006382463.1|	159	492895971	WP_006026377	159	31.45	39	71.6	2e-12	32008	MULTISPECIES: hypothetical protein [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|388604571|ref|YP_006382463.1|	159	982122214	WP_060289690	155	29.37	42	68.6	2e-11	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|388604571|ref|YP_006382463.1|	159	981366081	WP_059580595	158	32.26	40	67	7e-11	111527	MULTISPECIES: hypothetical protein [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|388604581|ref|YP_006382473.1|	125	1170089116	WP_080520729	132	37.72	43	69.3	3e-12	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|388604587|ref|YP_006382479.1|	262	506585748	WP_016051948	265	63.95	165	350	9e-118	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|388604587|ref|YP_006382479.1|	262	982166003	WP_060330096	262	41.7	113	189	8e-55	1503055	hypothetical protein [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|388604588|ref|YP_006382480.1|	193	1170089108	WP_080520721	186	45.08	87	141	3e-38	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
