qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|148724458|ref|YP_001285424.1|	779	1242662278	WP_095788201	830	30.56	257	332	5e-97	2029411	DNA-dependent RNA polymerase [Mesorhizobium sp. WSM4312]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. WSM4312
0	gi|148724458|ref|YP_001285424.1|	779	1159279330	WP_079211872	825	28.17	231	327	3e-95	571256	hypothetical protein [Ochrobactrum pituitosum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum pituitosum
0	gi|148724458|ref|YP_001285424.1|	779	1200005700	WP_087473435	817	28.37	236	320	7e-93	96242	hypothetical protein [Nitrospira cf. moscoviensis SBR1015]	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira cf. moscoviensis SBR1015
0	gi|148724458|ref|YP_001285424.1|	779	516836734	WP_018123401	854	29.82	255	317	4e-91	63560	hypothetical protein [Desulfovibrio oxyclinae]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio oxyclinae
0	gi|148724458|ref|YP_001285424.1|	779	981254108	WP_059473565	808	29.08	239	308	2e-88	1385590	DNA-directed RNA polymerase [Burkholderia sp. BDU5]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU5
0	gi|148724458|ref|YP_001285424.1|	779	1160659771	WP_079521033	807	28.91	235	307	4e-88	1283288	T3/T7 RNA polymerase [Luteibacter sp. 22Crub2.1]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	Luteibacter sp. 22Crub2.1
0	gi|148724458|ref|YP_001285424.1|	779	491171959	WP_005030326	882	27.89	244	308	9e-88	35833	DNA-dependent RNA polymerase [Bilophila wadsworthia]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Bilophila wadsworthia
0	gi|148724458|ref|YP_001285424.1|	779	1326109244	WP_101940091	830	28.76	241	305	3e-87	381	hypothetical protein [Mesorhizobium loti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium loti
0	gi|148724458|ref|YP_001285424.1|	779	1154188615	WP_078562401	806	29.13	238	301	6e-86	53413	T3/T7 RNA polymerase [Xanthomonas axonopodis]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas axonopodis
0	gi|148724458|ref|YP_001285424.1|	779	981366018	WP_059580532	819	29.38	243	300	2e-85	111527	MULTISPECIES: DNA-directed RNA polymerase [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|148724458|ref|YP_001285424.1|	779	492895984	WP_006026390	818	29.54	244	300	3e-85	32008	MULTISPECIES: DNA-directed RNA polymerase [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|148724458|ref|YP_001285424.1|	779	981643225	WP_059842166	819	28.74	238	299	5e-85	101571	DNA-directed RNA polymerase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|148724458|ref|YP_001285424.1|	779	1325903982	WP_101777987	842	28.12	239	299	6e-85	110321	hypothetical protein [Sinorhizobium medicae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium medicae
0	gi|148724458|ref|YP_001285424.1|	779	917370941	WP_051977653	835	26.78	226	297	3e-84	1500301	hypothetical protein [Rhizobium sp. CF097]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. CF097
0	gi|148724458|ref|YP_001285424.1|	779	1104408555	WP_071733972	819	28.97	239	296	4e-84	101571	DNA-directed RNA polymerase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|148724458|ref|YP_001285424.1|	779	1154142384	WP_078517587	806	29.01	237	296	6e-84	338	MULTISPECIES: T3/T7 RNA polymerase [Xanthomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	
0	gi|148724458|ref|YP_001285424.1|	779	1172265321	WP_080654660	842	27.88	237	296	7e-84	382	hypothetical protein [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|148724458|ref|YP_001285424.1|	779	951473847	WP_057845405	807	28.97	237	295	1e-83	1300035	hypothetical protein [Bradyrhizobium retamae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium retamae
0	gi|148724458|ref|YP_001285424.1|	779	1173203734	WP_081093493	833	29.21	241	295	2e-83	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|148724458|ref|YP_001285424.1|	779	1154212266	WP_078584946	806	29.01	237	294	2e-83	53413	T3/T7 RNA polymerase [Xanthomonas axonopodis]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas axonopodis
0	gi|148724458|ref|YP_001285424.1|	779	981272887	WP_059491431	819	29.06	240	293	8e-83	101571	DNA-directed RNA polymerase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|148724458|ref|YP_001285424.1|	779	982123971	WP_060291358	819	29.06	240	293	8e-83	101571	DNA-directed RNA polymerase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|148724458|ref|YP_001285424.1|	779	981804289	WP_059994499	819	29.18	241	293	1e-82	101571	DNA-directed RNA polymerase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|148724458|ref|YP_001285424.1|	779	821377415	WP_046833178	806	28.47	232	291	2e-82	366648	T3/T7 RNA polymerase [Xanthomonas fuscans]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas fuscans
0	gi|148724458|ref|YP_001285424.1|	779	982121196	WP_060288672	819	28.93	239	292	2e-82	101571	DNA-directed RNA polymerase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|148724458|ref|YP_001285424.1|	779	1055983620	WP_067516854	840	28.75	228	291	5e-82	1698521	hypothetical protein [Endozoicomonas ascidiicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonaceae	Endozoicomonas	Endozoicomonas ascidiicola
0	gi|148724458|ref|YP_001285424.1|	779	491554832	WP_005412423	811	28.88	238	290	9e-82	40323	MULTISPECIES: DNA-directed RNA polymerase [Stenotrophomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	
0	gi|148724458|ref|YP_001285424.1|	779	896486926	WP_049397848	811	28.88	238	290	9e-82	40324	T3/T7 RNA polymerase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|148724458|ref|YP_001285424.1|	779	1001550989	WP_061201470	811	28.88	238	290	9e-82	40324	T3/T7 RNA polymerase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|148724458|ref|YP_001285424.1|	779	758873022	WP_043033718	811	28.88	238	290	1e-81	40324	T3/T7 RNA polymerase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|148724458|ref|YP_001285424.1|	779	919473079	WP_052832939	814	29.38	245	290	1e-81	1619232	hypothetical protein [Bradyrhizobium sp. LTSP885]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
0	gi|148724458|ref|YP_001285424.1|	779	515431644	WP_016904682	806	28.69	235	288	3e-81	56448	T3/T7 RNA polymerase [Xanthomonas arboricola]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas arboricola
0	gi|148724458|ref|YP_001285424.1|	779	1119270863	WP_072249625	848	28.13	238	289	4e-81	363953	hypothetical protein [Chelatococcus sambhunathii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Chelatococcaceae	Chelatococcus	Chelatococcus sambhunathii
0	gi|148724458|ref|YP_001285424.1|	779	1210285208	WP_088476067	811	28.76	237	288	6e-81	487698	T3/T7 RNA polymerase [Stenotrophomonas pavanii]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas pavanii
0	gi|148724458|ref|YP_001285424.1|	779	1258290714	WP_097587424	843	28.68	228	286	3e-80	380	hypothetical protein [Sinorhizobium fredii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii
0	gi|148724458|ref|YP_001285424.1|	779	896542956	WP_049444498	811	28.92	238	285	4e-80	40324	T3/T7 RNA polymerase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|148724458|ref|YP_001285424.1|	779	1183828012	WP_085025222	839	27.37	231	285	6e-80	1708715	hypothetical protein [Ensifer aridi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer aridi
0	gi|148724458|ref|YP_001285424.1|	779	1293238461	WP_100632572	841	27.64	228	283	6e-79	2056231	hypothetical protein [Pseudomonas sp. JJ3]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. JJ3
0	gi|148724458|ref|YP_001285424.1|	779	914414842	WP_050589256	829	28.01	237	282	7e-79	1287281	hypothetical protein [Mesorhizobium sp. LNJC405B00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC405B00
0	gi|148724458|ref|YP_001285424.1|	779	756145853	WP_042595018	806	28.45	233	281	1e-78	339	T3/T7 RNA polymerase [Xanthomonas campestris]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris
