qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|158345138|ref|YP_001522845.1|	159	1170088894	WP_080520507	175	38	57	108	4e-26	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|158345138|ref|YP_001522845.1|	159	1170089122	WP_080520735	159	40.91	54	100	2e-23	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|158345138|ref|YP_001522845.1|	159	492895971	WP_006026377	159	38.93	51	84.3	3e-17	32008	MULTISPECIES: hypothetical protein [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|158345138|ref|YP_001522845.1|	159	981272976	WP_059491520	159	38.93	51	84.3	3e-17	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345138|ref|YP_001522845.1|	159	981804424	WP_059994634	159	38.93	51	82.8	1e-16	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345138|ref|YP_001522845.1|	159	981643428	WP_059842369	158	37.98	49	81.6	3e-16	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345138|ref|YP_001522845.1|	159	982122214	WP_060289690	155	37.21	48	80.1	1e-15	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345138|ref|YP_001522845.1|	159	981366081	WP_059580595	158	37.21	48	79.3	2e-15	111527	MULTISPECIES: hypothetical protein [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|158345138|ref|YP_001522845.1|	159	981253935	WP_059473392	182	32.43	48	74.7	2e-13	1385590	hypothetical protein [Burkholderia sp. BDU5]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU5
0	gi|158345154|ref|YP_001522861.1|	267	1170088883	WP_080520496	278	41.04	110	186	1e-53	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|158345157|ref|YP_001522864.1|	421	1170089180	WP_080520793	401	53.28	211	428	1e-143	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|158345157|ref|YP_001522864.1|	421	920134224	WP_052954289	412	47.45	195	372	2e-121	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|158345157|ref|YP_001522864.1|	421	515095742	WP_016724955	431	36.32	154	261	1e-78	305	heavy metal transporter [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|158345157|ref|YP_001522864.1|	421	910237429	WP_050042552	431	36.94	157	260	5e-78	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345157|ref|YP_001522864.1|	421	740994099	WP_038777187	431	36.94	157	260	5e-78	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345157|ref|YP_001522864.1|	421	754360443	WP_041861643	431	36.94	157	259	6e-78	111527	MULTISPECIES: helicase DnaB [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|158345157|ref|YP_001522864.1|	421	981486932	WP_059693954	431	36.71	156	259	9e-78	292	helicase DnaB [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|158345157|ref|YP_001522864.1|	421	981615896	WP_059815794	431	36.24	154	259	1e-77	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345157|ref|YP_001522864.1|	421	1142810670	WP_077056194	431	36.24	154	258	2e-77	95486	helicase DnaB [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|158345157|ref|YP_001522864.1|	421	1025893487	WP_063597552	431	36.47	155	258	2e-77	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345157|ref|YP_001522864.1|	421	740953356	WP_038737994	431	36.47	155	258	2e-77	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345157|ref|YP_001522864.1|	421	981246763	WP_059466473	431	36	153	257	6e-77	488732	helicase DnaB [Burkholderia diffusa]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia diffusa
0	gi|158345157|ref|YP_001522864.1|	421	982164632	WP_060328832	431	36.3	155	257	6e-77	1503055	helicase DnaB [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|158345157|ref|YP_001522864.1|	421	759580906	WP_043299796	431	36.71	156	257	7e-77	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345157|ref|YP_001522864.1|	421	740966965	WP_038751446	431	36.71	156	256	1e-76	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345157|ref|YP_001522864.1|	421	982448684	WP_060375372	431	36.07	154	256	2e-76	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345157|ref|YP_001522864.1|	421	516455485	WP_017844326	431	36.94	157	256	2e-76	28450	heavy metal transporter [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345157|ref|YP_001522864.1|	421	497627207	WP_009941391	431	36.94	157	255	3e-76	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345157|ref|YP_001522864.1|	421	942523356	WP_055347195	431	36.71	156	255	4e-76	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345157|ref|YP_001522864.1|	421	740962301	WP_038746862	431	36.71	156	255	4e-76	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345157|ref|YP_001522864.1|	421	981789982	WP_059981106	431	36.07	154	254	6e-76	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345157|ref|YP_001522864.1|	421	1141166639	WP_076928899	431	36.47	155	254	7e-76	28450	helicase DnaB [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345157|ref|YP_001522864.1|	421	981745869	WP_059939212	431	36.07	154	254	7e-76	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345157|ref|YP_001522864.1|	421	981886265	WP_060072203	431	35.76	152	254	9e-76	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345157|ref|YP_001522864.1|	421	981732960	WP_059926802	431	35.83	153	254	9e-76	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345157|ref|YP_001522864.1|	421	499644652	WP_011325386	431	35.53	151	253	3e-75	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|158345157|ref|YP_001522864.1|	421	755832412	WP_042589651	431	35.14	149	252	7e-75	305	helicase DnaB [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|158345157|ref|YP_001522864.1|	421	1061946136	WP_069252217	431	35.53	151	251	1e-74	482957	helicase DnaB [Burkholderia lata]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia lata
0	gi|158345157|ref|YP_001522864.1|	421	1219496807	WP_089452166	431	35.36	151	249	9e-74	2015348	helicase DnaB [Burkholderia sp. AU17325]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. AU17325
0	gi|158345157|ref|YP_001522864.1|	421	981545662	WP_059748687	431	34.35	146	239	3e-70	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345157|ref|YP_001522864.1|	421	981863518	WP_060050870	431	34.35	146	236	5e-69	292	helicase DnaB [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|158345157|ref|YP_001522864.1|	421	981773280	WP_059965243	431	33.65	143	235	2e-68	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345157|ref|YP_001522864.1|	421	981699319	WP_059895111	412	36.98	125	229	2e-66	60552	helicase DnaB [Burkholderia vietnamiensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis
0	gi|158345157|ref|YP_001522864.1|	421	1176382114	WP_082224861	330	41.64	132	226	5e-66	1077947	hypothetical protein [Pseudorhodobacter antarcticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	Pseudorhodobacter antarcticus
0	gi|158345157|ref|YP_001522864.1|	421	704402577	WP_033463155	422	34.13	143	218	3e-62	518	hypothetical protein [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|158345157|ref|YP_001522864.1|	421	1235702781	WP_094848687	422	32.78	137	217	9e-62	1416803	hypothetical protein [Bordetella genomosp. 9]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella genomosp. 9
0	gi|158345157|ref|YP_001522864.1|	421	981643203	WP_059842144	414	33.41	139	209	7e-59	101571	DNA helicase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345157|ref|YP_001522864.1|	421	1169244063	WP_080495527	414	33.17	138	206	2e-57	101571	DNA helicase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345157|ref|YP_001522864.1|	421	981272878	WP_059491422	414	33.17	138	205	2e-57	101571	DNA helicase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345157|ref|YP_001522864.1|	421	982121171	WP_060288647	414	33.17	138	204	5e-57	101571	DNA helicase [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|158345157|ref|YP_001522864.1|	421	920757188	WP_053059394	401	33.17	132	204	6e-57	656179	DNA helicase [Pandoraea faecigallinarum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea faecigallinarum
