qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|327197663|ref|YP_004301353.1|	85	815846242	WP_046467673	83	46.75	36	66.6	4e-12	29382	hypothetical protein [Staphylococcus cohnii]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus cohnii
0	gi|327197665|ref|YP_004301355.1|	188	1093510608	WP_070861800	183	32.98	62	103	9e-24	1715028	hypothetical protein [Staphylococcus sp. HMSC067G10]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. HMSC067G10
0	gi|327197676|ref|YP_004301366.1|	149	1060722207	WP_069118585	147	42.67	64	108	2e-26	2756	hypothetical protein [Brochothrix thermosphacta]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix thermosphacta
0	gi|327197676|ref|YP_004301366.1|	149	1248200456	WP_096699273	93	45.33	34	67.4	2e-11	2756	hypothetical protein [Brochothrix thermosphacta]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix thermosphacta
0	gi|327197677|ref|YP_004301367.1|	159	1225255224	WP_093266661	149	35.22	56	87.8	1e-18	1884358	hypothetical protein [Psychrobacillus sp. OK032]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Psychrobacillus	Psychrobacillus sp. OK032
0	gi|327197677|ref|YP_004301367.1|	159	1175548236	WP_082090345	151	42	42	83.2	9e-17	1386	MULTISPECIES: hypothetical protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|327197677|ref|YP_004301367.1|	159	1267430088	WP_098252787	152	41.35	43	82.4	2e-16	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|327197677|ref|YP_004301367.1|	159	1184625448	WP_085186884	160	42.16	43	79.3	2e-15	1386	MULTISPECIES: hypothetical protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|327197677|ref|YP_004301367.1|	159	447129664	WP_001206920	142	39.81	41	75.9	3e-14	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|327197677|ref|YP_004301367.1|	159	1268002802	WP_098643805	182	40.4	40	75.5	9e-14	64104	hypothetical protein [Bacillus pseudomycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides
0	gi|327197677|ref|YP_004301367.1|	159	1261307596	WP_097834273	182	40.4	40	75.5	1e-13	64104	hypothetical protein [Bacillus pseudomycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides
0	gi|327197677|ref|YP_004301367.1|	159	1268361266	WP_098830863	138	37.86	39	73.9	1e-13	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
0	gi|327197677|ref|YP_004301367.1|	159	1197742203	WP_086691972	148	37.37	37	73.2	4e-13	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|327197677|ref|YP_004301367.1|	159	504230821	WP_014417923	156	35.48	44	72.4	8e-13	1386	MULTISPECIES: hypothetical protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|327197677|ref|YP_004301367.1|	159	759005679	WP_043065070	168	36.63	37	70.9	4e-12	47500	hypothetical protein [Aneurinibacillus migulanus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
0	gi|327197677|ref|YP_004301367.1|	159	924276405	WP_053464125	128	33.33	52	67.4	3e-11	1281	hypothetical protein [Staphylococcus carnosus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus carnosus
0	gi|327197677|ref|YP_004301367.1|	159	1268351312	WP_098822998	181	35.71	35	67	9e-11	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
0	gi|327197682|ref|YP_004301372.1|	161	1092867746	WP_070778383	153	36.3	53	89.7	4e-19	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	489818742	WP_003722555	153	35.86	52	89.7	4e-19	1639;169963	hypothetical protein [Listeria monocytogenes]	NA	NA	NA	NA	NA	NA	NA
0	gi|327197682|ref|YP_004301372.1|	161	1000358861	WP_061106406	149	35.86	52	88.6	8e-19	1639	hypothetical protein, partial [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	559033135	WP_023552261	153	35.86	52	88.6	9e-19	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	1258193206	WP_097529763	153	33.11	49	88.2	1e-18	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	1199006584	WP_087115501	153	35.17	51	87	3e-18	2751	hypothetical protein [Carnobacterium maltaromaticum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium maltaromaticum
0	gi|327197682|ref|YP_004301372.1|	161	1330707783	WP_102573331	153	35.17	51	86.3	6e-18	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	559033215	WP_023552340	153	35.17	51	86.3	6e-18	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	1059893326	WP_068996383	153	35.17	51	86.3	7e-18	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	559007837	WP_023548479	153	33.79	49	85.5	1e-17	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	1092842228	WP_070756677	153	34.48	50	84.3	3e-17	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	1059902112	WP_069004038	144	37.04	50	84.3	3e-17	1639	hypothetical protein, partial [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	1254705746	WP_097348337	156	32.68	50	83.6	6e-17	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	1331038103	WP_102585854	156	32.67	49	83.2	8e-17	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	1148703471	WP_077441634	153	33.1	48	83.2	9e-17	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	1079979425	WP_070295946	153	33.1	48	82.4	2e-16	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	501578053	WP_012582387	153	33.1	48	82.4	2e-16	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	746333334	WP_039378868	153	33.1	48	82	2e-16	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|327197682|ref|YP_004301372.1|	161	1254704601	WP_097347833	144	36.3	49	81.6	3e-16	1639	hypothetical protein, partial [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
