qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|327198507|ref|YP_004327094.1|	102	1173369402	WP_081225168	102	45.54	46	78.2	4e-16	1288	hypothetical protein [Staphylococcus xylosus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
0	gi|327198507|ref|YP_004327094.1|	102	501029743	WP_012081826	103	46.59	41	77.8	7e-16	387092	phage-related DNA-binding protein [Nitratiruptor sp. SB155-2]	Bacteria	Proteobacteria	Epsilonproteobacteria			Nitratiruptor	Nitratiruptor sp. SB155-2
0	gi|327198507|ref|YP_004327094.1|	102	1031530169	WP_064103632	107	44.57	41	77.8	8e-16	539	hypothetical protein [Eikenella corrodens]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens
0	gi|327198507|ref|YP_004327094.1|	102	1092698795	WP_070630232	101	44.57	41	77.4	9e-16	538	MULTISPECIES: hypothetical protein [Eikenella]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	
0	gi|327198507|ref|YP_004327094.1|	102	1056199362	WP_067686735	102	43.62	41	77.4	1e-15	1795831	hypothetical protein [Eikenella sp. NML120348]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella sp. NML120348
0	gi|327198507|ref|YP_004327094.1|	102	1031395981	WP_064084359	102	42.55	40	77	1e-15	539	hypothetical protein [Eikenella corrodens]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens
0	gi|327198507|ref|YP_004327094.1|	102	1031541113	WP_064104268	102	43.62	41	76.6	2e-15	539	hypothetical protein [Eikenella corrodens]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens
0	gi|327198507|ref|YP_004327094.1|	102	1031425302	WP_064088231	102	42.55	40	76.6	2e-15	539	hypothetical protein [Eikenella corrodens]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens
0	gi|327198507|ref|YP_004327094.1|	102	1056069528	WP_067595191	101	43.62	41	76.6	2e-15	1795827	hypothetical protein [Eikenella sp. NML02-A-017]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella sp. NML02-A-017
0	gi|327198507|ref|YP_004327094.1|	102	1031396059	WP_064084437	102	43.62	41	75.5	5e-15	539	hypothetical protein [Eikenella corrodens]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens
0	gi|327198507|ref|YP_004327094.1|	102	518801815	WP_019957769	124	42.16	43	75.9	5e-15	61	ArpR [Vitreoscilla stercoraria]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vitreoscilla	Vitreoscilla stercoraria
