qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|422936149|ref|YP_007006001.1|	630	738025217	WP_035984254	846	36.49	181	320	4e-94	1229172	DNA gyrase subunit A [Leptolyngbya sp. KIOST-1]	Bacteria	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya sp. KIOST-1
0	gi|422936149|ref|YP_007006001.1|	630	740173525	WP_038016373	832	35.08	174	317	7e-93	91464	DNA gyrase subunit A [Synechococcus sp. PCC 7335]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 7335
0	gi|422936149|ref|YP_007006001.1|	630	1101265010	WP_071516820	847	35.89	178	313	3e-91	111611	DNA topoisomerase (ATP-hydrolyzing) subunit A [Geitlerinema sp. PCC 9228]	Bacteria	Cyanobacteria		Oscillatoriales	Coleofasciculaceae	Geitlerinema	Geitlerinema sp. PCC 9228
0	gi|422936149|ref|YP_007006001.1|	630	1055149110	WP_066896282	832	36.35	185	311	4e-91	1162717	DNA gyrase subunit A [Streptobacillus hongkongensis]	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus	Streptobacillus hongkongensis
0	gi|422936149|ref|YP_007006001.1|	630	983534709	WP_060686335	855	37.55	187	312	6e-91	1085624	DNA gyrase subunit A [Persicobacter sp. JZB09]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Persicobacteraceae	Persicobacter	Persicobacter sp. JZB09
0	gi|422936149|ref|YP_007006001.1|	630	654345431	WP_027838861	833	36.02	183	311	7e-91	996925	DNA gyrase subunit A [Mastigocoleus testarum]	Bacteria	Cyanobacteria		Nostocales	Hapalosiphonaceae	Mastigocoleus	Mastigocoleus testarum
0	gi|422936149|ref|YP_007006001.1|	630	504371778	WP_014558880	828	38.03	189	310	1e-90	591197	DNA gyrase subunit A [Ignavibacterium album]	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	Ignavibacterium album
0	gi|422936149|ref|YP_007006001.1|	630	923003508	WP_053404905	855	37.55	187	311	1e-90	1561025	DNA gyrase subunit A [Persicobacter sp. CCB-QB2]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Persicobacteraceae	Persicobacter	Persicobacter sp. CCB-QB2
0	gi|422936149|ref|YP_007006001.1|	630	493568887	WP_006522167	808	33.5	201	309	3e-90	102134	DNA gyrase subunit A [Desulfotomaculum gibsoniae]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	Desulfotomaculum gibsoniae
0	gi|422936149|ref|YP_007006001.1|	630	1248031464	WP_096537147	845	36.02	179	309	4e-90	92942	DNA gyrase subunit A [Nostoc linckia]	Bacteria	Cyanobacteria		Nostocales	Nostocaceae	Nostoc	Nostoc linckia
0	gi|422936149|ref|YP_007006001.1|	630	503087232	WP_013322087	852	35.41	176	309	5e-90	497965	DNA topoisomerase (ATP-hydrolyzing) subunit A [Cyanothece sp. PCC 7822]	Bacteria	Cyanobacteria		Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. PCC 7822
0	gi|422936149|ref|YP_007006001.1|	630	935601868	WP_054466486	874	35.06	176	309	9e-90	1705388	DNA topoisomerase 4 subunit A [Planktothricoides sp. SR001]	Bacteria	Cyanobacteria		Oscillatoriales	Microcoleaceae	Planktothricoides	Planktothricoides sp. SR001
0	gi|422936149|ref|YP_007006001.1|	630	1221620506	WP_089749800	795	36.03	178	307	1e-89	2017975	MULTISPECIES: DNA gyrase subunit A [Candidatus Frackibacter]	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Candidatus Frackibacter	
0	gi|422936149|ref|YP_007006001.1|	630	515827893	WP_017258646	865	36.9	183	308	1e-89	752140	DNA gyrase subunit A [Pedobacter arcticus]	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter arcticus
0	gi|422936149|ref|YP_007006001.1|	630	1209924374	WP_088430152	852	34.55	171	308	1e-89	1209493	DNA gyrase subunit A [Halomicronema hongdechloris]	Bacteria	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Halomicronema	Halomicronema hongdechloris
0	gi|422936149|ref|YP_007006001.1|	630	1240132856	WP_095543980	835	35.77	176	307	2e-89	2024899	DNA gyrase subunit A [Candidatus Izimaplasma sp. ZiA1]	Bacteria	Tenericutes				Candidatus Izimaplasma	Candidatus Izimaplasma sp. ZiA1
0	gi|422936149|ref|YP_007006001.1|	630	504965281	WP_015152383	837	35.08	174	307	2e-89	54299	DNA gyrase subunit A [Chroococcidiopsis thermalis]	Bacteria	Cyanobacteria		Chroococcidiopsidales	Chroococcidiopsidaceae	Chroococcidiopsis	Chroococcidiopsis thermalis
0	gi|422936149|ref|YP_007006001.1|	630	516330977	WP_017721636	866	35.1	179	307	3e-89	1173028	DNA topoisomerase 4 subunit A [Oscillatoria sp. PCC 10802]	Bacteria	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria sp. PCC 10802
0	gi|422936149|ref|YP_007006001.1|	630	504935887	WP_015122989	829	34.17	177	306	3e-89	195253	DNA topoisomerase 4 subunit A [Synechococcus sp. PCC 6312]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 6312
0	gi|422936149|ref|YP_007006001.1|	630	1248062727	WP_096566668	829	34.88	173	306	3e-89	2005464	DNA gyrase subunit A [Scytonema sp. NIES-4073]	Bacteria	Cyanobacteria		Nostocales	Scytonemataceae	Scytonema	Scytonema sp. NIES-4073
0	gi|422936149|ref|YP_007006001.1|	630	1011389345	WP_062302060	848	34.26	197	306	4e-89	1914963	DNA gyrase subunit A [Roseivirga seohaensis]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Roseivirga	Roseivirga seohaensis
0	gi|422936149|ref|YP_007006001.1|	630	515865949	WP_017296577	842	35.28	175	306	4e-89	416001	DNA gyrase subunit A [Nodosilinea nodulosa]	Bacteria	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Nodosilinea	Nodosilinea nodulosa
0	gi|422936149|ref|YP_007006001.1|	630	495552702	WP_008277281	838	35.13	176	306	5e-89	391612	DNA topoisomerase 4 subunit A [Cyanothece sp. CCY0110]	Bacteria	Cyanobacteria		Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. CCY0110
0	gi|422936149|ref|YP_007006001.1|	630	1011768974	WP_062592201	848	34.26	197	306	5e-89	279360	DNA gyrase subunit A [Roseivirga ehrenbergii]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Roseivirga	Roseivirga ehrenbergii
0	gi|422936149|ref|YP_007006001.1|	630	1222741411	WP_090787074	869	36.6	183	306	6e-89	1761882	DNA gyrase subunit A [Pedobacter sp. ok626]	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp. ok626
0	gi|422936149|ref|YP_007006001.1|	630	1121316528	WP_073626667	829	34.88	173	306	6e-89	1137095	DNA gyrase subunit A [Scytonema sp. HK-05]	Bacteria	Cyanobacteria		Nostocales	Scytonemataceae	Scytonema	Scytonema sp. HK-05
0	gi|422936149|ref|YP_007006001.1|	630	1094116383	WP_071105882	842	33.9	179	306	6e-89	1155739	DNA topoisomerase 4 subunit A [Moorea producens]	Bacteria	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Moorea	Moorea producens
0	gi|422936149|ref|YP_007006001.1|	630	504977019	WP_015164121	843	35.89	178	306	7e-89	82654	DNA topoisomerase 4 subunit A [Pseudanabaena sp. PCC 7367]	Bacteria	Cyanobacteria		Synechococcales	Pseudanabaenaceae	Pseudanabaena	Pseudanabaena sp. PCC 7367
0	gi|422936149|ref|YP_007006001.1|	630	1065018578	WP_069475060	850	34.76	179	306	7e-89	1126	DNA gyrase subunit A [Microcystis aeruginosa]	Bacteria	Cyanobacteria		Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
0	gi|422936149|ref|YP_007006001.1|	630	921286005	WP_053222606	848	34.26	197	306	7e-89	1914963	DNA gyrase subunit A [Roseivirga seohaensis]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Roseivirga	Roseivirga seohaensis
0	gi|422936149|ref|YP_007006001.1|	630	497242164	WP_009556389	866	34.48	171	306	8e-89	864702	DNA gyrase subunit A [Oscillatoriales cyanobacterium JSC-12]	Bacteria	Cyanobacteria		Oscillatoriales			Oscillatoriales cyanobacterium JSC-12
0	gi|422936149|ref|YP_007006001.1|	630	513851605	WP_016516840	850	34.76	179	306	8e-89	1126	DNA gyrase subunit A [Microcystis aeruginosa]	Bacteria	Cyanobacteria		Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
0	gi|422936149|ref|YP_007006001.1|	630	1215941352	WP_089125372	840	34.88	173	306	8e-89	2005459	DNA topoisomerase (ATP-hydrolyzing) subunit A [Tolypothrix sp. NIES-4075]	Bacteria	Cyanobacteria		Nostocales	Tolypothrichaceae	Tolypothrix	Tolypothrix sp. NIES-4075
0	gi|422936149|ref|YP_007006001.1|	630	546230915	WP_021834564	838	35.54	177	306	8e-89	263511	DNA topoisomerase 4 subunit A [Crocosphaera watsonii]	Bacteria	Cyanobacteria		Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera watsonii
0	gi|422936149|ref|YP_007006001.1|	630	1159274468	WP_079207259	850	35.63	176	306	8e-89	1126	DNA gyrase subunit A [Microcystis aeruginosa]	Bacteria	Cyanobacteria		Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
0	gi|422936149|ref|YP_007006001.1|	630	546216249	WP_021831160	838	35.54	177	305	9e-89	263511	DNA topoisomerase 4 subunit A [Crocosphaera watsonii]	Bacteria	Cyanobacteria		Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera watsonii
0	gi|422936149|ref|YP_007006001.1|	630	497229143	WP_009543405	838	34.6	173	305	9e-89	43988	MULTISPECIES: DNA topoisomerase 4 subunit A [Cyanothece]	Bacteria	Cyanobacteria		Oscillatoriales	Cyanothecaceae	Cyanothece	
0	gi|422936149|ref|YP_007006001.1|	630	1201342262	WP_087593718	831	34.73	174	305	9e-89	1982589	DNA topoisomerase 4 subunit A [unicellular cyanobacterium SU3]	Bacteria	Cyanobacteria					unicellular cyanobacterium SU3
0	gi|422936149|ref|YP_007006001.1|	630	494514924	WP_007304382	838	35.54	177	305	9e-89	263511	DNA topoisomerase 4 subunit A [Crocosphaera watsonii]	Bacteria	Cyanobacteria		Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera watsonii
0	gi|422936149|ref|YP_007006001.1|	630	1120052090	WP_072925913	850	35.63	176	306	1e-88	1126	DNA gyrase subunit A [Microcystis aeruginosa]	Bacteria	Cyanobacteria		Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
0	gi|422936149|ref|YP_007006001.1|	630	488885564	WP_002797789	850	35.63	176	306	1e-88	1126	DNA gyrase subunit A [Microcystis aeruginosa]	Bacteria	Cyanobacteria		Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
0	gi|422936149|ref|YP_007006001.1|	630	1160843082	WP_079688664	872	37.42	186	306	1e-88	688867	DNA gyrase subunit A [Ohtaekwangia koreensis]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia koreensis
0	gi|422936149|ref|YP_007006001.1|	630	1002987168	WP_061431695	850	35.63	176	305	1e-88	1126	DNA gyrase subunit A [Microcystis aeruginosa]	Bacteria	Cyanobacteria		Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
0	gi|422936149|ref|YP_007006001.1|	630	546229626	WP_021833700	838	35.54	177	305	1e-88	263511	DNA topoisomerase 4 subunit A [Crocosphaera watsonii]	Bacteria	Cyanobacteria		Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera watsonii
0	gi|422936149|ref|YP_007006001.1|	630	488835805	WP_002748211	850	34.56	178	305	1e-88	1126	DNA gyrase subunit A [Microcystis aeruginosa]	Bacteria	Cyanobacteria		Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa
