qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|38639924|ref|NP_943879.1|	732	1296597415	WP_100771378	725	35.57	122	178	7e-44	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|38639924|ref|NP_943879.1|	732	1208946742	WP_088209800	725	35.57	122	178	8e-44	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|38639924|ref|NP_943879.1|	732	1167889684	WP_080181602	725	35.57	122	178	8e-44	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|38639924|ref|NP_943879.1|	732	1122786325	WP_074146350	725	35.57	122	177	1e-43	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|38639924|ref|NP_943879.1|	732	640401610	WP_024892447	762	38.46	120	169	1e-40	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|38639924|ref|NP_943879.1|	732	517045616	WP_018234434	825	37.18	87	148	2e-33	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|38639924|ref|NP_943879.1|	732	1057312555	WP_068673781	874	35.22	106	144	5e-32	34072	MULTISPECIES: ATP-binding protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|38639924|ref|NP_943879.1|	732	1048173592	WP_065784095	789	32.44	97	142	9e-32	106591	MULTISPECIES: hypothetical protein [Ensifer]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	
0	gi|38639924|ref|NP_943879.1|	732	739644786	WP_037500606	712	33.77	102	140	3e-31	392409	ATP-binding protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|38639924|ref|NP_943879.1|	732	1224477396	WP_092498558	786	32.48	102	137	5e-30	1855383	hypothetical protein [bacterium A52C2]	Bacteria						bacterium A52C2
0	gi|38639924|ref|NP_943879.1|	732	493375781	WP_006332075	283	40	80	130	9e-30	1297570	hypothetical protein [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
0	gi|38639924|ref|NP_943879.1|	732	1222655058	WP_090702921	716	31.75	107	136	1e-29	1882748	ATP-binding protein [Beijerinckia sp. 28-YEA-48]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48
0	gi|38639924|ref|NP_943879.1|	732	1215346504	WP_089045541	802	30.72	90	131	5e-28	1449788	hypothetical protein [Sinorhizobium sp. LM21]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. LM21
0	gi|38639924|ref|NP_943879.1|	732	983583808	WP_060733666	802	34.56	94	129	1e-27	95486	ATP-binding protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
