qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|422935763|ref|YP_007005662.1|	55	447172619	WP_001249875	62	67.21	41	71.6	1e-14	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|422935763|ref|YP_007005662.1|	55	1306743300	WP_100957192	85	58.57	41	68.2	5e-13	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|422935763|ref|YP_007005662.1|	55	915501470	WP_050828818	62	62.3	38	67	8e-13	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|422935763|ref|YP_007005662.1|	55	544898660	WP_021310203	79	52.56	41	66.2	2e-12	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|422935763|ref|YP_007005662.1|	55	727320716	WP_033776024	86	51.76	44	66.2	2e-12	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|422935763|ref|YP_007005662.1|	55	447139121	WP_001216377	79	51.28	40	65.1	6e-12	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|422935763|ref|YP_007005662.1|	55	1306795181	WP_100978718	86	48.24	41	63.2	3e-11	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|422935763|ref|YP_007005662.1|	55	727312454	WP_033768393	86	50.59	43	62.8	5e-11	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|422935763|ref|YP_007005662.1|	55	727029045	WP_033596296	86	48.24	41	62.8	6e-11	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|422935764|ref|YP_007005663.1|	373	915570574	WP_050851187	373	83.91	313	626	0	210	site-specific integrase [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
