qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|431809934|ref|YP_007236822.1|	197	921055212	WP_053069988	257	36.88	59	99.4	2e-21	86185	hypothetical protein [Pseudomonas lundensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas lundensis
0	gi|431809934|ref|YP_007236822.1|	197	1149105510	WP_077682031	201	33.15	59	92.8	2e-19	316	hypothetical protein [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|431809934|ref|YP_007236822.1|	197	917332472	WP_051939184	245	36.36	56	85.1	2e-16	237609	hypothetical protein [Pseudomonas alkylphenolica]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas alkylphenolica
0	gi|431809934|ref|YP_007236822.1|	197	493770277	WP_006718816	283	35.43	45	82.4	1e-15	142877	hypothetical protein [Desulfitobacterium metallireducens]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium	Desulfitobacterium metallireducens
0	gi|431809934|ref|YP_007236822.1|	197	1271479868	WP_099265479	175	36.84	49	80.9	2e-15	317	hypothetical protein [Pseudomonas syringae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae
0	gi|431809934|ref|YP_007236822.1|	197	1211614978	WP_088514760	188	40.32	50	80.1	4e-15	1985343	hypothetical protein [Pseudomonas sp. 1239]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. 1239
0	gi|431809934|ref|YP_007236822.1|	197	939370843	WP_054915241	188	35.76	54	78.6	2e-14	1661032	hypothetical protein [Pseudomonas sp. NBRC 111117]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. NBRC 111117
0	gi|431809934|ref|YP_007236822.1|	197	1282054726	WP_100413177	188	36.36	52	78.2	2e-14	2048282	hypothetical protein [Pseudomonas sp. MR 02]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. MR 02
0	gi|431809934|ref|YP_007236822.1|	197	919187849	WP_052743350	142	38.46	60	77.4	2e-14	76761	hypothetical protein [Pseudomonas veronii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas veronii
0	gi|431809934|ref|YP_007236822.1|	197	908793615	WP_049870814	188	38.58	49	77.4	4e-14	303	hypothetical protein [Pseudomonas putida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
