qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|149882782|ref|YP_001294761.1|	256	1055584917	WP_067226923	284	57.21	123	261	8e-83	412690	hypothetical protein [Microterricola viridarii]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microterricola	Microterricola viridarii
0	gi|149882782|ref|YP_001294761.1|	256	947993822	WP_056653322	294	51.64	110	221	7e-67	1736601	site-specific integrase [Agromyces sp. Root81]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	Agromyces sp. Root81
0	gi|149882782|ref|YP_001294761.1|	256	1147444752	WP_077224460	299	49.76	105	221	7e-67	1938617	hypothetical protein [Rathayibacter sp. VKM Ac-2630]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter	Rathayibacter sp. VKM Ac-2630
0	gi|149882782|ref|YP_001294761.1|	256	1281985281	WP_100344763	307	49.76	104	211	5e-63	1048394	site-specific integrase [Compostimonas suwonensis]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Compostimonas	Compostimonas suwonensis
0	gi|149882782|ref|YP_001294761.1|	256	917671912	WP_052225671	291	48.83	104	208	7e-62	1574409	hypothetical protein [Mesorhizobium sp. F7]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. F7
0	gi|149882782|ref|YP_001294761.1|	256	640736577	WP_025159305	292	52.22	106	198	4e-58	144185	site-specific integrase [Leifsonia aquatica]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Leifsonia aquatica
0	gi|149882782|ref|YP_001294761.1|	256	971863262	WP_058932154	298	44.95	98	186	1e-53	121292	hypothetical protein [Pseudarthrobacter sulfonivorans]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	Pseudarthrobacter sulfonivorans
0	gi|149882782|ref|YP_001294761.1|	256	947937636	WP_056597705	295	45.87	100	184	1e-52	1736273	hypothetical protein [Arthrobacter sp. Leaf141]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. Leaf141
0	gi|149882782|ref|YP_001294761.1|	256	916540316	WP_051147407	309	42.08	93	164	1e-44	501023	hypothetical protein [Glaciibacter superstes]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Glaciibacter	Glaciibacter superstes
0	gi|149882782|ref|YP_001294761.1|	256	1248217556	WP_096715459	292	38.71	84	157	2e-42	1849736	tyrosine recombinase [Microbacterium sp. SZ1]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. SZ1
0	gi|149882782|ref|YP_001294761.1|	256	914778124	WP_050720794	292	39.72	85	157	4e-42	1692239	hypothetical protein [Microbacterium sp. GCS4]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. GCS4
0	gi|149882782|ref|YP_001294761.1|	256	1175265993	WP_081813788	329	39.09	86	148	2e-38	1479651	hypothetical protein [Microbacterium sp. CH12i]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. CH12i
0	gi|149882782|ref|YP_001294761.1|	256	947715171	WP_056377509	292	35.48	77	145	1e-37	1736281	hypothetical protein [Microbacterium sp. Leaf161]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. Leaf161
0	gi|149882782|ref|YP_001294761.1|	256	1275636665	WP_099725035	343	36.41	79	144	9e-37	55968	MULTISPECIES: hypothetical protein [Leucobacter]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	
0	gi|149882782|ref|YP_001294761.1|	256	1234009579	WP_094650653	278	37.56	77	142	1e-36	1828	hypothetical protein [Rhodococcus fascians]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus fascians
0	gi|149882782|ref|YP_001294761.1|	256	694049006	WP_032395891	278	37.56	77	142	1e-36	1827	MULTISPECIES: hypothetical protein [Rhodococcus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	
0	gi|149882782|ref|YP_001294761.1|	256	1234048239	WP_094684072	278	39.11	79	140	4e-36	2023146	hypothetical protein [Rhodococcus sp. 14-2496-1d]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. 14-2496-1d
0	gi|149882782|ref|YP_001294761.1|	256	694037367	WP_032384451	278	37.07	76	139	8e-36	1828	hypothetical protein [Rhodococcus fascians]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus fascians
0	gi|149882782|ref|YP_001294761.1|	256	1246837072	WP_096421630	320	38.57	81	139	2e-35	279828	hypothetical protein [Microcella alkaliphila]	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microcella	Microcella alkaliphila
0	gi|149882782|ref|YP_001294761.1|	256	515406908	WP_016895983	259	38.76	81	138	2e-35	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|149882782|ref|YP_001294761.1|	256	1234078745	WP_094713106	239	38.12	77	137	3e-35	2022515	hypothetical protein [Rhodococcus sp. 06-418-1B]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. 06-418-1B
0	gi|149882782|ref|YP_001294761.1|	256	1160619710	WP_079481807	259	38.28	80	137	4e-35	36809	tyrosine recombinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|149882782|ref|YP_001294761.1|	256	1160778515	WP_079632307	259	37.8	79	137	5e-35	36809	tyrosine recombinase [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|149882782|ref|YP_001294761.1|	256	1234064141	WP_094698958	278	37.62	76	137	5e-35	1827	MULTISPECIES: hypothetical protein [Rhodococcus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	
