qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|713322591|ref|YP_009102206.1|	725	1167889684	WP_080181602	725	99.72	723	1488	0	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|713322591|ref|YP_009102206.1|	725	1122786325	WP_074146350	725	99.72	723	1484	0	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|713322591|ref|YP_009102206.1|	725	1296597415	WP_100771378	725	98.9	717	1474	0	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|713322591|ref|YP_009102206.1|	725	1208946742	WP_088209800	725	97.93	710	1463	0	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|713322591|ref|YP_009102206.1|	725	640401610	WP_024892447	762	31.86	94	162	4e-38	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|713322591|ref|YP_009102206.1|	725	739644786	WP_037500606	712	32.26	120	147	2e-33	392409	ATP-binding protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|713322591|ref|YP_009102206.1|	725	1057312555	WP_068673781	874	31.19	97	138	2e-30	34072	MULTISPECIES: ATP-binding protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|713322591|ref|YP_009102206.1|	725	1048173592	WP_065784095	789	33.55	103	137	6e-30	106591	MULTISPECIES: hypothetical protein [Ensifer]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	
0	gi|713322591|ref|YP_009102206.1|	725	983583808	WP_060733666	802	32.71	105	136	1e-29	95486	ATP-binding protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|713322591|ref|YP_009102206.1|	725	1224477396	WP_092498558	786	30.12	100	132	2e-28	1855383	hypothetical protein [bacterium A52C2]	Bacteria						bacterium A52C2
