qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|109522575|ref|YP_655387.1|	588	517940790	WP_019110998	437	27.42	139	130	2e-29	1009417	hypothetical protein [Verrucomicrobia bacterium SCGC AAA164-L15]	Bacteria	Verrucomicrobia					Verrucomicrobia bacterium SCGC AAA164-L15
0	gi|109522575|ref|YP_655387.1|	588	1175516967	WP_082059608	463	26.28	133	126	1e-27	33936	terminase [Aeribacillus pallidus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aeribacillus	Aeribacillus pallidus
0	gi|109522575|ref|YP_655387.1|	588	823689806	WP_047103073	414	26.46	100	125	2e-27	663	terminase [Vibrio alginolyticus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio alginolyticus
0	gi|109522575|ref|YP_655387.1|	588	1174056802	WP_081414708	463	26.82	136	124	6e-27	1071072	terminase [Bacillus sp. NSP2.1]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. NSP2.1
0	gi|109522575|ref|YP_655387.1|	588	748713899	WP_039972019	467	26.82	136	123	7e-27	51101	terminase [Brevibacillus agri]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus agri
0	gi|109522575|ref|YP_655387.1|	588	506372098	WP_015891817	469	25.44	129	121	4e-26	1393	terminase [Brevibacillus brevis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus brevis
0	gi|109522575|ref|YP_655387.1|	588	737313105	WP_035295956	467	25.89	131	119	2e-25	33942	terminase [Brevibacillus thermoruber]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus thermoruber
0	gi|109522575|ref|YP_655387.1|	588	920558006	WP_053001076	411	35.68	71	117	7e-25	1330330	hypothetical protein [Kosmotoga pacifica]	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Kosmotoga	Kosmotoga pacifica
0	gi|109522575|ref|YP_655387.1|	588	850382498	WP_048033508	465	25.24	129	117	1e-24	1393	terminase [Brevibacillus brevis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus brevis
0	gi|109522575|ref|YP_655387.1|	588	914642703	WP_050634199	407	24.18	118	116	1e-24	1507976	terminase [Vibrio sp. J2-15]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio sp. J2-15
0	gi|109522575|ref|YP_655387.1|	588	494993520	WP_007719536	469	25.64	130	114	1e-23	1144308	terminase [Brevibacillus sp. BC25]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. BC25
0	gi|109522575|ref|YP_655387.1|	588	947825277	WP_056486605	422	24.95	120	113	1e-23	1736290	terminase, partial [Brevibacillus sp. Leaf182]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. Leaf182
0	gi|109522575|ref|YP_655387.1|	588	1174231786	WP_081452960	433	31.62	74	112	3e-23	405212	hypothetical protein [Alicyclobacillus acidocaldarius]	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus acidocaldarius
0	gi|109522575|ref|YP_655387.1|	588	951584982	WP_057898502	463	24.71	130	110	1e-22	1450761	terminase [Aneurinibacillus sp. XH2]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus sp. XH2
0	gi|109522575|ref|YP_655387.1|	588	759011419	WP_043070662	482	26.3	137	110	3e-22	47500	terminase [Aneurinibacillus migulanus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
